Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[United Arab Emirates]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
imo-International Calls & Chat,71685714,31328571.42857136,77.62831858407068%
imo HD - Video Calls and Chats,33728571,7714285.7142857015,29.654036243822006%
VPN Proxy Master - Safer Vpn,14471429,2728571.428571431,23.23600973236012%
botim,5385714,1028571.4285714282,23.60655737704917%
Ridmik Keyboard,4471429,971428.5714285728,27.755102040816368%
TeraBox: 1TB Cloud & AI Space,3028571,-114285.71428571455,-3.6363636363636442%
Ludo King®,1828571,-228571.4285714298,-11.111111111111164%
Truecaller: Spam Call Blocker,1757143,-1242857.142857141,-41.42857142857138%
MX Player,1671429,-757142.857142857,-31.176470588235283%
DiskWala,1585714,300000.00000000047,23.333333333333364%
"GoodNovel - Booktok, Stories",1571429,371428.5714285718,30.952380952380988%
Snap Master VPN: Super Vpn App,1328571,142857.14285714272,12.048192771084324%
Arrow Puzzle: Tap Puzzle Games,1200000,328571.42857142864,37.7049180327869%
imo beta -video calls and chat,1028571,-300000.00000000047,-22.58064516129035%
Carrom Pool: Disc Game,1028571,442857.14285714296,75.609756097561%
Pocket FM: Audio Series,1014286,157142.85714285704,18.33333333333332%
Vita Mahjong,957143,100000.0,11.666666666666664%
Arrows GO!,857143,285714.28571428603,50.00000000000007%
Turbo VPN - Secure VPN Proxy,842857,-157142.8571428574,-15.714285714285737%
Block Blast!,828571,-28571.42857142829,-3.333333333333301%
Audiomack: Music Downloader,814286,185714.2857142859,29.545454545454575%
"WeMuslim: Athan, Qibla&Quran",814286,85714.28571428568,11.764705882352933%
Turbo VPN Lite: Fast VPN Proxy,742857,328571.42857142875,79.31034482758626%
NetShort - Popular Dramas & TV,742857,-100000.0,-11.864406779661019%
Wool Crush™,742857,185714.2857142858,33.33333333333336%
Wattpad - Read & Write Stories,714286,242857.14285714302,51.515151515151565%
PLAYit-All in One Video Player,685714,28571.42857142829,4.347826086956478%
Arrows – Puzzle Escape,657143,114285.71428571444,21.052631578947402%
CallApp: Caller ID & Block,614286,71428.5714285716,13.157894736842142%
