Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[United Arab Emirates]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
imo-International Calls & Chat,11900000,14285.714285705239,0.12019230769223156%
Block Blast！,6228571,1600000.000000001,34.567901234567934%
botim,4457143,742857.1428571423,19.999999999999986%
Diskwala,2985714,314285.7142857127,11.764705882352878%
"Character AI: Chat, Talk, Text",2014286,-42857.142857142724,-2.083333333333327%
Wattpad - Read & Write Stories,1828571,471428.5714285718,34.73684210526317%
Paper.io 2,1371429,42857.14285714342,3.225806451612946%
Happy Color by Numbers Game,1228571,-871428.5714285716,-41.49659863945578%
Goods Puzzle: Sort Challenge,1014286,-57142.85714285693,-5.333333333333313%
Wool Crush™-Escape Traffic Jam,942857,214285.71428571513,29.411764705882486%
"GoodNovel - Booktok, Stories",871429,571428.5714285715,190.4761904761905%
Search It - Hidden Objects,814286,200000.00000000023,32.55813953488377%
Words of Wonders: Crossword,771429,71428.57142857125,10.204081632653034%
Vita Mahjong,728571,42857.14285714296,6.250000000000014%
إدارة الملفات (حمّل),728571,-85714.2857142858,-10.526315789473694%
Solitaire Associations Journey,728571,-228571.42857142875,-23.880597014925396%
InShot - Video Editor,685714,185714.28571428562,37.14285714285713%
365Scores: Live Sports Scores,671429,-757142.8571428573,-53.00000000000001%
Crossword Go!,642857,42857.14285714284,7.142857142857141%
Screwdom,628571,-42857.14285714284,-6.382978723404254%
Pocket Sort: Coin Merge Puzzle,614286,-57142.85714285704,-8.510638297872326%
Ludo King,614286,57142.85714285704,10.25641025641024%
Brilliant Sort™ Diamond Puzzle,600000,-85714.28571428591,-12.500000000000028%
Meowdoku!,600000,42857.142857142724,7.692307692307669%
Hotpot Loop: Food Sort,585714,171428.57142857154,41.37931034482762%
Alarmy - Loud alarm clock,571429,328571.42857142846,135.29411764705875%
Find Hidden Objects - Spot It!,557143,128571.42857142846,29.999999999999975%
Color by Number：Coloring Games,542857,-142857.14285714284,-20.833333333333332%
gulfnews.com,528571,-242857.14285714272,-31.48148148148147%
Tile Explorer: Tiles Clear!,528571,128571.42857142858,32.14285714285716%
Sudoku.com - Number Games,514286,-14285.714285714377,-2.7027027027027204%
Colony Flow!,500000,-157142.85714285733,-23.9130434782609%
Hexa Away,457143,-14285.714285714144,-3.030303030303001%
khaleejtimes.com,428571,14285.71428571426,3.44827586206896%
