Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Brazil]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Lark Player:Music Player & MP3,89828571,7957142.857142925,9.719071715233055%
Vita Mahjong,65157143,4514285.714285754,7.444051825677335%
FreeReels - Dramas & Reels,49971429,2714285.714285761,5.743651753325373%
Snaptube,41485714,-4385714.285714269,-9.560884459669845%
Flashscore: Live Scores & News,41271429,-20042857.142857194,-32.68872320596466%
PolyBuzz: Chat with AI Friends,34371429,1485714.285714306,4.517810599478777%
Tile Explorer - Triple Match,33528571,-3457142.8571428657,-9.347238315952131%
Block Blast!,31228571,-4199999.99999997,-11.854838709677347%
Grindr - Gay Dating & Chat,30157143,-1471428.571428582,-4.65221318879859%
Candy Crush Saga,26314286,1428571.4285714366,5.74052812858786%
ReelShort - Stream Drama & TV,19442857,-2399999.9999999963,-10.987573577501623%
Arrows GO!,17957143,-1771428.571428582,-8.979000724113014%
Emochi: Chat With Character,17357143,971428.5714285746,5.928509154315626%
Soccer Superstar,16242857,-2742857.1428571343,-14.446952595936748%
Happy Color®: Color by Number,15985714,2557142.857142864,19.0425531914894%
DramaWave - Dramas & Reels,14185714,-242857.14285714366,-1.6831683168316882%
Seekee - Ai Search & Assistant,13671429,999999.9999999925,7.891770011273894%
Buraco Jogatina: Jogo Canastra,12257143,1928571.4285714403,18.67219917012459%
Tile Club - Match Puzzle Games,12014286,614285.7142857183,5.388471177944897%
Dream League Soccer 2026,11600000,-771428.5714285634,-6.235565819861369%
Mahjong Blast,11085714,-300000.0,-2.634880803011292%
Goods Puzzle: Sort Challenge™,10985714,2728571.4285714263,33.04498269896192%
Tile Home-Match Puzzle Games,10971429,-785714.2857142929,-6.68286755771573%
365Scores: Live Scores & News,10728571,-4542857.142857153,-29.747427502338677%
OiTube,10542857,-3300000.000000002,-23.83900928792571%
Color Block: Combo Blast,9671429,-3385714.285714289,-25.929978118161937%
Arrows – Puzzle Escape,9542857,342857.1428571474,3.7267080745342116%
iCSee,9371429,-1442857.1428571474,-13.34214002642012%
Candy Crush Soda Saga,9200000,28571.428571430966,0.31152647975080494%
Duet Cats: Music & Meow Game,9142857,285714.2857142892,3.225806451612944%
Meowdoku: Brain Puzzle Games,9042857,2171428.5714285662,31.60083160083151%
DramaBox - Stream Drama Shorts,8714286,500000.00000000186,6.086956521739153%
Solitaire - Classic Card Games,8657143,600000.0,7.446808510638297%
Farm Heroes Saga,8657143,-171428.57142857276,-1.9417475728155489%
"GoodNovel - Booktok, Stories",8642857,4757142.857142861,122.42647058823549%
Subway Surfers,8257143,-1457142.8571428554,-14.999999999999982%
Football League 2026,8057143,-728571.4285714263,-8.292682926829245%
Mahjong Master: Daily Match,8000000,314285.71428571176,4.089219330854986%
Wool Crush™,7928571,-2585714.2857142864,-24.59239130434782%
8 Ball Pool,7500000,-642857.1428571418,-7.8947368421052495%
GoodShort - Short Dramas Hub,7428571,-114285.71428571548,-1.5151515151515313%
Goods Puzzle: 3D Sorting Games,7242857,1828571.4285714282,33.77308707124009%
NetShort - Popular Dramas & TV,6500000,928571.428571431,16.66666666666671%
Tile Clear - Puzzle Game,6200000,14285.71428571269,0.23094688221706425%
Color Slide - Hexa Puzzle,5957143,-242857.1428571362,-3.9170506912441345%
Video Downloader,5914286,28571.428571430035,0.48543689320390854%
Moovit: Your Transit Tracker,5885714,285714.2857142873,5.10204081632656%
"Character AI: Chat, Talk, Text",5828571,-314285.7142857192,-5.11627906976752%
Sudoku - Classic Sudoku Puzzle,5814286,1128571.4285714347,24.085365853658697%
Words of Wonders: Crossword,5642857,1114285.7142857155,24.60567823343852%
Buenovela - Webnovel & Stories,5585714,-3214285.7142857136,-36.52597402597402%
3D Bolt Master®: Screw Master®,5557143,2485714.2857142896,80.93023255813974%
Ball Sort Puzzle - Color Game,5157143,-2128571.4285714263,-29.215686274509782%
Tile Match puzzle - Tiletopia,5128571,557142.8571428591,12.18750000000005%
Jigsawscapes® - Jigsaw Puzzles,5057143,700000.0000000009,16.065573770491824%
"NovelToon: Read Books, Stories",4971429,942857.1428571441,23.404255319148973%
Block Crush!,4871429,28571.428571428172,0.5899705014749181%
Solitaire Associations Journey,4828571,628571.4285714272,14.9659863945578%
Domino Legends: Classic Game,4814286,-57142.85714285821,-1.1730205278592594%
Word Search Explorer,4657143,-442857.1428571427,-8.68347338935574%
Web Video Cast | Browser to TV,4600000,300000.0,6.976744186046513%
Litmatch—Make new friends,4571429,557142.8571428563,13.879003558718846%
Smart Remote - Easy TV Control,4442857,-85714.28571428545,-1.8927444794952621%
Dootchi: Chat with AI Chars,4442857,571428.5714285746,14.760147601476106%
Buraco - Card Game,4128571,-985714.2857142864,-19.27374301675979%
Badoo Dating App: Meet & Date,4000000,-914285.7142857164,-18.604651162790734%
Sofascore: Live Sports Scores,3771429,-1671428.57142857,-30.708661417322816%
Toy Blast,3614286,0.0,0.0%
Snake.io - Fun Snake .io Games,3571429,-214285.71428571455,-5.6603773584905746%
BonusTV,3528571,99999.9999999986,2.9166666666666257%
Universal TV Remote Control,3442857,-1714285.7142857136,-33.24099722991689%
Woodle Screw™ Pin Nuts & Bolts,3400000,885714.2857142859,35.227272727272734%
Wattpad - Read & Write Stories,3385714,585714.2857142836,20.918367346938698%
Jewel Coloring,3314286,-471428.57142856997,-12.452830188679217%
Offline Games - No Wifi Games,3228571,-785714.285714284,-19.572953736654775%
Ludo Club - Fun Dice Game,3214286,-3028571.428571429,-48.512585812356996%
Sheep Dash: Sheep Away,3185714,85714.28571428452,2.764976958525308%
AppLock Pro - App Lock & Guard,3142857,1042857.1428571395,49.659863945578024%
Mini Plays,3100000,0.0000000009313225746154785,3.0042663697273514E-14%
Dootchi安卓,3071429,-214285.71428571455,-6.52173913043479%
Kooply Run™: Play and Create!,3028571,-185714.2857142859,-5.777777777777785%
Jigsort®: Solitaire,3014286,257142.8571428568,9.32642487046631%
Spider Solitaire - Card Games,2900000,299999.99999999907,11.538461538461505%
