Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Brazil]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Grindr - Gay Dating & Chat,55085714,14157142.857142888,34.58987783595121%
Moovit: Bus & Transit Tracker,17528571,5171428.571428578,41.849710982659026%
Block Blast！,14828571,-1199999.9999999944,-7.486631016042747%
iCSee,12814286,3442857.14285714,36.73780487804875%
Vita Mahjong,12671429,385714.2857142873,3.139534883720943%
Amerigo File Manager,10928571,214285.7142857127,1.9999999999999847%
Flashscore: Live Scores & News,10042857,-942857.1428571511,-8.582574772431801%
Buraco Jogatina: Jogo de Carta,9242857,-228571.4285714291,-2.4132730015083017%
Goods Puzzle: Sort Challenge,8342857,600000.0,7.749077490774906%
Tile Explorer: Tiles Clear!,7628571,857142.8571428554,12.65822784810124%
Solitaire Associations Journey,6300000,-1742857.1428571455,-21.669626998223833%
ReelShort - Stream Drama & TV,5071429,1485714.2857142845,41.43426294820714%
Wattpad - Read & Write Stories,4771429,2985714.2857142864,167.19999999999996%
Yoosee,4442857,-14285.71428571362,-0.32051282051280555%
Wool Crush™-Escape Traffic Jam,4142857,414285.7142857141,11.11111111111111%
365Scores: Live Sports Scores,3971429,-2814285.714285715,-41.47368421052633%
Meowdoku!,3857143,2057142.8571428547,114.2857142857141%
Airbrush: Face Photo Editor,3771429,685714.285714285,22.2222222222222%
Ludo Club・Fun Dice Board Game,3557143,-1571428.571428571,-30.64066852367687%
Words of Wonders: Crossword,3557143,899999.9999999991,33.870967741935466%
Search It - Hidden Objects,3485714,-757142.8571428596,-17.845117845117898%
Sudoku - Brain Puzzle Games,3414286,42857.14285714319,1.2711864406779765%
Offline Games - No Wifi Games,3300000,685714.285714284,26.229508196721245%
Sofascore: Live Sports Scores,3171429,-1799999.9999999981,-36.206896551724114%
"Character AI: Chat, Talk, Text",3157143,971428.5714285714,44.444444444444436%
DramaWave - Dramas & Reels,2885714,1199999.9999999998,71.18644067796609%
Subway Surfers,2585714,-471428.57142856997,-15.420560747663508%
PolyBuzz: Chat with Characters,2457143,757142.8571428566,44.537815126050354%
DramaSpot,2342857,357142.8571428573,17.985611510791365%
Mahjong Blast,2300000,257142.85714285704,12.587412587412583%
DramaReels: Dramas and Series,2242857,28571.428571428172,1.2903225806451428%
Dream League Soccer 2026,2228571,385714.2857142857,20.930232558139526%
8 Ball Pool™,2114286,14285.714285714552,0.6802721088435503%
OneFootball Live Soccer scores,1971429,-328571.42857142794,-14.285714285714262%
Zen Color - Color By Number,1857143,257142.85714285728,16.071428571428573%
Arrows – Puzzle Escape,1842857,-171428.5714285709,-8.510638297872312%
Little Farm Story: Idle Tycoon,1785714,900000.0000000001,101.61290322580646%
Brilliant Sort™ Diamond Puzzle,1742857,585714.2857142861,50.61728395061729%
Colony Flow!,1728571,-257142.8571428575,-12.9496402877698%
Screwdom,1671429,85714.28571428545,5.4054054054053875%
Word Search Explorer®,1657143,285714.28571428615,20.83333333333336%
DramaBox - Stream Drama Shorts,1542857,114285.71428571362,7.999999999999952%
Litmatch - Make new friends,1528571,357142.85714285774,30.487804878048827%
Wood Block Puzzle Games,1485714,-85714.28571428615,-5.454545454545481%
Football League™ 2026,1442857,600000.0000000003,71.18644067796615%
NetShort - Popular Dramas & TV,1371429,114285.71428571432,9.09090909090909%
Meitu AI Photo & Video Editor,1371429,414285.71428571444,43.28358208955225%
Video Lite,1371429,14285.714285714319,1.052631578947371%
UNO!™,1342857,428571.42857142875,46.87500000000002%
Yarn Fever! Unravel Puzzle,1328571,-28571.428571428638,-2.105263157894741%
Candy Crush Saga,1285714,171428.57142857136,15.384615384615376%
"GoodNovel - Booktok, Stories",1257143,528571.428571429,72.54901960784318%
Brain Puzzle 3: Crazy Mind,1214286,528571.4285714283,77.08333333333329%
Paper.io 2,1200000,742857.1428571434,162.50000000000017%
Food Hunt: Pixel Puzzle,1185714,85714.28571428568,7.792207792207787%
My Perfect Hotel,1171429,585714.2857142863,100.00000000000011%
Woodoku - Wood Block Puzzles,1157143,-28571.428571428405,-2.4096385542168526%
Block Crush！,1157143,-342857.1428571434,-22.857142857142886%
Paint by Number Coloring Game,1157143,128571.42857142864,12.500000000000009%
Sheep Dash-Farm Animal Escape,1085714,-157142.8571428575,-12.643678160919565%
OKOK·International,1000000,185714.28571428568,22.80701754385964%
Amaze GO!,971429,85714.28571428568,9.677419354838706%
Tower War - Tactical Conquest,942857,257142.85714285728,37.50000000000002%
Mini Soccer Star 2026,914286,-371428.5714285715,-28.88888888888889%
Tinder Dating App: Date & Chat,871429,142857.14285714272,19.607843137254882%
Jigsawcard Solitaire Puzzle,857143,-28571.42857142829,-3.225806451612872%
Alarmy - Loud alarm clock,842857,442857.142857143,110.71428571428574%
"Picsart AI Photo Editor, Video",842857,457142.8571428575,118.51851851851866%
CamScanner - PDF Scanner App,842857,628571.4285714286,293.3333333333333%
Block Craft 3D: Building Games,828571,-428571.4285714285,-34.09090909090908%
Fluffy Drop,785714,300000.00000000006,61.76470588235297%
XMEye,785714,-14285.714285714552,-1.7857142857143187%
Woodle Screw™ Pin Nuts & Bolts,771429,114285.71428571478,17.39130434782617%
Jigsawscapes® - Jigsaw Puzzles,771429,414285.71428571426,116.0%
Flightradar24 | Flight Tracker,757143,185714.28571428568,32.5%
Car Jam: Escape Traffic Puzzle,742857,228571.42857142864,44.44444444444448%
Bubble Shooter: Pop & Blast,742857,314285.7142857142,73.33333333333334%
Soccer Superstar,700000,42857.14285714296,6.521739130434797%
Head Ball 2 - Soccer Game,700000,128571.42857142875,22.500000000000043%
Tile Club - Matching Game,685714,-457142.8571428573,-40.0%
Goods Puzzle: 3D Sorting Games,685714,-385714.2857142858,-36.00000000000001%
Tile Vacation - Triple Match,685714,300000.0000000002,77.77777777777784%
Hay Day,671429,471428.5714285715,235.71428571428572%
Jaumo Dating App: Flirt & Chat,671429,271428.57142857154,67.85714285714289%
Smash Fest!,657143,-57142.857142857276,-8.000000000000018%
Pizza Ready!,657143,128571.4285714284,24.324324324324298%
2 Player Games : Offline Games,642857,-242857.14285714307,-27.419354838709697%
3D Bolt Master®: Screw Master®,642857,242857.14285714278,60.71428571428571%
My Supermarket Simulator 3D®,642857,99999.99999999988,18.42105263157893%
InShot - Video Editor,628571,242857.1428571429,62.96296296296299%
Hornet - Gay Dating & Chat,628571,285714.28571428545,83.33333333333326%
Badoo Dating: Meet New People,614286,271428.57142857125,79.16666666666661%
Widgetable: Besties & Couples,614286,-185714.2857142858,-23.214285714285726%
Jigsaw Puzzles for Adults HD,600000,157142.85714285722,35.48387096774196%
Magic Sort!,600000,85714.28571428574,16.666666666666682%
"NovelToon: Read Books, Stories",585714,142857.14285714296,32.25806451612906%
Jewel Coloring,585714,0.0,0.0%
Cittamobi: Ônibus e Trilhos,571429,157142.85714285722,37.931034482758655%
Color by Number：Coloring Games,571429,-28571.42857142852,-4.761904761904755%
OLX - Comprar e vender online,571429,114285.71428571438,25.00000000000003%
Ball Sort Puzzle - Color Game,571429,171428.57142857148,42.85714285714288%
ShortMax - Watch Dramas & Show,557143,-71428.57142857136,-11.363636363636354%
"SHAREit: Transfer, Share Files",557143,185714.28571428562,49.99999999999998%
Goods Master 3D: Matching Game,557143,257142.85714285687,85.71428571428561%
Goods Sort™ - Triple Master 3D,542857,14285.714285714203,2.702702702702688%
Sudoku.com - Number Games,514286,42857.14285714284,9.090909090909088%
myTuner Radio - Live Stations,514286,242857.14285714272,89.47368421052627%
Happy Screw Trip 3D,514286,-14285.714285714377,-2.702702702702721%
Snake.io - Fun Online Snake,485714,171428.5714285713,54.54545454545451%
Fruit Merge™: Match Game,485714,-85714.2857142858,-15.000000000000018%
Order Crazy: Water Sort Puzzle,485714,-42857.14285714284,-8.108108108108107%
Zen Word® - Relax Puzzle Game,485714,-114285.71428571444,-19.047619047619076%
Wool Craze -Yarn Color Sort 3D,485714,57142.85714285687,13.333333333333268%
Differences - Find & Spot It,471429,300000.0,174.99999999999997%
Jigsaw Puzzles - Puzzle Games,471429,14285.71428571426,3.1249999999999947%
BueNovela - leer novela libro,471429,-42857.14285714284,-8.333333333333332%
Block Out! - Color Sort Puzzle,471429,185714.2857142855,64.99999999999993%
Color Slide - Hexa Puzzle,471429,171428.5714285712,57.14285714285705%
Pocket Sort: Coin Merge Puzzle,471429,28571.42857142852,6.451612903225798%
VPN - Super Unlimited Proxy,457143,228571.4285714285,99.99999999999996%
Bible Word Puzzle - Word Games,442857,214285.71428571412,93.7499999999999%
Toon Blast,442857,114285.71428571414,34.78260869565213%
Money Sort: Merge Puzzle,428571,214285.71428571414,99.99999999999991%
Word Connect Association,428571,-14285.714285714319,-3.2258064516129115%
Cymera・Photo Cam Beauty Editor,414286,114285.71428571426,38.09523809523809%
Crostic Crossword－Word Puzzles,414286,-242857.14285714284,-36.95652173913044%
Math Puzzle Games - Crossmath®,414286,28571.428571428463,7.407407407407379%
