Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Canada]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,109771429,11671428.571428552,11.89748070482015%
Wordscapes - Word Game,68142857,6185714.285714313,9.983859810929262%
Meowdoku!,50328571,3028571.428571433,6.40289942615525%
The Weather Network,49071429,19914285.714285742,68.29985301322893%
Grindr - Gay Dating & Chat,43528571,7128571.428571418,19.583987441130255%
Vita Mahjong,40800000,2071428.571428582,5.3485798598303465%
Happy Color by Numbers Game,40200000,585714.2857143134,1.478543094121959%
dailymotion.com,35857143,-2442857.142857142,-6.378217083177918%
CHAI: Social AI Platform- Chat,30071429,-628571.4285714291,-2.047463936714753%
ca.yahoo.com,23842857,-2342857.1428571567,-8.947081287506869%
Zen Color - Color By Number,22071429,-2814285.7142857015,-11.308840413317975%
Woodoku - Wood Block Puzzles,21914286,2585714.2857142724,13.377679231337696%
Arrows – Puzzle Escape,21814286,2728571.428571433,14.296407185628764%
Tile Explorer: Tiles Clear!,21428571,1714285.7142857052,8.695652173912993%
Solitaire Associations Journey,21300000,-3914285.714285709,-15.5240793201133%
Offline Games - No Wifi Games,20942857,1485714.2857142873,7.635829662261387%
Words With Friends Word Game,19042857,-885714.2857142836,-4.444444444444435%
Scrabble® GO – Fun with Words!,19028571,842857.1428571381,4.634721131186148%
Zen Word® - Relax Puzzle Game,17371429,-42857.14285713807,-0.24610336341260583%
Solitaire,17314286,9400000.000000004,118.77256317689532%
Spider ▻ Solitaire,16728571,2371428.5714285783,16.517412935323435%
Goods Puzzle: Sort Challenge,16671429,2242857.142857138,15.544554455445502%
Letterboxd,16628571,-514285.71428570524,-2.9999999999999476%
Screwdom,16328571,2057142.8571428526,14.414414414414379%
Wool Crush™-Escape Traffic Jam,15957143,3699999.9999999925,30.18648018648011%
▻Sudoku,14871429,857142.8571428619,6.11620795107037%
Crossword Go!,14314286,-300000.00000000186,-2.0527859237536785%
"Character AI: Chat, Talk, Text",13114286,1171428.571428569,9.808612440191366%
Word Search Explorer®,12328571,971428.5714285709,8.55345911949685%
Daily Themed Crossword Puzzles,11700000,-2985714.285714289,-20.330739299610908%
Words of Wonders: Crossword,11671429,-1642857.1428571437,-12.339055793991418%
Sudoku.com - Number Games,10800000,-4028571.428571431,-27.16763005780347%
genius.com,10200000,-1542857.1428571474,-13.138686131386896%
PolyBuzz: Chat with Characters,9914286,1585714.2857142948,19.039451114922937%
Word Trip - Word Puzzles Games,9685714,1028571.4285714291,11.881188118811883%
ca.finance.yahoo.com,9371429,7099999.999999997,312.5786163522011%
Mahjong Blast,9157143,399999.9999999963,4.567699836867819%
Toon Blast,9071429,628571.4285714272,7.445008460236873%
Bank Robbers Vs Police Battle,9057143,-128571.4285714291,-1.399688958009337%
Search It - Hidden Objects,8842857,114285.71428571269,1.3093289689034184%
Wattpad - Read & Write Stories,8542857,-0.000000003725290298461914,-4.360707707229664E-14%
Number Match - Numbers Game,8514286,957142.8571428563,12.665406427221164%
Color by Number：Coloring Games,8457143,1185714.2857142845,16.306483300589377%
Sudoku - Brain Puzzle Games,8385714,-1142857.1428571446,-11.994002998500768%
Pocket FM: Audio Series,8342857,1428571.428571432,20.661157024793447%
Find Hidden Objects - Spot It!,8271429,1128571.42857143,15.80000000000002%
TuneIn Radio: Music & Sports,8242857,100000.0,1.2280701754385968%
Home Design Chef Cooking Games,8142857,3828571.4285714263,88.74172185430457%
Point Out: Color Escape Puzzle,7914286,57142.857142856345,0.727272727272717%
Jigsaw Puzzles for Adults HD,7828571,-2557142.8571428563,-24.621733149931213%
Brilliant Sort™ Diamond Puzzle,7714286,614285.7142857127,8.651911468812857%
Jigsawscapes® - Jigsaw Puzzles,7557143,885714.2857142901,13.276231263383371%
Candy Crush Saga,7414286,3957142.857142856,114.46280991735536%
Colony Flow!,7371429,-14285.71428571269,-0.1934235976788952%
Flightradar24 | Flight Tracker,7314286,-1042857.1428571446,-12.478632478632498%
Crossword Jam: Fun Word Search,7085714,-171428.5714285709,-2.3622047244094406%
Yarn Fever! Unravel Puzzle,6942857,1457142.8571428591,26.562500000000046%
Paper.io 2,6942857,928571.4285714291,15.439429928741106%
ndtv.com,6942857,485714.2857142864,7.5221238938053245%
REALTOR.ca Real Estate & Homes,6657143,-671428.57142857,-9.161793372319671%
Hexa Away,6585714,957142.8571428517,17.005076142131873%
theweathernetwork.com,6428571,2200000.000000003,52.02702702702711%
TextNow: Call + Text Unlimited,6342857,1157142.8571428582,22.31404958677688%
Decision Tool,6342857,1114285.7142857155,21.31147540983609%
Toy Blast,6014286,771428.5714285718,14.713896457765673%
Crossword Explorer,5957143,1028571.4285714291,20.869565217391322%
"GoodNovel - Booktok, Stories",5885714,471428.57142857276,8.70712401055412%
Wordle!,5685714,-514285.7142857183,-8.2949308755761%
Spider Solitaire: Card Game,5628571,2871428.57142857,104.14507772020717%
Amaze GO!,5614286,342857.1428571427,6.5040650406504055%
Paint by Number Coloring Game,5528571,1414285.714285715,34.37500000000003%
mondedestars.com,5514286,1800000.0000000005,48.46153846153848%
Color Block Jam,5328571,614285.7142857146,13.030303030303038%
amomedia.com,5157143,-999999.9999999991,-16.241299303944302%
Word Screw - 3D Unscrew Bolts,5157143,228571.42857142165,4.63768115942015%
Cryptogram: Word Brain Puzzle,5114286,-171428.57142857276,-3.2432432432432687%
Jigsawcard Solitaire Puzzle,5085714,-814285.7142857164,-13.801452784503663%
Goods Puzzle: 3D Sorting Games,5057143,414285.71428571455,8.923076923076929%
Crossword Master - Word Puzzle,5028571,-985714.2857142864,-16.389548693586708%
Jewel Coloring,5000000,1042857.1428571441,26.35379061371845%
Block Puzzle Woody Origin,4971429,242857.14285713993,5.135951661631356%
Yahoo Mail: Your Email & Inbox,4957143,200000.00000000093,4.204204204204224%
Fluffy Drop,4942857,571428.57142857,13.071895424836578%
Hearts - Card Game Classic,4857143,100000.0,2.1021021021021022%
Pixel Flow!,4814286,1285714.2857142864,36.43724696356278%
⋆Spider Solitaire: Card Games,4771429,1214285.7142857132,34.136546184738926%
"Kijiji: Buy & Sell, find deals",4600000,-1342857.1428571427,-22.596153846153843%
Woody Block Puzzle Brain Game,4500000,985714.2857142836,28.048780487804823%
Word Craze - Trivia crosswords,4471429,442857.1428571446,10.992907801418493%
Classic Words (solo word game),4414286,-657142.8571428591,-12.957746478873275%
vsco.co,4342857,-100000.00000000093,-2.2508038585209214%
Subway Surfers,4285714,200000.00000000047,4.895104895104908%
Audiomack - Play Music Offline,4242857,242857.14285714552,6.071428571428642%
Everyday Puzzles: Mini Games,4185714,-157142.8571428568,-3.618421052631572%
