Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Switzerland]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,12585714,-9628571.42857143,-43.344051446945336%
Vita Mahjong,3971429,-514285.7142857155,-11.464968152866277%
Mahjong Blast,2300000,528571.4285714279,29.8387096774193%
Woodoku - Wood Block Puzzles,2200000,-1299999.9999999972,-37.142857142857075%
Solitaire Associations Journey,2014286,871428.5714285721,76.25000000000004%
Words of Wonders: Crossword,2000000,-857142.857142855,-29.999999999999936%
Grindr - Gay Dating & Chat,1828571,-3471428.5714285714,-65.4986522911051%
Meowdoku!,1500000,-1014285.7142857139,-40.34090909090908%
Wool Crush™-Escape Traffic Jam,1285714,85714.28571428568,7.142857142857135%
Wattpad - Read & Write Stories,1285714,-200000.0,-13.461538461538458%
Tile Explorer: Tiles Clear!,1157143,-1371428.571428571,-54.23728813559319%
"Character AI: Chat, Talk, Text",1114286,-185714.28571428615,-14.285714285714315%
Happy Color by Numbers Game,1042857,-771428.5714285716,-42.51968503937008%
Flashscore: Live Scores & News,971429,-2757142.857142856,-73.9463601532567%
Goods Puzzle: Sort Challenge,914286,-385714.2857142857,-29.67032967032966%
Arrows – Puzzle Escape,914286,328571.42857142875,56.097560975609795%
QuizDuel! Trivia & Quiz game,871429,142857.14285714272,19.607843137254882%
VPN - Super Unlimited Proxy,814286,-57142.85714285681,-6.557377049180291%
Screwdom,771429,-314285.71428571455,-28.94736842105265%
Sudoku - Brain Puzzle Games,757143,-485714.2857142859,-39.080459770114956%
Offline Games - No Wifi Games,671429,-914285.7142857161,-57.657657657657715%
Amaze GO!,614286,-42857.14285714261,-6.5217391304347485%
Click X,614286,114285.71428571409,22.857142857142822%
Block Crush！,571429,-100000.0,-14.893617021276597%
Mahjong Club - Solitaire Game,557143,-471428.5714285716,-45.83333333333335%
Flightradar24 | Flight Tracker,528571,-342857.14285714296,-39.34426229508198%
Colony Flow!,514286,-214285.71428571444,-29.411764705882376%
Brilliant Sort™ Diamond Puzzle,514286,-314285.71428571444,-37.93103448275865%
Shape Escape: Block Puzzle,500000,71428.5714285713,16.66666666666664%
Word Search Explorer®,500000,-142857.14285714302,-22.22222222222225%
Jigsawcard Solitaire Puzzle,485714,-542857.142857143,-52.77777777777779%
Solitaire,485714,171428.57142857125,54.545454545454476%
Smash Fest!,471429,157142.85714285693,49.999999999999936%
Pixel Flow!,471429,-14285.714285714435,-2.9411764705882666%
Scrabble® GO – Fun with Words!,428571,-342857.142857143,-44.44444444444446%
Video Lite,414286,14285.714285714319,3.57142857142858%
TuneIn Radio: Music & Sports,400000,-214285.71428571403,-34.883720930232535%
DramaBox - Stream Drama Shorts,400000,71428.5714285713,21.73913043478257%
Food Hunt: Pixel Puzzle,385714,0.0,0.0%
Tile Club - Matching Game,371429,-128571.4285714284,-25.714285714285687%
Maze Escape: Block Puzzle,371429,242857.14285714272,188.88888888888874%
Swiss Radio / Schweiz / Suisse,357143,114285.7142857142,47.05882352941172%
Candy Crush Saga,342857,-14285.714285714319,-4.00000000000001%
Tower War - Tactical Conquest,342857,-14285.71428571426,-3.9999999999999942%
Da Fit,328571,-14285.71428571426,-4.16666666666666%
DramaWave - Dramas & Reels,314286,142857.1428571428,83.3333333333333%
Zen Word® - Relax Puzzle Game,314286,-528571.4285714286,-62.711864406779675%
imo-International Calls & Chat,300000,42857.14285714281,16.666666666666643%
Spider ▻ Solitaire,300000,-714285.7142857144,-70.42253521126761%
Block Away - Tap Out Puzzle,300000,42857.14285714281,16.666666666666643%
Color Slide - Hexa Puzzle,300000,14285.714285714319,5.000000000000012%
Solitaire: Cards Games Classic,271429,42857.14285714287,18.750000000000004%
Tetris®,271429,0.0,0.0%
Crossword Jam: Fun Word Search,257143,0.00000000005820766091346741,2.263631257745955E-14%
Jigsaw Puzzles for Adults HD,257143,-85714.2857142856,-24.99999999999997%
Rider – Stunt Bike Racing,257143,-299999.99999999977,-53.846153846153825%
Alarmy - Loud alarm clock,257143,14285.71428571429,5.882352941176472%
Bubble Shooter: Pop & Blast,242857,-57142.85714285716,-19.04761904761905%
Sudoku.com - Number Games,242857,-71428.57142857136,-22.72727272727271%
Tidy X,242857,-28571.42857142852,-10.526315789473665%
Blick Nachrichten & Sport,242857,157142.85714285716,183.33333333333334%
Yahoo Mail: Your Email & Inbox,228571,100000.00000000003,77.7777777777778%
Search It - Hidden Objects,228571,-85714.28571428565,-27.272727272727256%
Block Craft 3D: Building Games,228571,85714.28571428571,59.99999999999999%
Jigsawscapes® - Jigsaw Puzzles,214286,-585714.2857142857,-73.21428571428571%
Ludo Club・Fun Dice Board Game,214286,-471428.57142857136,-68.74999999999999%
Fluffy Drop,214286,-128571.42857142846,-37.49999999999998%
Paint by Number Coloring Game,214286,-171428.57142857136,-44.44444444444443%
Pocket Sort: Coin Merge Puzzle,214286,0.0,0.0%
CodyCross: Crossword Puzzles,214286,-14285.71428571429,-6.250000000000001%
Block Out! - Color Sort Puzzle,214286,14285.71428571429,7.142857142857144%
Hotpot Loop: Food Sort,214286,57142.85714285716,36.363636363636374%
InShot - Video Editor,214286,-57142.8571428571,-21.052631578947352%
ReelShort - Stream Drama & TV,214286,14285.71428571426,7.142857142857129%
Tile Vacation - Triple Match,200000,-57142.85714285716,-22.222222222222225%
Toon Blast,200000,-114285.71428571417,-36.36363636363634%
Water Sort Puzzle,200000,-314285.71428571397,-61.111111111111086%
Widgetable: Besties & Couples,200000,42857.14285714287,27.27272727272728%
Shanghai Mahjongg Puzzle,200000,14285.71428571429,7.692307692307694%
Point Out: Color Escape Puzzle,200000,-471428.5714285715,-70.21276595744682%
Sheep Dash-Farm Animal Escape,200000,42857.14285714287,27.27272727272728%
Click Wood,185714,128571.4285714286,225.00000000000006%
Ludo King,185714,-28571.42857142858,-13.333333333333336%
Number Match - Numbers Game,185714,-185714.28571428568,-49.99999999999999%
Pocket FM: Audio Series,185714,-14285.71428571429,-7.142857142857144%
Two Dots - Connect the Colors,185714,-14285.71428571429,-7.142857142857144%
Zen Color - Color By Number,185714,-614285.7142857143,-76.78571428571428%
Candy Crush Soda Saga,185714,-42857.14285714287,-18.750000000000004%
2 Player Games : Offline Games,185714,-42857.14285714287,-18.750000000000004%
9GAG: Best LOL Pics & GIFs,185714,-28571.42857142858,-13.333333333333336%
Magic Jigsaw Puzzles－Games HD,171429,-57142.85714285716,-25.000000000000004%
Magic Sort!,171429,-57142.85714285716,-25.000000000000004%
Snake Escape - Tap Away,171429,-171428.57142857133,-49.999999999999986%
Vinted: Pre-loved marketplace,171429,0.0,0.0%
Color Block Jam,171429,-199999.9999999999,-53.84615384615383%
Spider Solitaire: Card Game,171429,28571.42857142858,20.000000000000007%
genius.com,171429,100000.00000000001,140.0%
Tile Match -Triple puzzle game,171429,-14285.71428571429,-7.692307692307694%
Tile Voyage: Match Puzzle,171429,-42857.14285714287,-20.000000000000004%
Goods Sort™ - Triple Master 3D,171429,85714.28571428572,100.0%
Ball Sort Puzzle,157143,14285.71428571429,10.000000000000004%
Goods Puzzle: 3D Sorting Games,157143,-71428.57142857142,-31.249999999999993%
Find Hidden Objects - Spot It!,157143,-71428.57142857145,-31.250000000000004%
LOVOO - Dating App & Chat App,157143,-185714.28571428562,-54.16666666666666%
Little Farm Story: Idle Tycoon,157143,-85714.28571428574,-35.29411764705883%
Paper.io 2,157143,-357142.8571428569,-69.44444444444443%
Soccer Superstar,157143,-285714.2857142855,-64.51612903225805%
Subway Surfers,157143,28571.428571428565,22.22222222222221%
Sudoku :),157143,14285.71428571429,10.000000000000004%
Wordscapes - Word Game,157143,-57142.85714285716,-26.66666666666667%
Arrow Pro 3D,157143,-42857.14285714287,-21.428571428571434%
Wort Guru,157143,-185714.28571428562,-54.16666666666666%
Top Eleven Be a Soccer Manager,157143,-57142.85714285716,-26.66666666666667%
myTuner Radio - Live Stations,157143,-85714.28571428574,-35.29411764705883%
Word Garden : Crosswords,157143,14285.71428571429,10.000000000000004%
Yarn Fever! Unravel Puzzle,157143,-299999.99999999994,-65.62499999999999%
Amerigo File Manager,157143,0.0,0.0%
Demus: Easy Music Streaming,142857,57142.857142857145,66.66666666666666%
FUTBIN FC 26 Evolutions & More,142857,-14285.71428571429,-9.090909090909093%
Jewel Coloring,142857,-42857.14285714287,-23.076923076923084%
Hexa Sort,142857,-157142.85714285713,-52.38095238095237%
M Scores | Mackolik Live Score,142857,-185714.2857142857,-56.52173913043478%
OneFootball Live Soccer scores,142857,-885714.2857142858,-86.11111111111111%
Screw Sort 3D: Pin Puzzle Game,142857,-42857.14285714287,-23.076923076923084%
Screw Sort Puzzle™- Pin Jam 3D,142857,14285.714285714275,11.1111111111111%
SoundCloud: The Music You Love,142857,-199999.9999999999,-58.33333333333332%
Tumblr: Social Media & Art,142857,114285.71428571429,400.0%
Wood Block Puzzle Games,142857,-199999.9999999999,-58.33333333333332%
▻Sudoku,142857,-199999.9999999999,-58.33333333333332%
dailymotion.com,142857,-28571.42857142858,-16.66666666666667%
tutti.ch : petites annonces,142857,28571.428571428565,24.99999999999999%
Car Jam: Escape Traffic Puzzle,142857,0.0,0.0%
Bird Sort 2 Color Puzzle Game,142857,42857.14285714284,42.85714285714283%
PolyBuzz: Chat with Characters,128571,28571.42857142858,28.571428571428577%
SwissJass+ Online Jassen,128571,57142.85714285716,80.00000000000003%
Water Sort Puzzle: Get Color,128571,-142857.1428571429,-52.631578947368425%
Words of Wonders: Search,128571,42857.14285714287,50.000000000000014%
CHAI: Social AI Platform- Chat,128571,-342857.14285714267,-72.72727272727272%
365Scores: Live Sports Scores,128571,14285.71428571429,12.500000000000002%
Block Puzzle Woody Origin,128571,-214285.7142857142,-62.49999999999999%
