Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Germany]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,245214286,18871428.57142827,8.337541024993566%
Block Blast!,62285714,-13799999.999999918,-18.137438978595465%
Sudoku - Classic Sudoku Puzzle,48528571,16085714.285714284,49.581682078379586%
Mahjong Blast,43542857,-12071428.571428552,-21.70562548163367%
Tile Explorer - Triple Match,43471429,-142857.14285714924,-0.32754667540125926%
Kleinanzeigen - without eBay,42542857,11942857.142857108,39.028944911297785%
QuizDuel! Quiz & Trivia Game,33928571,-5085714.2857142985,-13.035518125228887%
Solitaire - Classic Card Games,32928571,-5157142.8571428545,-13.540885221305336%
Word Search Explorer,32685714,3542857.1428571604,12.156862745098104%
Weather & Radar Forecast,28871429,6485714.285714231,28.972559029993384%
Arrows – Puzzle Escape,27357143,-18242857.14285709,-40.00626566416032%
weather24: Forecast & Radar,26785714,6471428.57142856,31.85654008438812%
PolyBuzz: Chat with AI Friends,26542857,-7057142.857142836,-21.003401360544174%
Wattpad - Read & Write Stories,26257143,-4885714.285714284,-15.688073394495405%
Words of Wonders: Crossword,24314286,2171428.5714285895,9.806451612903317%
Meowdoku: Brain Puzzle Games,23542857,3642857.1428571306,18.305814788226783%
Golf Clash - Golfing Simulator,23214286,-8442857.142857172,-26.669675090252777%
Candy Crush Saga,23085714,-2957142.857142862,-11.354909489851915%
Emochi: Chat With Character,22242857,-1185714.2857142799,-5.0609756097560785%
Block Crush!,20157143,-1328571.4285714403,-6.183510638297926%
m.bild.de,19842857,385714.28571426123,1.982378854625424%
Toon Blast,19314286,2571428.571428567,15.358361774743992%
Wort Guru,19300000,-1299999.9999999925,-6.310679611650451%
Woodoku - Wood Block Puzzle,19228571,-3771428.5714285634,-16.397515527950283%
Goods Puzzle: Sort Challenge™,19228571,-671428.5714285746,-3.3740129217516315%
Tile Club - Match Puzzle Games,18357143,-2571428.5714285783,-12.286689419795254%
Arrows GO!,16528571,-6785714.285714293,-29.105392156862766%
Tower War - Tactical Conquest,15842857,3357142.857142849,26.88787185354683%
Happy Color®: Color by Number,14900000,2042857.1428571437,15.88888888888889%
Jigsawscapes® - Jigsaw Puzzles,14842857,-528571.4285714291,-3.438661710037178%
Solitaire Associations Journey,13242857,-828571.4285714366,-5.888324873096501%
Crossword Jam,12700000,842857.1428571474,7.1084337349398%
Zen Word® - Relax Puzzle Game,12042857,-828571.4285714347,-6.437291897891275%
Candy Crush Soda Saga,12028571,1585714.2857142854,15.18467852257181%
Color Slide - Hexa Puzzle,11828571,-57142.85714285076,-0.480769230769177%
Pocket FM: Audio Series,11642857,1442857.1428571418,14.145658263305302%
Mahjong Club - Solitaire Game,11571429,542857.1428571437,4.922279792746121%
kicker Fußball News,11314286,-13885714.285714293,-55.10204081632654%
Pocket Sort: Coin Merge Puzzle,10871429,1271428.571428569,13.24404761904759%
Finya Dating App: Match & Date,10771429,-214285.71428571455,-1.9505851755526686%
SimCity BuildIt,10014286,-7200000.000000006,-41.82572614107884%
Grindr - Gay Dating & Chat,9900000,-4728571.428571429,-32.32421874999999%
Vinted: Shop & sell pre-loved,9814286,5857142.857142865,148.01444043321325%
Bubble Shooter - Classic Pop,9557143,2885714.2857142873,43.25481798715206%
"Character AI: Chat, Talk, Text",9500000,557142.8571428545,6.2300319488817575%
Video Downloader,9414286,-1028571.4285714272,-9.849521203830356%
Wool Crush™,9228571,157142.85714285448,1.7322834645668992%
Jigsawcard Solitaire Puzzle,9200000,-314285.71428571455,-3.303303303303306%
Snake Escape,9185714,900000.0000000028,10.86206896551728%
Solitaire,9128571,271428.5714285709,3.064516129032245%
Number Match - Number Games,9028571,-1042857.1428571437,-10.354609929078022%
Pixel Flow!,8814286,-1628571.4285714272,-15.595075239398076%
Triple Tile: Match Puzzle Game,8457143,-242857.1428571418,-2.7914614121510546%
spiegel.de,8200000,-485714.28571428265,-5.59210526315786%
Arrow Puzzle: Tap Puzzle Games,8142857,528571.42857143,6.9418386491557404%
