Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Germany]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,166428571,29771428.57142824,21.78549027806791%
Vita Mahjong,141671429,-10328571.428571552,-6.79511278195497%
Kleinanzeigen - Buy & Sell,71085714,20285714.285714284,39.9325084364454%
Grindr - Gay Dating & Chat,24557143,-1814285.7142857127,-6.879739978331526%
"Character AI: Chat, Talk, Text",23400000,-500000.00000000745,-2.092050209205052%
Solitaire Associations Journey,21957143,1442857.1428571306,7.033426183843951%
Wattpad - Read & Write Stories,21471429,-185714.28571427613,-0.8575197889181618%
Happy Color by Numbers Game,21457143,1557142.8571428545,7.824838478104797%
Woodoku - Wood Block Puzzles,20357143,-4328571.4285714105,-17.53472222222216%
Tile Explorer: Tiles Clear!,19328571,-1014285.7142857164,-4.985955056179786%
Meowdoku!,17828571,-4228571.428571422,-19.17098445595852%
QuizDuel! Trivia & Quiz game,17614286,-2971428.571428556,-14.4344205412907%
CHAI: Social AI Platform- Chat,17300000,-6628571.428571414,-27.701492537313385%
Mahjong Blast,16814286,-3957142.857142858,-19.05089408528198%
OneFootball Live Soccer scores,15885714,-2614285.7142857127,-14.131274131274123%
Arrows – Puzzle Escape,15042857,-157142.85714285634,-1.03383458646616%
Candy Crush Saga,12214286,4371428.571428578,55.73770491803288%
Words of Wonders: Crossword,11557143,714285.7142857146,6.587615283267459%
Goods Puzzle: Sort Challenge,11542857,-2000000.0,-14.767932489451468%
Offline Games - No Wifi Games,11500000,1185714.2857142948,11.49584487534635%
m.bild.de,11357143,-785714.2857142836,-6.4705882352941%
Da Fit,11257143,1000000.0,9.749303621169917%
Wool Crush™-Escape Traffic Jam,11185714,-771428.5714285728,-6.451612903225818%
Vinted: Pre-loved marketplace,10400000,2557142.8571428573,32.60473588342441%
Ludo Club・Fun Dice Board Game,9957143,1242857.1428571418,14.262295081967197%
Colony Flow!,9871429,2928571.428571431,42.18106995884778%
Flightradar24 | Flight Tracker,9785714,-7628571.42857144,-43.80639868744878%
PolyBuzz: Chat with Characters,9485714,-1614285.7142857164,-14.543114543114557%
