Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Denmark]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,1985714,-357142.85714285565,-15.243902439024328%
Wordfeud,1885714,-685714.2857142843,-26.666666666666618%
Block Blast!,1528571,-257142.85714285774,-14.400000000000023%
Candy Crush Saga,1071429,171428.57142857148,19.047619047619058%
Mahjong Blast,1014286,-314285.71428571455,-23.655913978494635%
Words of Wonders: Crossword,842857,114285.71428571432,15.686274509803926%
Block Loop Shooter,728571,714285.7142857143,5000.0%
Arrows – Puzzle Escape,700000,-157142.85714285693,-18.33333333333331%
Meowdoku: Brain Puzzle Games,685714,-14285.714285714203,-2.0408163265306007%
Solitaire - Classic Card Games,571429,-157142.85714285716,-21.5686274509804%
Happy Color®: Color by Number,571429,-442857.1428571433,-43.66197183098595%
Sudoku - Classic Sudoku Puzzle,571429,-0.00000000011641532182693481,-2.03726813197136E-14%
Flashscore: Live Scores & News,542857,-1157142.8571428573,-68.06722689075632%
Tile Explorer - Triple Match,542857,-200000.00000000012,-26.923076923076938%
Block Crush!,400000,142857.14285714264,55.55555555555546%
Screwdom 3D,371429,214285.71428571426,136.36363636363632%
Word Search Explorer,371429,185714.28571428562,99.99999999999994%
Grindr - Gay Dating & Chat,371429,85714.28571428556,29.999999999999943%
Candy Crush Soda Saga,342857,-228571.42857142858,-40.00000000000001%
ReelShort - Stream Drama & TV,328571,57142.8571428571,21.05263157894735%
Arrows GO!,328571,-85714.28571428562,-20.689655172413776%
Wool Crush™,300000,99999.99999999997,49.99999999999997%
Radio Denmark - FM/DAB radio,285714,42857.14285714284,17.6470588235294%
Mahjong Club - Solitaire Game,271429,71428.57142857145,35.714285714285715%
"Character AI: Chat, Talk, Text",271429,99999.99999999997,58.33333333333331%
Farm Heroes Saga,257143,28571.42857142858,12.500000000000002%
nyheder.tv2.dk,257143,-185714.28571428565,-41.93548387096772%
"9GAG: Funny GIF, Meme & Video",257143,100000.00000000003,63.636363636363654%
Emochi: Chat With Character,257143,-328571.4285714283,-56.09756097560973%
Tower War - Tactical Conquest,257143,142857.1428571429,125.00000000000001%
dailymotion.com,257143,-28571.42857142852,-9.999999999999984%
Bubble Shooter - Classic Pop,242857,100000.00000000003,70.00000000000001%
Arrow Out,228571,-99999.99999999997,-30.43478260869564%
Jigsawscapes® - Jigsaw Puzzles,228571,-242857.14285714264,-51.515151515151494%
Color Slide - Hexa Puzzle,228571,-28571.42857142858,-11.111111111111112%
Goods Puzzle: Sort Challenge™,228571,42857.14285714287,23.076923076923084%
Solitaire,214286,-14285.71428571429,-6.250000000000001%
Sudoku.com - Classic Sudoku,214286,171428.57142857148,400.00000000000017%
Toon Blast,214286,-142857.14285714278,-39.999999999999986%
nyheder24.dk,214286,-14285.71428571429,-6.250000000000001%
Pocket Sort: Coin Merge Puzzle,214286,28571.42857142858,15.384615384615389%
Pixel Flow!,214286,-85714.28571428568,-28.57142857142856%
Pocket FM: Audio Series,200000,42857.14285714287,27.27272727272728%
Bus Traffic Fever!,185714,57142.857142857145,44.444444444444436%
Ludo Club - Fun Dice Game,185714,0.0,0.0%
Jewel Coloring,171429,-14285.71428571429,-7.692307692307694%
Talkie: Creative AI Community,171429,71428.57142857143,71.42857142857143%
Woodoku - Wood Block Puzzle,171429,-142857.1428571428,-45.454545454545446%
Number Match - Number Games,171429,42857.142857142855,33.33333333333333%
Blockudoku®: Block Puzzle Game,171429,142857.14285714287,500.00000000000006%
Little Farm Story: Idle Tycoon,171429,85714.28571428572,100.0%
valdemarsro.dk,171429,171428.57142857142,NA
Search It - Hidden Objects,157143,42857.142857142855,37.49999999999999%
Spider Solitaire,157143,28571.42857142858,22.22222222222223%
Zen Word® - Relax Puzzle Game,157143,14285.71428571429,10.000000000000004%
Woodle Screw™ Pin Nuts & Bolts,142857,28571.428571428565,24.99999999999999%
Hearts: Classic Card Game,128571,14285.714285714304,12.500000000000016%
Gossip Harbor: Merge & Story,128571,85714.28571428572,200.00000000000003%
Spider Solitaire - Card Games,128571,14285.714285714275,12.499999999999988%
Tumblr: Social Media & Art,128571,-57142.85714285716,-30.769230769230777%
wp.pl,114286,57142.85714285716,100.00000000000003%
Block Away - Tap Out Puzzle,114286,71428.57142857145,166.6666666666667%
Tinder Dating App: Chat & Date,114286,71428.57142857145,166.6666666666667%
QuizDuel! Quiz & Trivia Game,114286,42857.14285714287,60.000000000000014%
Shape Escape: Block Puzzle,114286,-142857.1428571429,-55.55555555555556%
Mahjong Crush: Sorting Jam,114286,28571.42857142858,33.33333333333334%
Mahjong Master: Daily Match,114286,42857.14285714287,60.000000000000014%
Rakuten Viber Messenger,114286,100000.0,700.0%
Crozzle - Crossword Puzzles,114286,85714.28571428571,299.99999999999994%
DramaBox - Stream Drama Shorts,114286,28571.428571428565,33.33333333333332%
Idle Zombie Miner: Gold Tycoon,100000,-157142.85714285716,-61.11111111111111%
Nonogram.com - Puzzle Games,100000,71428.57142857145,250.00000000000006%
Kryss - The Battle of Words,100000,14285.71428571429,16.66666666666667%
Mahjong Triple - Match 3 Tile,100000,14285.71428571429,16.66666666666667%
Yatzy - Fun Classic Dice Game,100000,85714.28571428572,600.0000000000001%
Snake Escape,100000,28571.42857142858,40.000000000000014%
plbold.dk,100000,14285.71428571429,16.66666666666667%
9gag.com,100000,85714.28571428572,600.0000000000001%
tripadvisor.dk,100000,-57142.85714285716,-36.363636363636374%
NetShort - Popular Dramas & TV,100000,-0.000000000014551915228366852,-1.455191522836685E-14%
LiveScore: Live Sports Scores,100000,-42857.14285714287,-30.000000000000007%
Color Block Jam,85714,-14285.71428571429,-14.285714285714288%
DramaWave - Dramas & Reels,85714,-114285.7142857143,-57.142857142857146%
Find Hidden Objects - Spot It!,85714,14285.71428571429,20.000000000000007%
GoodShort - Short Dramas Hub,85714,0.0,0.0%
Goods Sort™ - Sorting Games,85714,57142.85714285715,200.00000000000003%
Jigsaw Master - Jigsaw Puzzles,85714,71428.57142857143,500.00000000000006%
Idle Miner Tycoon: Gold Games,85714,85714.28571428572,NA
Math Crossword — Number puzzle,85714,42857.14285714287,100.00000000000004%
Merge Cooking®,85714,0.0,0.0%
Offline Games - No Wifi Games,85714,-57142.857142857145,-40.0%
Snake Clash!,85714,42857.14285714287,100.00000000000004%
Sudoku Blast!,85714,28571.42857142858,50.000000000000014%
Tile Clear - Puzzle Game,85714,14285.71428571429,20.000000000000007%
Vinted: Shop & sell pre-loved,85714,-71428.57142857143,-45.45454545454545%
3D Bolt Master®: Screw Master®,85714,71428.57142857143,500.00000000000006%
Tile Club - Match Puzzle Games,85714,-57142.857142857145,-40.0%
Yahoo Finance: Stocks & News,85714,85714.28571428572,NA
Top Eleven Be a Soccer Manager,85714,14285.71428571429,20.000000000000007%
Triple Tile: Match Puzzle Game,85714,28571.42857142858,50.000000000000014%
Solitaire Associations Journey,85714,-57142.85714285716,-40.000000000000014%
Sudoku Game - Daily Puzzles,85714,-85714.28571428574,-50.000000000000014%
vinted.dk,85714,-14285.71428571429,-14.285714285714292%
Wasteland Life: Survival Idle,71429,-28571.42857142858,-28.571428571428577%
Word Screw: 3D Screw Puzzle,71429,-14285.71428571429,-16.66666666666667%
focus.de,71429,28571.42857142858,66.6666666666667%
Colony Flow!,71429,-57142.85714285716,-44.44444444444445%
gruble.dk,71429,28571.42857142858,66.6666666666667%
howtogeek.com,71429,71428.57142857143,NA
Pet Rescue Saga,71429,71428.57142857143,NA
sudoku.com,71429,28571.42857142858,66.6666666666667%
bt.dk,71429,71428.57142857143,NA
m.bild.de,71429,0.0,0.0%
CubeAway - 3DPuzzle,71429,42857.14285714286,150.00000000000003%
"GoodNovel - Booktok, Stories",71429,-57142.857142857145,-44.44444444444444%
Goodville: Farm Game Adventure,71429,42857.14285714286,150.00000000000003%
Jigsaw Drop: Solitaire Puzzle,71429,28571.42857142858,66.6666666666667%
Jigsawcard Solitaire Puzzle,71429,-114285.7142857143,-61.53846153846154%
Number Sums - Numbers Game,71429,71428.57142857143,NA
Screw Sort Puzzle: Pin Jam 3D,71429,42857.14285714286,150.00000000000003%
Alarmy - Alarm Clock & Sleep,71429,28571.42857142858,66.6666666666667%
Pyramid Solitaire - Card Games,71429,0.0,0.0%
Skip-Bo™: Solitaire Card Game,71429,0.0,0.0%
Tap Tile!,71429,28571.42857142858,66.6666666666667%
Toy Blast,71429,-85714.28571428572,-54.54545454545455%
Hay Day,71429,14285.714285714275,24.99999999999998%
Paper.io 2,71429,-28571.42857142858,-28.571428571428584%
Calculator Plus with History,57143,57142.857142857145,NA
Canasta,57143,28571.428571428572,100.0%
Car Out! Traffic Parking Games,57143,0.0,0.0%
Chai: Chat AI Platform,57143,0.0,0.0%
Classic Jigsaw,57143,28571.428571428572,100.0%
Color Cube Match: Sort Puzzle,57143,28571.428571428572,100.0%
Dream Family - Match 3 Games,57143,57142.857142857145,NA
Dice Dreams™️,57143,14285.71428571429,33.33333333333335%
Dreamdale - Fairy Adventure,57143,42857.142857142855,299.99999999999994%
Empires & Puzzles: Match-3 RPG,57143,14285.71428571429,33.33333333333335%
Flightradar24 Flight Tracker,57143,-14285.71428571429,-20.000000000000007%
FotMob - Soccer Live Scores,57143,-257142.8571428571,-81.81818181818181%
FreeCell Solitaire,57143,57142.857142857145,NA
Goods Puzzle: 3D Sorting Games,57143,-42857.14285714287,-42.85714285714287%
Jigsaw Link Puzzles,57143,0.0,0.0%
Hearts,57143,14285.71428571429,33.33333333333335%
Hill Climb Racing 2,57143,28571.428571428572,100.0%
Jigsolitaire,57143,14285.71428571429,33.33333333333335%
June's Journey: Hidden Objects,57143,-14285.71428571429,-20.000000000000007%
Opera Mini: Fast Web Browser,57143,28571.428571428572,100.0%
Shopping List - Listonic,57143,14285.71428571429,33.33333333333335%
Sofascore: Live Sports Scores,57143,-85714.28571428572,-60.00000000000001%
Solitaire Classic - 2025,57143,28571.428571428572,100.0%
Solitaire Classic,57143,42857.142857142855,299.99999999999994%
Spider Solitaire: Card Games,57143,-28571.42857142858,-33.33333333333334%
Step Counter - Pedometer,57143,42857.142857142855,299.99999999999994%
Subway Surfers,57143,28571.428571428572,100.0%
TV 2 Nyheder,57143,28571.428571428572,100.0%
Tile Family®:Match Puzzle Game,57143,28571.428571428572,100.0%
Unknown,57143,28571.428571428572,100.0%
Word Snack - Picnic with Words,57143,28571.428571428572,100.0%
"WEBTOON: Manga, Comics, Manhwa",57143,-14285.71428571429,-20.000000000000007%
Weather From DMI and YR,57143,-28571.42857142858,-33.33333333333334%
tripadvisor.com,57143,42857.142857142855,299.99999999999994%
altomkendte.dk,57143,42857.142857142855,299.99999999999994%
wetteronline.de,57143,57142.857142857145,NA
Bubble Shooter,57143,14285.71428571429,33.33333333333335%
Bus Out,57143,-14285.71428571429,-20.000000000000007%
Unscrew Frenzy 3D,57143,42857.142857142855,299.99999999999994%
Arrow Puzzle: Tap Puzzle Games,42857,14285.714285714283,49.999999999999986%
Badoo Dating App: Meet & Date,42857,0.0,0.0%
BagMaster Isekai – Bag Battle,42857,42857.142857142855,NA
Ball Sort - Color Sort Puzzle,42857,42857.142857142855,NA
Ball Sort Puzzle - Color Game,42857,28571.42857142857,199.99999999999997%
Block Puzzle,42857,14285.714285714283,49.999999999999986%
Business Empire: RichMan,42857,0.0,0.0%
CallApp: Caller ID & Block,42857,0.0,0.0%
Chaos Drink Sort: Water Puzzle,42857,0.0,0.0%
Calming Crosswords Word Puzzle,42857,28571.42857142857,199.99999999999997%
Car Jam,42857,0.0,0.0%
Color Maze,42857,-28571.42857142858,-40.000000000000014%
Colorwood Sort Puzzle Game,42857,42857.142857142855,NA
CozySort: Coins,42857,-42857.14285714287,-50.000000000000014%
Crossword Go!,42857,-14285.71428571429,-25.000000000000007%
Cryptogram: Word Logic Puzzles,42857,-71428.57142857145,-62.50000000000001%
Currency Converter Plus Rates,42857,14285.714285714283,49.999999999999986%
Cube Land Puzzle Game,42857,42857.142857142855,NA
Dream Mania - Match 3 Games,42857,-14285.71428571429,-25.000000000000007%
Girl Rescue: Dragon Out!,42857,14285.714285714283,49.999999999999986%
Hexa 3D Game: Dream Hex® Sort,42857,0.0,0.0%
Hunting Sniper,42857,28571.42857142857,199.99999999999997%
Idle Bank Tycoon: Money Empire,42857,0.0,0.0%
Jade Mahjong,42857,-28571.42857142858,-40.000000000000014%
Jigsaw Puzzles for Adults,42857,-14285.71428571429,-25.000000000000007%
JustPlay: Earn Money or Donate,42857,28571.42857142857,199.99999999999997%
Kik — Messaging & Chat App,42857,28571.42857142857,199.99999999999997%
Land Builder,42857,-57142.857142857145,-57.142857142857146%
Magic Sort!,42857,-28571.42857142858,-40.000000000000014%
Medieval Idle King,42857,42857.142857142855,NA
My Perfect Hotel,42857,-57142.85714285716,-57.14285714285715%
Novelory – Addictive Novels,42857,28571.42857142857,199.99999999999997%
Mystery Town: Merge Games,42857,0.0,0.0%
Profile Perfect,42857,-28571.428571428565,-39.99999999999999%
Pull the Pin,42857,42857.142857142855,NA
Queens Master: Sudoku Puzzle,42857,28571.42857142857,199.99999999999997%
Renovation Day: House Makeover,42857,42857.142857142855,NA
Royal Smash! - Physics Puzzle,42857,28571.42857142857,199.99999999999997%
ShortsWave: Watch Drama Series,42857,42857.142857142855,NA
Solitaire Collection,42857,28571.42857142857,199.99999999999997%
Snake.io - Fun Snake .io Games,42857,-28571.42857142858,-40.000000000000014%
Solitaire - Classic Card Game,42857,-28571.42857142858,-40.000000000000014%
Solitaire Grand Harvest,42857,14285.714285714283,49.999999999999986%
SoundCloud: The Music You Love,42857,-28571.428571428565,-39.99999999999999%
Spider Solitaire - Retro Card,42857,14285.714285714283,49.999999999999986%
Spider Solitaire Classic Games,42857,14285.714285714283,49.999999999999986%
State.io — Conquer the World,42857,28571.42857142857,199.99999999999997%
Tetris®,42857,14285.714285714283,49.999999999999986%
States Builder: Trade Empire,42857,14285.714285714283,49.999999999999986%
Travel Town - Merge Adventure,42857,28571.42857142857,199.99999999999997%
Triple Match 3D,42857,-14285.71428571429,-25.000000000000007%
Tvtjek - Dansk TV-Guide,42857,0.0,0.0%
Vehicle Masters,42857,-85714.28571428572,-66.66666666666667%
Wattpad - Read & Write Stories,42857,0.0,0.0%
WordBrain - Word puzzle game,42857,0.0,0.0%
weather24: Forecast & Radar,42857,0.0,0.0%
Angry Birds 2,42857,42857.142857142855,NA
Jigsaw Puzzle Art: Relax Book,42857,28571.42857142857,199.99999999999997%
people.com,42857,14285.714285714283,49.999999999999986%
amomedia.com,42857,28571.42857142857,199.99999999999997%
gastrofun.dk,42857,42857.142857142855,NA
Click X,28571,-85714.28571428574,-75.00000000000001%
Gummy Drop! Match 3 & Travel,28571,28571.428571428572,NA
My Little Universe,28571,-14285.714285714283,-33.33333333333333%
Solitaire: Puzzle Card Games,28571,14285.714285714286,100.0%
Animals & Coins Adventure Game,28571,-14285.714285714283,-33.33333333333333%
Arrow Carnival,28571,28571.428571428572,NA
Arrow Puzzle - Arrow Madness,28571,-57142.85714285715,-66.66666666666667%
Associate Words: Solitaire,28571,28571.428571428572,NA
BESTPLAY Play to earn & donate,28571,14285.714285714286,100.0%
Ball Sort Puzzle®,28571,0.0,0.0%
Balloon Master 3D-Puzzle Games,28571,-14285.714285714283,-33.33333333333333%
Blossom Sort® - Flower Games,28571,28571.428571428572,NA
BeFriend: make friends nearby,28571,28571.428571428572,NA
Bingo Blitz™️ - Bingo Games,28571,14285.714285714286,100.0%
Brick Factory!,28571,28571.428571428572,NA
Bricks n Balls,28571,14285.714285714286,100.0%
Bubble Pop Mania,28571,28571.428571428572,NA
Bubble Witch 3 Saga,28571,14285.714285714286,100.0%
Bubble Word Jam,28571,14285.714285714286,100.0%
Bus Jam: Car Parking Games,28571,28571.428571428572,NA
Bubbles Empire Champions,28571,28571.428571428572,NA
Butcher hero: hook'n'chew RPG,28571,0.0,0.0%
Cake Sort - Color Puzzle Game,28571,28571.428571428572,NA
Car Jam Solver: Traffic Jam,28571,0.0,0.0%
Car Sort: Color Puzzle,28571,-14285.714285714283,-33.33333333333333%
Castle Busters,28571,14285.714285714286,100.0%
Chess Clash: Online & Offline,28571,28571.428571428572,NA
Clockmaker: Jewel Match 3 Game,28571,14285.714285714286,100.0%
Color Block: Combo Blast,28571,-14285.714285714283,-33.33333333333333%
Classic Solitaire: Card Games,28571,14285.714285714286,100.0%
Ciclo Motiva,28571,28571.428571428572,NA
Color Flow : Block Buster,28571,-14285.714285714283,-33.33333333333333%
Colorever: Coloring Diamonds!,28571,0.0,0.0%
Cookingo: Perfect Meal,28571,28571.428571428572,NA
Craftsman: Building Craft,28571,14285.714285714286,100.0%
Cosplaydom,28571,28571.428571428572,NA
Crazy Fox,28571,28571.428571428572,NA
Cube Tap Sort,28571,-14285.714285714283,-33.33333333333333%
Daily Number Match,28571,-14285.714285714283,-33.33333333333333%
Daily Themed Crossword Puzzles,28571,28571.428571428572,NA
Differences - Find & Spot It,28571,0.0,0.0%
Dominoes,28571,28571.428571428572,NA
FUTBIN FC 26 Evolutions & More,28571,14285.714285714286,100.0%
Double Tile!,28571,-85714.28571428571,-74.99999999999999%
Eatventure,28571,28571.428571428572,NA
Flashback: Tricky Fun Riddles,28571,28571.428571428572,NA
FlickReels: Short Drama Series,28571,28571.428571428572,NA
Foodventure Inc: Idle Tycoon,28571,14285.714285714286,100.0%
Fort Guardian,28571,28571.428571428572,NA
FreeCell Solitaire: Card Games,28571,-42857.14285714286,-60.00000000000001%
Fun Mahjong Match,28571,14285.714285714286,100.0%
Frost Valley™: Merge & Story,28571,28571.428571428572,NA
"Gallery - photo gallery, album",28571,28571.428571428572,NA
Geometry Dash Lite,28571,-14285.714285714283,-33.33333333333333%
Get Color - Water Sort Puzzle,28571,0.0,0.0%
Going Balls,28571,28571.428571428572,NA
Gold and Goblins: Mining Games,28571,0.0,0.0%
Goods Jam: Goods Sorting,28571,-57142.85714285715,-66.66666666666667%
Head Ball 2 - Online Soccer,28571,0.0,0.0%
Happy Screw Trip 3D: ASMR,28571,-28571.428571428572,-50.0%
Harry Potter: Puzzles & Spells,28571,-42857.14285714286,-60.00000000000001%
Hexa Away,28571,-28571.428571428572,-50.0%
Hexa Sort,28571,0.0,0.0%
Hidden Quest:Seek & Spot Pro,28571,14285.714285714286,100.0%
Hole Stars: Puzzle Game,28571,28571.428571428572,NA
Idle Merge Fun,28571,28571.428571428572,NA
Idle Lumber Empire: Tycoon Inc,28571,14285.714285714286,100.0%
Idle Mine! Tycoon Mining Game,28571,14285.714285714286,100.0%
Idle Startup: Money Clicker,28571,28571.428571428572,NA
Imgur: Funny Memes & GIF Maker,28571,14285.714285714286,100.0%
Jelly Hole: Roll & Eat Pals,28571,28571.428571428572,NA
Jigblock: Flip Match,28571,28571.428571428572,NA
Jigsaw Puzzle Explorer,28571,14285.714285714286,100.0%
Kleinanzeigen - without eBay,28571,0.0,0.0%
Jigsaw World - Puzzle Games,28571,28571.428571428572,NA
Jigsawpics Puzzle Gallery,28571,0.0,0.0%
Lark Player:Music Player & MP3,28571,14285.714285714286,100.0%
Local Food Cart,28571,28571.428571428572,NA
Lost Prison - Shelter Survival,28571,28571.428571428572,NA
Lotsa Slots - Casino Games,28571,28571.428571428572,NA
Mahjong Tile Dynasty,28571,0.0,0.0%
Match Family: Triple Match 3D,28571,14285.714285714286,100.0%
Marble Sort! - Color Puzzle,28571,0.0,0.0%
Merge Dragons!,28571,28571.428571428572,NA
Merge Fashion: Romance Story,28571,0.0,0.0%
Merge Restyle,28571,28571.428571428572,NA
MoboReels: Good Reel Short TV,28571,14285.714285714286,100.0%
Monster Legends,28571,0.0,0.0%
MoonLit - Werewolf Novels,28571,0.0,0.0%
My Singing Monsters,28571,0.0,0.0%
MyFitnessPal: Calorie Counter,28571,14285.714285714286,100.0%
Moovit: Your Transit Tracker,28571,28571.428571428572,NA
Nova Launcher: Home Screen,28571,-14285.714285714283,-33.33333333333333%
NumMatch: Number Logic Puzzles,28571,14285.714285714286,100.0%
Number Clash - Math Game,28571,-42857.14285714286,-60.00000000000001%
Nut Sort: Color Sorting Game,28571,-28571.428571428572,-50.0%
OneFootball Live Soccer scores,28571,28571.428571428572,NA
Okey,28571,28571.428571428572,NA
Our Groceries Shopping List,28571,28571.428571428572,NA
Paint by Number: Coloring Game,28571,-14285.714285714283,-33.33333333333333%
Pick Me Up 3D: Taxi Game,28571,28571.428571428572,NA
Piggy Kingdom,28571,28571.428571428572,NA
Pixel Art - Color by Number,28571,14285.714285714286,100.0%
Pizza Ready!,28571,28571.428571428572,NA
Project Makeover,28571,28571.428571428572,NA
PolyBuzz: Chat with AI Friends,28571,-42857.14285714286,-60.00000000000001%
Prank House Escape,28571,28571.428571428572,NA
Race Master 3D: Car Racing,28571,14285.714285714286,100.0%
Radio FM,28571,28571.428571428572,NA
Room Sort - Floor Plan Game,28571,28571.428571428572,NA
Sand Shape,28571,28571.428571428572,NA
Scrabble® GO – Fun with Words!,28571,28571.428571428572,NA
Screw Jam Master : Nuts Puzzle,28571,28571.428571428572,NA
Screw Art: Pixel Art Games,28571,28571.428571428572,NA
Screw Sort 3D,28571,-14285.714285714283,-33.33333333333333%
Simple Calendar - easy planner,28571,28571.428571428572,NA
Slow Mo Strike,28571,28571.428571428572,NA
Smash Fest!,28571,-28571.428571428572,-50.0%
Soccer Referee Simulator 2026,28571,28571.428571428572,NA
Soccer Superstar,28571,-28571.428571428572,-50.0%
Sudoku: Number Match Game,28571,14285.714285714286,100.0%
Spades Stars - Card Game,28571,0.0,0.0%
Spades: Classic Card Games,28571,-14285.714285714283,-33.33333333333333%
Survivor.io,28571,28571.428571428572,NA
TDS - Tower Destiny Survive,28571,0.0,0.0%
Tap Away,28571,28571.428571428572,NA
Tear Them All: Robot fighting,28571,28571.428571428572,NA
Theme Park Manager,28571,28571.428571428572,NA
Ten Crush,28571,28571.428571428572,NA
Tidy X,28571,14285.714285714286,100.0%
Tile Master 3D®-Matching Games,28571,14285.714285714286,100.0%
Tile Master Pro: Triple Match,28571,28571.428571428572,NA
Tower Control Manager,28571,14285.714285714286,100.0%
Traffic Frenzy: Road Jam,28571,28571.428571428572,NA
Train Miner: Idle Railway Game,28571,14285.714285714286,100.0%
Unscrew: Screw Pin Jam Puzzle,28571,-14285.714285714283,-33.33333333333333%
Train Station 2: Rail Tycoon,28571,28571.428571428572,NA
Truecaller: Spam Call Blocker,28571,14285.714285714286,100.0%
Video Downloader,28571,-14285.714285714283,-33.33333333333333%
Video Editor & Maker - InShot,28571,14285.714285714286,100.0%
Vita Solitaire for Seniors,28571,14285.714285714286,100.0%
War Regions - Tactical Game,28571,28571.428571428572,NA
Water Sort! Color Sort Puzzle,28571,28571.428571428572,NA
Weather Radar - Meteored News,28571,-14285.714285714283,-33.33333333333333%
We Are Warriors!,28571,-42857.14285714286,-60.00000000000001%
Woody 99 - Sudoku Block Puzzle,28571,28571.428571428572,NA
Wool Puzzle 3D,28571,-28571.428571428572,-50.0%
Woolscape 3D,28571,28571.428571428572,NA
Word Association Tiles,28571,14285.714285714286,100.0%
Word Jam - Screw Puzzle,28571,0.0,0.0%
Word Tour,28571,28571.428571428572,NA
Zen Color - Color By Number,28571,14285.714285714286,100.0%
Zen Hole - Black Hole Game,28571,28571.428571428572,NA
Zen Match,28571,14285.714285714286,100.0%
boredpanda.com,28571,28571.428571428572,NA
dailymail.com,28571,0.0,0.0%
dailystar.co.uk,28571,14285.714285714286,100.0%
finance.yahoo.com,28571,28571.428571428572,NA
ekstrabladet.dk,28571,-85714.28571428571,-74.99999999999999%
flashscore.dk,28571,0.0,0.0%
genius.com,28571,-14285.714285714283,-33.33333333333333%
imo HD - Video Calls and Chats,28571,28571.428571428572,NA
investing.com,28571,28571.428571428572,NA
mitkrydsord.dk,28571,14285.714285714286,100.0%
mmm.dk,28571,28571.428571428572,NA
unian.ua,28571,28571.428571428572,NA
pudelek.pl,28571,-14285.714285714283,-33.33333333333333%
vesselfinder.com,28571,28571.428571428572,NA
weather.com,28571,-28571.428571428572,-50.0%
wetter.de,28571,28571.428571428572,NA
worldle.teuteuf.fr,28571,28571.428571428572,NA
µTorrent®- Torrent Downloader,28571,14285.714285714286,100.0%
Yarn Loop,28571,28571.428571428572,NA
Yatzy Multiplayer Dice Game,28571,28571.428571428572,NA
polki.pl,28571,28571.428571428572,NA
8 Ball Pool,28571,0.0,0.0%
1010! Block Puzzle Game,28571,14285.714285714286,100.0%
ATLAS:EARTH - Fun Cashback,28571,-114285.71428571429,-80.0%
Alien Invasion: RPG Idle Space,28571,28571.428571428572,NA
Ants Flow: Pixel Color Puzzle!,28571,-14285.714285714283,-33.33333333333333%
Car Match Parking Jam Puzzle,14286,14285.714285714286,NA
Bowling Clash: 3D Crew Game,14286,14285.714285714286,NA
Car Parking Jam 3D: Move it!,14286,14285.714285714286,NA
Color Clash,14286,14285.714285714286,NA
Braindom: Brain Games Test,14286,0.0,0.0%
Build A Queen,14286,14285.714285714286,NA
Cat Defenders: Shelling Snake,14286,14285.714285714286,NA
Classic Solitaire - 2026,14286,-28571.42857142857,-66.66666666666666%
Color Knitzy,14286,14285.714285714286,NA
Count Masters: Stickman Games,14286,14285.714285714286,NA
Decor Life - Home Design Game,14286,-14285.714285714286,-50.0%
Block Puzzle:Wood Sudoku,14286,14285.714285714286,NA
Brick Breaker: Legend Balls,14286,14285.714285714286,NA
