Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Spain]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,32100000,14114285.714285728,78.4749801429707%
Grindr - Gay Dating & Chat,18628571,-7485714.285714265,-28.665207877461647%
Vita Mahjong,17614286,128571.42857143283,0.7352941176470833%
Flashscore: Live Scores & News,8314286,-3757142.8571428554,-31.124260355029577%
Wattpad - Read & Write Stories,8028571,1200000.000000001,17.573221757322187%
Demus: Easy Music Streaming,6471429,1257142.8571428582,24.10958904109592%
Meowdoku!,6357143,-1185714.2857142854,-15.719696969696976%
as.com,5871429,-4542857.142857147,-43.62139917695476%
Solitaire Associations Journey,5485714,-1399999.999999999,-20.331950207468868%
Wallapop - Sell & Buy,5457143,-7142857.142857138,-56.689342403628096%
Words of Wonders: Crossword,4471429,-1171428.5714285728,-20.7594936708861%
Goods Puzzle: Sort Challenge,4457143,-242857.14285713993,-5.167173252279575%
Sudoku.com - Number Games,4328571,-1385714.2857142845,-24.249999999999986%
Tile Explorer: Tiles Clear!,4328571,-242857.14285714366,-5.3125000000000195%
Moovit: Bus & Transit Tracker,4200000,-200000.00000000186,-4.545454545454587%
"Character AI: Chat, Talk, Text",4071429,-185714.28571428452,-4.362416107382524%
Offline Games - No Wifi Games,3628571,57142.85714285588,1.5999999999999646%
Parchisi STAR,3428571,585714.285714284,20.60301507537683%
marca.com,3185714,485714.285714285,17.989417989417966%
Happy Color by Numbers Game,3157143,-857142.8571428577,-21.3523131672598%
Vinted: Pre-loved marketplace,2742857,400000.0,17.073170731707314%
Sudoku - Brain Puzzle Games,2528571,-214285.7142857141,-7.812499999999994%
playus: Daily Group Challenge,2500000,114285.71428571409,4.790419161676638%
Wool Crush™-Escape Traffic Jam,2342857,-771428.5714285709,-24.770642201834846%
Letterboxd,2300000,-185714.28571428638,-7.471264367816117%
Zen Color - Color By Number,2185714,-471428.5714285709,-17.741935483870947%
Number Match - Numbers Game,2171429,199999.99999999953,10.144927536231856%
Flightradar24 | Flight Tracker,2128571,-1628571.4285714272,-43.34600760456271%
Search It - Hidden Objects,2100000,57142.85714285681,2.7972027972027798%
myTuner Radio - Live Stations,2042857,342857.1428571432,20.16806722689077%
Spider ▻ Solitaire,1985714,14285.714285714319,0.7246376811594218%
Amerigo File Manager,1757143,-442857.1428571425,-20.129870129870106%
Mahjong Blast,1728571,-500000.0000000007,-22.435897435897456%
elpais.com,1585714,-1342857.1428571402,-45.85365853658531%
Jewel Coloring,1542857,142857.1428571432,10.204081632653084%
Woodoku - Wood Block Puzzles,1514286,-814285.7142857155,-34.969325153374264%
My Perfect Hotel,1442857,400000.0,38.35616438356164%
MARCA - Sports Newspaper,1371429,-314285.7142857141,-18.644067796610155%
Candy Crush Saga,1371429,414285.7142857142,43.28358208955222%
CHAI: Social AI Platform- Chat,1300000,600000.0000000005,85.71428571428578%
OneFootball Live Soccer scores,1214286,14285.714285714319,1.1904761904761934%
Yarn Fever! Unravel Puzzle,1200000,-342857.14285714226,-22.222222222222182%
▻ Solitaire,1185714,-199999.99999999977,-14.432989690721632%
Sofascore: Live Sports Scores,1185714,-785714.2857142859,-39.855072463768124%
Screw All Out - Jam Master,1171429,71428.5714285716,6.493506493506508%
Hexa Away,1142857,-142857.14285714296,-11.111111111111116%
Mini Soccer Star 2026,1100000,-214285.71428571432,-16.304347826086957%
Blockudoku - Block Puzzle Game,1085714,271428.5714285715,33.33333333333334%
Word Search Explorer®,1028571,-357142.85714285716,-25.773195876288653%
"Picsart AI Photo Editor, Video",1014286,-314285.7142857142,-23.655913978494617%
Word Crack: Board Fun Game,1014286,-228571.42857142887,-18.390804597701173%
Toon Blast,1000000,-257142.85714285693,-20.45454545454544%
▻Sudoku,1000000,-142857.14285714296,-12.500000000000007%
Nonogram.com - Number Games,985714,-85714.28571428556,-7.999999999999986%
DramaBox - Stream Drama Shorts,957143,257142.85714285728,36.734693877551045%
Block Crush！,957143,-414285.7142857148,-30.20833333333336%
