Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[France]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
AM TUNNEL LITE VPN,32257143,4157142.8571428657,14.794102694458589%
Vita Mahjong,27442857,-1942857.1428571679,-6.611570247933968%
HAMARA TUNNEL,25685714,3171428.571428586,14.086294416243717%
Meowdoku: Brain Puzzle Games,19528571,-214285.7142857164,-1.0853835021707783%
Block Blast!,17100000,-13914285.714285716,-44.86411791801013%
Grindr - Gay Dating & Chat,16171429,-7314285.714285705,-31.143552311435492%
Mahjong Blast,15300000,-15842857.142857142,-50.87155963302751%
Scrabble® GO – Fun with Words!,15000000,-2142857.1428571288,-12.499999999999918%
PolyBuzz: Chat with AI Friends,13800000,-3599999.9999999944,-20.689655172413765%
Candy Crush Saga,11242857,-5471428.571428575,-32.73504273504275%
Goods Puzzle: Sort Challenge™,9800000,3957142.8571428563,67.72616136919312%
Wattpad - Read & Write Stories,9314286,-2985714.28571428,-24.27409988385595%
Candy Crush Soda Saga,8957143,-1328571.4285714235,-12.916666666666618%
Arrows – Puzzle Escape,8671429,-21799999.999999985,-71.54242850445381%
DramaWave - Dramas & Reels,7528571,-542857.1428571437,-6.725663716814169%
Block Crush!,7114286,-4500000.000000005,-38.745387453874564%
AM TUNNEL PRO,6742857,1028571.4285714272,17.999999999999975%
Tile Explorer - Triple Match,6728571,-4057142.8571428563,-37.61589403973508%
Solitaire - Classic Card Games,6528571,-6814285.714285725,-51.07066381156321%
Vinted: Shop & sell pre-loved,6185714,3414285.714285712,123.19587628865972%
Sudoku - Classic Sudoku Puzzle,6085714,14285.714285716414,0.23529411764709382%
Arrows GO!,6042857,-6014285.714285716,-49.88151658767773%
Emochi: Chat With Character,5771429,-2057142.8571428582,-26.277372262773735%
APNA TUNNEL LITE,5457143,742857.1428571427,15.75757575757576%
Happy Color®: Color by Number,5257143,900000.0000000009,20.655737704918057%
Amerigo,5128571,-785714.2857142892,-13.28502415458943%
Words of Wonders: Crossword,5057143,-642857.1428571418,-11.27819548872179%
Solitaire Associations Journey,4585714,-1085714.2857142854,-19.14357682619647%
"Character AI: Chat, Talk, Text",4285714,-671428.5714285709,-13.544668587896247%
Word Search Explorer,4214286,-3214285.7142857127,-43.269230769230774%
Toon Blast,4100000,-742857.1428571423,-15.339233038348073%
Word Garden : Crosswords,4042857,-2371428.571428576,-36.971046770601404%
ReelShort - Stream Drama & TV,4000000,-3428571.42857143,-46.15384615384617%
Zen Word® - Relax Puzzle Game,3985714,-557142.8571428605,-12.2641509433963%
CodyCross: Crossword Puzzles,3971429,-1571428.5714285695,-28.350515463917503%
Farm Heroes Saga,3942857,-2442857.142857142,-38.25503355704698%
Solitaire,3671429,-1085714.2857142878,-22.8228228228229%
Tile Club - Match Puzzle Games,3557143,-1957142.8571428577,-35.492227979274624%
Double Tile!,3442857,-2285714.2857142845,-39.90024937655859%
Woodle Screw™ Pin Nuts & Bolts,3314286,-528571.4285714305,-13.754646840148752%
Wordfeud,3142857,-3614285.7142857118,-53.48837209302324%
Jigsawscapes® - Jigsaw Puzzles,3085714,885714.2857142836,40.25974025974016%
Mahjong Club - Solitaire Game,3000000,-2142857.1428571464,-41.666666666666714%
Opera Mini: Fast Web Browser,2957143,342857.14285714226,13.114754098360631%
Click X,2900000,-2599999.999999999,-47.272727272727266%
imo-International Calls & Chat,2785714,-200000.00000000047,-6.698564593301451%
Woodoku - Wood Block Puzzle,2728571,-699999.9999999977,-20.416666666666607%
Classic Words Solo,2685714,1499999.9999999993,126.50602409638545%
3D Bolt Master®: Screw Master®,2585714,-371428.57142856903,-12.560386473429876%
Pro des Mots,2542857,214285.71428571502,9.202453987730093%
"WEBTOON: Manga, Comics, Manhwa",2514286,-457142.85714285634,-15.384615384615364%
Pixel Flow!,2485714,-1857142.8571428545,-42.76315789473681%
Color Slide - Hexa Puzzle,2457143,-1042857.1428571409,-29.7959183673469%
"GoodNovel - Booktok, Stories",2442857,557142.8571428554,29.545454545454433%
Pocket FM: Audio Series,2428571,728571.4285714279,42.8571428571428%
Mahjong Master: Daily Match,2414286,-2228571.4285714277,-47.99999999999999%
Pocket Sort: Coin Merge Puzzle,2371429,-599999.9999999995,-20.19230769230767%
Wool Crush™,2357143,-942857.1428571409,-28.571428571428527%
Arrow Out,2342857,-1185714.2857142827,-33.603238866396694%
Jigsawcard Solitaire Puzzle,2314286,-457142.8571428568,-16.49484536082473%
Radio France - Live Radio FM,2285714,-385714.28571428545,-14.438502673796782%
melty.fr,2285714,-1914285.714285714,-45.578231292517%
Find Hidden Objects - Spot It!,2157143,-985714.2857142854,-31.363636363636353%
4 Pics 1 Word,2142857,-885714.285714285,-29.245283018867894%
Shape Escape: Block Puzzle,2142857,-3057142.8571428563,-58.791208791208774%
Flashscore: Live Scores & News,2085714,-5271428.571428573,-71.6504854368932%
FreeReels - Dramas & Reels,2085714,-2185714.285714285,-51.1705685618729%
Snaptube,2057143,99999.99999999953,5.109489051094866%
Zen Color - Color By Number,2042857,-0.00000000023283064365386963,-1.1397304234804802E-14%
NetShort - Popular Dramas & TV,2028571,-28571.428571428405,-1.3888888888888797%
Fluffy Drop,2014286,-1085714.2857142838,-35.02304147465433%
Little Farm Story: Idle Tycoon,2014286,-842857.1428571416,-29.499999999999957%
Everyday Puzzles: Mini Games,2000000,-1299999.9999999998,-39.39393939393938%
Tower War - Tactical Conquest,1971429,-771428.57142857,-28.12499999999995%
Bus Traffic Fever!,1971429,-871428.5714285681,-30.653266331658198%
Offline Games - No Wifi Games,1928571,-1257142.8571428547,-39.46188340807169%
Snake Escape,1914286,-471428.5714285718,-19.760479041916174%
Hidden Object Games: Seek It,1871429,-228571.4285714291,-10.88435374149662%
Top Eleven Be a Soccer Manager,1842857,42857.14285714296,2.380952380952386%
Jigsaw Drop: Solitaire Puzzle,1828571,142857.1428571432,8.474576271186459%
Belote.com - Belote & Coinche,1771429,285714.2857142859,19.23076923076924%
Belote & Coinche Multiplayer,1757143,-1314285.714285712,-42.790697674418546%
Crossword Daily - Word Puzzle,1742857,-471428.5714285716,-21.29032258064516%
Weather Radar - Meteored News,1728571,-1100000.0,-38.88888888888888%
Bubble Shooter - Classic Pop,1714286,-42857.14285714249,-2.4390243902438806%
Jigsort®: Solitaire,1700000,-842857.1428571411,-33.14606741573028%
Screw Sort Puzzle: Pin Jam 3D,1685714,885714.2857142861,110.71428571428577%
APNA SHIELD PRO,1671429,-171428.5714285716,-9.302325581395355%
Tidy X,1671429,-1728571.4285714277,-50.840336134453764%
Football League 2026,1671429,-214285.71428571432,-11.363636363636363%
HAMARA TUNNEL LITE,1671429,14285.714285714552,0.8620689655172573%
