Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[France]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,33228571,-21757142.85714291,-39.56871914783067%
Vita Mahjong,21942857,-13914285.714285713,-38.804780876494036%
Meowdoku!,21100000,-185714.28571429476,-0.8724832214765528%
Grindr - Gay Dating & Chat,20942857,-5014285.714285687,-19.317556411667493%
Wattpad - Read & Write Stories,18157143,-1842857.142857138,-9.214285714285689%
Scrabble® GO – Fun with Words!,14114286,-2057142.857142849,-12.720848056537053%
Happy Color by Numbers Game,13857143,1757142.85714286,14.521841794569093%
Goods Puzzle: Sort Challenge,13285714,-2557142.85714286,-16.140667267808855%
Amerigo File Manager,10757143,-628571.4285714254,-5.5207026348807755%
Flashscore: Live Scores & News,10600000,-10557142.857142862,-49.898717083052006%
Solitaire Associations Journey,9100000,1928571.4285714338,26.89243027888454%
Tile Explorer: Tiles Clear!,8957143,-1028571.428571431,-10.300429184549378%
Mahjong Blast,8257143,-5328571.428571432,-39.221871713985294%
"Character AI: Chat, Talk, Text",8185714,-2657142.8571428536,-24.505928853754916%
Letterboxd,6885714,2657142.85714286,62.83783783783791%
Colony Flow!,6671429,57142.85714285821,0.8639308855291742%
Offline Games - No Wifi Games,6200000,-314285.7142857155,-4.824561403508791%
Sudoku - Brain Puzzle Games,5314286,-714285.7142857146,-11.848341232227499%
Wool Crush™-Escape Traffic Jam,4800000,-185714.28571428917,-3.724928366762248%
Words of Wonders: Crossword,4685714,-985714.2857142864,-17.380352644836286%
Flightradar24 | Flight Tracker,4685714,-700000.0000000019,-12.997347480106134%
Da Fit,4671429,-400000.0,-7.887323943661973%
Paper.io 2,4642857,328571.4285714319,7.6158940397351795%
Candy Crush Saga,4542857,2128571.4285714296,88.16568047337283%
Vinted: Pre-loved marketplace,4514286,-14228571.428571433,-75.91463414634148%
Search It - Hidden Objects,4457143,842857.1428571427,23.320158102766797%
Woodoku - Wood Block Puzzles,4371429,-2900000.0000000037,-39.88212180746566%
Pro des Mots™,4157143,57142.85714285541,1.3937282229964738%
Word Garden : Crosswords,3985714,528571.4285714286,15.28925619834711%
Word Search Explorer®,3971429,-1242857.142857145,-23.8356164383562%
PolyBuzz: Chat with Characters,3642857,-1414285.7142857136,-27.96610169491526%
Spider ▻ Solitaire,3542857,-200000.0,-5.343511450381679%
Block Crush！,3514286,-3742857.1428571423,-51.5748031496063%
Zen Color - Color By Number,3457143,-785714.285714285,-18.5185185185185%
Yarn Fever! Unravel Puzzle,3357143,-771428.571428569,-18.68512110726639%
Rider – Stunt Bike Racing,3342857,-1157142.8571428587,-25.714285714285758%
Brilliant Sort™ Diamond Puzzle,3042857,899999.9999999995,41.99999999999996%
DramaWave - Dramas & Reels,2885714,899999.9999999991,45.32374100719419%
CHAI: Social AI Platform- Chat,2728571,-300000.00000000093,-9.905660377358519%
Jewel Coloring,2471429,685714.2857142847,38.39999999999993%
Video Lite,2428571,-857142.8571428577,-26.086956521739143%
Jigsawscapes® - Jigsaw Puzzles,2428571,-614285.7142857146,-20.187793427230055%
