Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[United Kingdom]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,25842857,-2428571.4285713993,-8.590197069226788%
Block Blast!,16042857,3028571.4285714477,23.271130625686226%
Mahjong Blast,13228571,114285.71428571083,0.8714596949890802%
Meowdoku: Brain Puzzle Games,11742857,1857142.8571428675,18.786127167630152%
dailymail.com,10257143,3585714.2857142845,53.74732334047108%
Candy Crush Saga,10042857,1071428.571428569,11.942675159235637%
PolyBuzz: Chat with AI Friends,9557143,1700000.0000000019,21.636363636363654%
Arrows – Puzzle Escape,9528571,-1071428.5714285728,-10.107816711590306%
Grindr - Gay Dating & Chat,8871429,214285.71428570896,2.475247524752413%
Solitaire - Classic Card Games,8714286,1271428.5714285793,17.082533589251543%
thesun.co.uk,8328571,-1871428.571428568,-18.3473389355742%
Wattpad - Read & Write Stories,7771429,1714285.7142857183,28.301886792452912%
Happy Color®: Color by Number,7628571,-28571.428571422584,-0.3731343283581309%
gumtree.com,7185714,-5871428.5714285765,-44.967177242888425%
Emochi: Chat With Character,6785714,1357142.85714286,25.00000000000006%
"Character AI: Chat, Talk, Text",6200000,2300000.0000000005,58.974358974359%
Words of Wonders: Crossword,5771429,-142857.1428571446,-2.4154589371980975%
Zen Word® - Relax Puzzle Game,5185714,1200000.0000000023,30.107526881720524%
Pocket FM: Audio Series,4971429,-71428.5714285681,-1.416430594900785%
Scrabble® GO – Fun with Words!,4871429,-1171428.5714285718,-19.38534278959812%
Words With Friends Word Game,4757143,542857.1428571399,12.881355932203322%
Tile Explorer - Triple Match,4600000,-1514285.7142857183,-24.766355140186974%
Candy Crush Soda Saga,4528571,914285.714285716,25.296442687747096%
Sudoku - Classic Sudoku Puzzle,4457143,742857.1428571413,19.999999999999986%
Talkie: Creative AI Community,4328571,1471428.5714285686,51.49999999999991%
Tumblr: Social Media & Art,3914286,799999.9999999995,25.688073394495397%
Word Trip - Word Puzzle Game,3914286,457142.8571428568,13.22314049586777%
Goods Puzzle: Sort Challenge™,3742857,-1742857.1428571437,-31.770833333333343%
Chai: Chat AI Platform,3714286,171428.5714285723,4.838709677419382%
express.co.uk,3628571,1371428.571428571,60.759493670886044%
Crossword Go!,3614286,857142.8571428582,31.088082901554458%
Toon Blast,3585714,228571.4285714291,6.80851063829789%
Pocket Sort: Coin Merge Puzzle,3428571,571428.5714285718,20.000000000000018%
Tile Club - Match Puzzle Games,3242857,571428.5714285709,21.390374331550788%
Woodoku - Wood Block Puzzle,3200000,-514285.71428571455,-13.846153846153857%
Screwdom 3D,3085714,1628571.428571428,111.76470588235284%
Color Slide - Hexa Puzzle,3085714,171428.5714285709,5.882352941176452%
Solitaire Associations Journey,3057143,-171428.5714285695,-5.309734513274279%
Offline Games - No Wifi Games,3000000,185714.28571428498,6.598984771573579%
Arrows GO!,2985714,771428.5714285709,34.83870967741932%
Pixel Flow!,2985714,442857.14285714366,17.415730337078692%
Jigsawscapes® - Jigsaw Puzzles,2900000,271428.5714285709,10.326086956521719%
Wordscapes: Word puzzle game,2728571,-828571.4285714291,-23.293172690763072%
Crossword Jam,2657143,-271428.5714285723,-9.268292682926857%
Word Search Explorer,2528571,-528571.4285714277,-17.289719626168196%
Jigsawcard Solitaire Puzzle,2400000,314285.714285712,15.06849315068481%
DramaWave - Dramas & Reels,2314286,357142.85714285704,18.248175182481738%
Wool Crush™,2285714,599999.9999999998,35.59322033898303%
Solitaire,2242857,314285.7142857129,16.296296296296212%
Find Hidden Objects - Spot It!,2171429,-285714.285714285,-11.627906976744157%
Vinted: Shop & sell pre-loved,1985714,528571.4285714291,36.274509803921596%
Ludo Club - Fun Dice Game,1914286,-200000.0,-9.459459459459456%
Spider Solitaire: Card Games,1885714,-99999.99999999907,-5.035971223021535%
birminghammail.co.uk,1828571,-14285.714285713388,-0.7751937984495637%
metro.co.uk,1828571,457142.8571428573,33.333333333333336%
Tile Family®:Match Puzzle Game,1800000,-57142.85714285751,-3.076923076923094%
Mahjong Club - Solitaire Game,1771429,300000.00000000047,20.38834951456313%
ReelShort - Stream Drama & TV,1742857,-85714.28571428591,-4.687500000000009%
Toy Blast,1742857,500000.00000000023,40.22988505747128%
imo-International Calls & Chat,1714286,571428.5714285718,50.00000000000003%
3D Bolt Master®: Screw Master®,1685714,500000.0,42.16867469879516%
Block Crush!,1657143,-228571.4285714284,-12.121212121212107%
Word Connect Association,1657143,-28571.428571428638,-1.6949152542372914%
Bubble Shooter - Classic Pop,1657143,600000.0000000005,56.75675675675681%
Alarmy - Alarm Clock & Sleep,1642857,714285.7142857146,76.92307692307693%
