Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Indonesia]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,8414286,1585714.2857142854,23.221757322175733%
Meitu AI Photo & Video Editor,5757143,2300000.000000004,66.52892561983485%
Wattpad - Read & Write Stories,4842857,1028571.4285714296,26.966292134831495%
HeeSay:Blued Gay Chat & Dating,1871429,328571.42857142864,21.29629629629629%
Wool Crush™-Escape Traffic Jam,1528571,414285.7142857148,37.17948717948722%
Words of Wonders: Crossword,1228571,428571.42857142887,53.57142857142861%
Goods Puzzle: Sort Challenge,1142857,28571.428571428405,2.564102564102549%
Flashscore: Live Scores & News,1071429,-357142.8571428575,-25.00000000000002%
"Picsart AI Photo Editor, Video",985714,-357142.85714285704,-26.595744680851052%
Unknown,942857,442857.14285714313,88.57142857142865%
"Character AI: Chat, Talk, Text",900000,-257142.85714285716,-22.222222222222225%
ClevCalc - Calculator,842857,314285.7142857142,59.45945945945944%
"GoodNovel - Booktok, Stories",728571,14285.714285714203,1.9999999999999882%
chordtela.com,728571,-42857.14285714307,-5.555555555555583%
DramaBox - Stream Drama Shorts,700000,228571.4285714288,48.484848484848534%
8 Ball Pool™,685714,114285.71428571455,20.000000000000053%
CamScanner - PDF Scanner App,657143,371428.57142857154,130.00000000000009%
DramaReels: Dramas and Series,628571,57142.85714285704,9.999999999999984%
InShot - Video Editor,614286,171428.57142857154,38.70967741935487%
Litmatch - Make new friends,600000,214285.71428571397,55.55555555555547%
Vita Mahjong,585714,171428.57142857136,41.37931034482757%
Brain Puzzle 3: Crazy Mind,571429,-57142.85714285716,-9.090909090909095%
Brilliant Sort™ Diamond Puzzle,557143,-157142.85714285716,-22.000000000000007%
"WEBTOON: Manga, Comics, Manhwa",528571,242857.14285714278,84.99999999999997%
CapCut: Photo & Video Editor,514286,471428.5714285714,1100.0%
BeautyCam-Digicam&Photo Editor,514286,-57142.85714285716,-10.000000000000005%
Tile Explorer: Tiles Clear!,514286,85714.28571428574,20.000000000000014%
Crostic Crossword－Word Puzzles,514286,114285.71428571414,28.57142857142854%
Search It - Hidden Objects,485714,-14285.714285714319,-2.8571428571428643%
Screwdom,457143,-28571.42857142858,-5.882352941176474%
Reclub - Social Sports Nearby,457143,185714.28571428556,68.42105263157889%
Jagat-Find Family & Friends,442857,328571.42857142846,287.4999999999999%
MiChat -Chat & Meet New People,442857,114285.71428571426,34.78260869565217%
"SHAREit: Transfer, Share Files",442857,100000.00000000006,29.166666666666693%
Crossword Go!,442857,-71428.57142857148,-13.888888888888898%
dailymotion.com,442857,-285714.285714286,-39.21568627450983%
Tricky Story 2: Brain Twist,428571,228571.42857142843,114.2857142857142%
Locket Widget,428571,-557142.8571428575,-56.52173913043482%
TeraBox: 1TB Cloud & AI Space,400000,257142.85714285707,179.99999999999994%
Pocket Sort: Coin Merge Puzzle,400000,142857.1428571427,55.55555555555548%
ReelShort - Stream Drama & TV,385714,-157142.85714285722,-28.947368421052648%
Mahjong Blast,371429,42857.14285714284,13.04347826086956%
LINE,371429,142857.14285714278,62.499999999999964%
Color Cube Match: Sort Puzzle,357143,128571.42857142849,56.24999999999996%
Offline Games - No Wifi Games,357143,57142.85714285704,19.047619047619012%
Ludo King,357143,-14285.714285714377,-3.8461538461538707%
Flightradar24 | Flight Tracker,357143,57142.857142856985,19.047619047618994%
Remini - AI Photo Enhancer,342857,185714.28571428562,118.18181818181812%
V380 Pro,328571,-99999.99999999994,-23.333333333333325%
Grill Sort™,328571,-171428.5714285713,-34.28571428571427%
DramaWave - Dramas & Reels,314286,-57142.8571428571,-15.384615384615373%
Dream League Soccer 2026,314286,100000.0,46.66666666666666%
iCSee,314286,-14285.714285714203,-4.3478260869564975%
"Anime HD Bstation, Video",314286,85714.28571428565,37.499999999999964%
Bus Traffic Fever!,300000,85714.28571428568,39.99999999999997%
NetShort - Popular Dramas & TV,300000,-157142.85714285698,-34.37499999999998%
Hornet - Gay Dating & Chat,300000,-142857.1428571429,-32.25806451612904%
Alarmy - Loud alarm clock,285714,142857.14285714287,100.0%
"Carousell: Snap-Sell, Chat-Buy",285714,-57142.85714285704,-16.66666666666664%
Happy Color by Numbers Game,285714,-85714.28571428568,-23.076923076923066%
Skewer Jam: Food Games,271429,42857.14285714287,18.750000000000004%
ShortMax - Watch Dramas & Show,257143,114285.71428571432,80.00000000000003%
CHAI: Social AI Platform- Chat,257143,57142.85714285713,28.57142857142856%
Block Craft 3D: Building Games,242857,0.0,0.0%
Sofascore: Live Sports Scores,242857,114285.71428571429,88.88888888888889%
Jigsaw Drop: Solitaire Puzzle,228571,-57142.85714285707,-19.99999999999998%
Sudoku - Brain Puzzle Games,228571,142857.1428571429,166.66666666666669%
Word Screw - 3D Unscrew Bolts,214286,42857.14285714287,25.000000000000007%
Yahoo Mail: Your Email & Inbox,214286,142857.1428571429,200.00000000000003%
UNO!™,200000,114285.71428571432,133.3333333333334%
Meowdoku!,200000,28571.42857142858,16.66666666666667%
Top Eleven Be a Soccer Manager,200000,71428.57142857145,55.555555555555564%
