Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Ireland]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Grindr - Gay Dating & Chat,6714286,-728571.4285714272,-9.788867562380021%
Block Blast！,4628571,-1328571.4285714272,-22.302158273381277%
Letterboxd,2157143,257142.85714285728,13.533834586466169%
Happy Color by Numbers Game,1771429,300000.00000000047,20.38834951456314%
"Character AI: Chat, Talk, Text",1728571,285714.2857142866,19.801980198019862%
Flightradar24 | Flight Tracker,1500000,-114285.71428571362,-7.079646017699074%
Flashscore: Live Scores & News,1328571,-1457142.8571428568,-52.3076923076923%
SoundCloud: The Music You Love,1157143,257142.85714285728,28.571428571428587%
Wattpad - Read & Write Stories,1128571,-414285.71428571455,-26.851851851851862%
Sudoku.com - Number Games,1085714,457142.85714285704,72.7272727272727%
Meowdoku!,1028571,228571.42857142852,28.571428571428566%
MyFitnessPal: Calorie Counter,957143,357142.8571428574,59.523809523809575%
Zen Word® - Relax Puzzle Game,942857,85714.28571428568,9.999999999999995%
TuneIn Radio: Music & Sports,885714,99999.99999999988,12.727272727272712%
Solitaire,857143,257142.8571428568,42.8571428571428%
irishmirror.ie,828571,-285714.2857142857,-25.641025641025635%
Solitaire Associations Journey,800000,-342857.14285714296,-30.000000000000007%
Goods Puzzle: Sort Challenge,785714,42857.142857142724,5.7692307692307505%
Offline Games - No Wifi Games,757143,-242857.14285714272,-24.285714285714274%
Paper.io 2,728571,-28571.428571428754,-3.7735849056604014%
Crossword Go!,685714,-171428.57142857148,-20.00000000000001%
Screwdom,671429,185714.2857142858,38.23529411764707%
Vinted: Pre-loved marketplace,657143,-71428.57142857171,-9.803921568627489%
LiveScore: Live Sports Scores,642857,-1628571.4285714296,-71.69811320754718%
Vita Mahjong,628571,-142857.14285714296,-18.51851851851853%
Alarmy - Loud alarm clock,557143,314285.7142857144,129.41176470588238%
CHAI: Social AI Platform- Chat,542857,-42857.14285714284,-7.317073170731706%
Wordscapes - Word Game,485714,14285.71428571426,3.0303030303030254%
Brilliant Sort™ Diamond Puzzle,485714,14285.714285714144,3.030303030303001%
Tile Explorer: Tiles Clear!,485714,-14285.714285714494,-2.857142857142899%
Woodoku - Wood Block Puzzles,471429,-257142.85714285728,-35.29411764705885%
dailymail.com,457143,-457142.8571428572,-50.000000000000014%
daft.ie,442857,0.0,0.0%
BitLife - Life Simulator,442857,142857.14285714272,47.61904761904758%
dublinlive.ie,442857,114285.71428571414,34.782608695652144%
Blockudoku - Block Puzzle Game,428571,-28571.42857142858,-6.250000000000003%
Word Search Explorer®,428571,0.0,0.0%
Pocket Sort: Coin Merge Puzzle,428571,128571.4285714284,42.8571428571428%
Scrabble® GO – Fun with Words!,414286,14285.71428571426,3.5714285714285663%
FotMob - Soccer Live Scores,400000,-585714.2857142859,-59.420289855072475%
Zen Color - Color By Number,385714,-57142.8571428571,-12.903225806451603%
Wool Crush™-Escape Traffic Jam,385714,42857.14285714284,12.499999999999995%
bbc.com,385714,57142.8571428571,17.391304347826075%
Jigsawscapes® - Jigsaw Puzzles,371429,171428.57142857133,85.71428571428567%
Mahjong Blast,357143,114285.7142857142,47.05882352941172%
dailystar.co.uk,342857,185714.28571428568,118.18181818181814%
Kik Messaging & Chat App,342857,99999.99999999994,41.17647058823526%
theguardian.com,342857,-28571.428571428638,-7.69230769230771%
Words of Wonders: Crossword,342857,-28571.42857142852,-7.692307692307682%
Jewel Coloring,328571,14285.71428571426,4.545454545454537%
Number Match - Numbers Game,328571,-42857.14285714278,-11.53846153846152%
Crossword Master - Word Puzzle,328571,14285.71428571426,4.545454545454538%
Hotpot Loop: Food Sort,300000,128571.42857142861,75.00000000000001%
rsvplive.ie,300000,85714.28571428568,39.99999999999997%
Tinder Dating App: Date & Chat,285714,-128571.42857142846,-31.034482758620673%
express.co.uk,285714,71428.57142857142,33.33333333333332%
Color Slide - Hexa Puzzle,285714,57142.85714285713,24.99999999999999%
mirror.co.uk,271429,-85714.28571428568,-23.999999999999986%
Irish Independent News,271429,200000.0,280.0%
OneFootball Live Soccer scores,257143,28571.42857142858,12.500000000000002%
Search It - Hidden Objects,257143,-57142.85714285713,-18.181818181818176%
Sofascore: Live Sports Scores,257143,-99999.99999999985,-27.999999999999964%
Jigsawcard Solitaire Puzzle,257143,-114285.71428571423,-30.769230769230756%
My Perfect Hotel,257143,114285.71428571432,80.00000000000003%
Tumblr: Social Media & Art,242857,114285.71428571428,88.88888888888886%
Nonogram.com - Number Games,228571,14285.71428571429,6.666666666666668%
Sudoku - Brain Puzzle Games,228571,-99999.99999999991,-30.434782608695627%
Unknown,228571,-42857.14285714287,-15.78947368421053%
Goods Puzzle: 3D Sorting Games,228571,100000.00000000001,77.77777777777777%
Moovit: Bus & Transit Tracker,228571,0.0,0.0%
Tetris®,214286,57142.85714285716,36.363636363636374%
"Picsart AI Photo Editor, Video",214286,100000.00000000001,87.5%
Colony Flow!,214286,128571.4285714286,150.00000000000003%
Hexa Away,214286,-57142.85714285716,-21.052631578947373%
sportsjoe.ie,214286,200000.0,1400.0%
Rider – Stunt Bike Racing,200000,128571.4285714286,180.00000000000003%
dailymotion.com,200000,-157142.85714285713,-43.99999999999999%
FUTBIN FC 26 Evolutions & More,200000,-42857.14285714287,-17.647058823529417%
Jigsolitaire,200000,57142.85714285716,40.000000000000014%
Jigsaw Puzzles - Puzzle Games,185714,71428.57142857145,62.500000000000014%
Musi - Simple Music Streaming,185714,-100000.0,-35.0%
