Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Italy]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,16100000,1600000.0000000037,11.034482758620713%
Solitaire.com - Classic Cards,10200000,-8042857.142857144,-44.08770555990603%
Grindr - Gay Dating & Chat,8257143,-1885714.2857142836,-18.59154929577463%
Vinted: Shop & sell pre-loved,7985714,971428.5714285709,13.84928716904275%
Libero Mail,7728571,3442857.142857139,80.33333333333323%
Burraco - Italiano Carte,7385714,3057142.8571428573,70.62706270627064%
Candy Crush Saga,7200000,-1728571.4285714263,-19.359999999999978%
Meowdoku: Brain Puzzle Games,5785714,885714.2857142854,18.07580174927113%
TheWeather: weather forecast,5600000,3114285.714285714,125.28735632183906%
Tile Explorer - Triple Match,5257143,-1299999.9999999963,-19.825708061002132%
DramaWave - Dramas & Reels,5185714,442857.1428571418,9.337349397590339%
Block Blast!,4485714,-4757142.857142861,-51.46831530139106%
Farm Heroes Saga,4328571,-442857.1428571446,-9.281437125748539%
Words of Wonders: Crossword,4171429,1157142.857142855,38.388625592417%
Zen Word® - Relax Puzzle Game,3928571,571428.5714285714,17.021276595744684%
Tile Club - Match Puzzle Games,3771429,-228571.42857142724,-5.714285714285683%
Happy Color®: Color by Number,3771429,214285.71428571315,6.024096385542136%
Sudoku - Classic Sudoku Puzzle,3671429,271428.57142856903,7.983193277310857%
Flashscore: Live Scores & News,3628571,-3114285.714285713,-46.1864406779661%
Candy Crush Soda Saga,3600000,-442857.1428571441,-10.954063604240314%
CallApp: Caller ID & Block,3071429,1128571.4285714277,58.088235294117595%
Burraco Italiano Jogatina,3028571,971428.5714285711,47.2222222222222%
Wool Crush™,2971429,1614285.7142857132,118.94736842105249%
"Character AI: Chat, Talk, Text",2871429,99999.9999999986,3.608247422680361%
Solitaire - Classic Card Games,2814286,-1514285.7142857113,-34.98349834983494%
OneFootball Live Soccer scores,2400000,514285.7142857134,27.272727272727217%
Word Garden : Crosswords,2128571,471428.5714285716,28.44827586206896%
Jigsawscapes® - Jigsaw Puzzles,2071429,185714.28571428545,9.84848484848483%
Toon Blast,2057143,-785714.285714285,-27.638190954773844%
Mahjong Blast,2028571,-57142.857142857276,-2.739726027397265%
Scopa Dal Negro,1928571,828571.4285714291,75.32467532467537%
Emochi: Chat With Character,1871429,-0.0000000006984919309616089,-3.7323996310925644E-14%
Solitaire,1800000,300000.00000000047,20.000000000000014%
Goods Puzzle: Sort Challenge™,1800000,-242857.1428571439,-11.888111888111931%
Word Search Explorer,1785714,114285.71428571478,6.837606837606865%
ReelShort - Stream Drama & TV,1742857,-1014285.7142857141,-36.78756476683936%
Solitaire Associations Journey,1671429,400000.00000000023,31.460674157303384%
Scopa - Classic Card Game,1642857,157142.85714285658,10.57692307692303%
Video Downloader,1628571,-14285.714285714319,-0.8695652173913061%
PolyBuzz: Chat with AI Friends,1585714,-471428.5714285718,-22.91666666666667%
imo-International Calls & Chat,1571429,371428.5714285716,30.95238095238096%
LiveScore: Live Sports Scores,1557143,-14285.714285714086,-0.9090909090908963%
Sofascore: Live Sports Scores,1557143,-957142.8571428568,-38.06818181818181%
Wattpad - Read & Write Stories,1528571,1000000.0000000006,189.1891891891894%
Investing.com: Stock Market,1528571,1414285.7142857139,1237.4999999999993%
Bubble Shooter - Classic Pop,1514286,42857.14285714249,2.9126213592232735%
Arrows – Puzzle Escape,1385714,-557142.8571428577,-28.67647058823531%
FreeReels - Dramas & Reels,1385714,85714.28571428591,6.593406593406607%
Woodle Screw™ Pin Nuts & Bolts,1357143,-814285.7142857146,-37.5%
Scopa - Card Game Italian,1357143,142857.14285714272,11.764705882352928%
Color Slide - Hexa Puzzle,1300000,-542857.142857143,-29.457364341085277%
Arrows GO!,1271429,-400000.00000000047,-23.931623931623943%
3D Bolt Master®: Screw Master®,1271429,142857.1428571432,12.658227848101294%
Jigsawcard Solitaire Puzzle,1257143,-99999.99999999977,-7.368421052631562%
imo HD - Video Calls and Chats,1171429,385714.2857142859,49.090909090909115%
Goods Puzzle: 3D Sorting Games,1157143,400000.00000000047,52.83018867924533%
Mahjong Club - Solitaire Game,1142857,114285.71428571455,11.111111111111136%
3B Meteo - Weather Forecasts,1128571,-1557142.857142857,-57.97872340425532%
Tile Vacation - Triple Match,1100000,328571.4285714291,42.592592592592666%
Drop Escape: Color Puzzle,1085714,442857.1428571431,68.88888888888893%
Snake Escape,1028571,57142.857142857625,5.882352941176521%
Toy Blast,1028571,-171428.57142857148,-14.285714285714288%
Woodoku - Wood Block Puzzle,1014286,28571.42857142922,2.8985507246377478%
