Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Italy]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,14785714,-1614285.714285709,-9.84320557491286%
Demus: Easy Music Streaming,11928571,-1400000.0000000019,-10.50375133976422%
Grindr - Gay Dating & Chat,7371429,-2514285.7142857118,-25.433526011560673%
Tile Explorer: Tiles Clear!,5128571,-414285.7142857136,-7.474226804123699%
Flashscore: Live Scores & News,4457143,-4000000.000000002,-47.29729729729731%
Meowdoku!,4357143,-442857.14285714366,-9.226190476190494%
Words of Wonders: Crossword,3742857,400000.00000000093,11.965811965811994%
Wattpad - Read & Write Stories,3485714,-1357142.8571428568,-28.02359882005899%
Solitaire Associations Journey,2928571,242857.14285714272,9.042553191489356%
"Character AI: Chat, Talk, Text",2885714,-514285.7142857136,-15.12605042016805%
Happy Color by Numbers Game,2857143,42857.14285714179,1.5228426395938706%
Vinted: Pre-loved marketplace,2800000,-1457142.8571428573,-34.22818791946309%
Zen Color - Color By Number,2785714,671428.57142857,31.75675675675668%
Sofascore: Live Sports Scores,2414286,85714.28571428591,3.680981595092032%
Vita Mahjong,2371429,-3771428.5714285737,-61.39534883720931%
Offline Games - No Wifi Games,2342857,-2014285.7142857113,-46.22950819672127%
Woodoku - Wood Block Puzzles,2185714,-285714.285714285,-11.560693641618466%
Tressette Più - Card Games,2142857,842857.1428571432,64.83516483516483%
Sudoku - Brain Puzzle Games,2042857,-142857.14285714296,-6.535947712418303%
Goods Puzzle: Sort Challenge,1985714,171428.57142857113,9.448818897637775%
Tile Club - Matching Game,1871429,-57142.85714285774,-2.962962962962992%
Paper.io 2,1828571,-1599999.9999999998,-46.66666666666666%
Wool Crush™-Escape Traffic Jam,1614286,-371428.5714285723,-18.705035971223055%
Color by Number：Coloring Games,1614286,128571.42857142887,8.653846153846175%
▻ Solitaire,1571429,28571.42857142887,1.8518518518518712%
Candy Crush Saga,1428571,142857.14285714272,11.111111111111097%
Zen Word® - Relax Puzzle Game,1414286,-1271428.5714285711,-47.34042553191488%
Spider ▻ Solitaire,1357143,-114285.71428571385,-7.766990291262106%
Jigsawscapes® - Jigsaw Puzzles,1342857,214285.71428571455,18.987341772151925%
"Picsart AI Photo Editor, Video",1300000,-471428.57142857113,-26.612903225806434%
Hexa Sort,1128571,157142.85714285704,16.176470588235283%
OneFootball Live Soccer scores,1128571,-571428.5714285718,-33.613445378151276%
My Perfect Hotel,1128571,-14285.714285714785,-1.2500000000000433%
Fluffy Drop,1100000,400000.0,57.142857142857146%
Word Garden : Crosswords,1028571,-300000.00000000023,-22.580645161290338%
Business Empire: RichMan,1000000,257142.8571428575,34.61538461538467%
Moovit: Bus & Transit Tracker,1000000,-700000.0000000007,-41.17647058823532%
Goods Puzzle: 3D Sorting Games,1000000,628571.4285714284,169.23076923076917%
Jigsawcard Solitaire Puzzle,1000000,-200000.00000000012,-16.666666666666675%
Mini Soccer Star 2026,1000000,71428.57142857148,7.692307692307699%
Word Search Explorer®,985714,57142.85714285704,6.1538461538461435%
Bubble Shooter: Pop & Blast,957143,-28571.428571428172,-2.898550724637641%
Burraco Italiano Jogatina,957143,-85714.28571428545,-8.219178082191757%
