Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Japan]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
zeta - Create Your Own Story,60600000,6300000.000000007,11.60220994475139%
topics.smt.docomo.ne.jp,49142857,6457142.857142791,15.12717536813907%
trilltrill.jp,48771429,-5914285.714285739,-10.815047021943622%
Meowdoku: Brain Puzzle Games,40428571,-11914285.714285739,-22.762008733624477%
LINEマンガ,32271429,2785714.285714302,9.447674418604706%
トリマ 移動・ポイントが稼げるポイ活 歩いてポイント貯める,31600000,9171428.571428582,40.891719745223%
Vita Mahjong,28285714,-7714285.714285724,-21.42857142857146%
SmartNews: Live News & Rewards,27271429,-19114285.71428574,-41.2072682476132%
smt.docomo.ne.jp,24771429,7114285.714285698,40.29126213592221%
Toon Blast,24285714,2842857.142857153,13.257828114590316%
LINE：ディズニー ツムツム,18657143,4114285.714285707,28.290766208251405%
SmartNews for docomo（旧マイマガジン）,16828571,-3785714.2857142985,-18.36451836451841%
Arrows – Puzzle Escape,16628571,642857.1428571381,4.021447721179594%
TownWiFi byGMO,13700000,-857142.8571428452,-5.888125613346337%
Sudoku - Classic Sudoku Puzzle,12157143,-3885714.285714291,-24.220837043633136%
プラリー-歩いてポイ活！移動・歩数でポイントが貯まるポイ活！,11942857,5457142.857142857,84.14096916299562%
nikkansports.com,11685714,-14285.714285710827,-0.12210012210009258%
tenki.jp,10871429,1900000.0000000075,21.178343949044674%
"GoodNovel - Booktok, Stories",10814286,-1157142.8571428526,-9.665871121718341%
Video Downloader,10128571,-1485714.2857142873,-12.792127921279222%
Tile Explorer - Triple Match,10085714,-799999.9999999944,-7.349081364829345%
Tile Club - Match Puzzle Games,9671429,-271428.5714285802,-2.7298850574713502%
nlab.itmedia.co.jp,9642857,2914285.71428571,43.31210191082795%
bbs.animanch.com,9628571,2028571.4285714254,26.691729323308234%
LINE WALK,9114286,3342857.1428571455,57.92079207920799%
サンデーうぇぶり,8628571,1099999.9999999963,14.611005692599566%
レシート買取&お買い物アプリ ONE(ワン),8600000,814285.7142857146,10.458715596330277%
少年ジャンプ＋ 人気漫画が読める雑誌アプリ,8171429,1057142.8571428573,14.85943775100402%
プリ小説 byGMO 夢小説が読み放題！小説を書くアプリ,8114286,-2271428.5714285662,-21.87070151306736%
FamilyAlbum - Photo Sharing,8000000,4228571.428571429,112.12121212121215%
