Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Malaysia]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
"MiChat - Chat, Make Friends",4785714,528571.428571431,12.416107382550393%
Vita Mahjong,3271429,571428.571428569,21.16402116402108%
FreeReels - Dramas & Reels,2814286,285714.2857142859,11.299435028248597%
Block Blast!,2214286,-228571.42857142817,-9.356725146198817%
Tile Explorer - Triple Match,1700000,357142.8571428575,26.59574468085108%
Candy Crush Saga,1442857,85714.28571428615,6.315789473684242%
Arrows GO!,1028571,28571.428571428405,2.857142857142839%
NetShort - Popular Dramas & TV,1000000,371428.5714285718,59.090909090909165%
"Character AI: Chat, Talk, Text",971429,342857.1428571431,54.54545454545459%
Words of Wonders: Crossword,971429,385714.2857142858,65.8536585365854%
Sudoku - Classic Sudoku Puzzle,957143,328571.4285714291,52.27272727272737%
Emochi: Chat With Character,857143,-485714.28571428626,-36.17021276595748%
CallApp: Caller ID & Block,800000,400000.0,100.0%
"GoodNovel - Booktok, Stories",800000,-128571.42857142864,-13.846153846153854%
PolyBuzz: Chat with AI Friends,742857,-114285.71428571444,-13.333333333333348%
Goods Puzzle: Sort Challenge™,685714,-42857.14285714296,-5.882352941176484%
Color Block: Combo Blast,685714,-14285.714285714552,-2.04081632653065%
Color Slide - Hexa Puzzle,571429,-128571.42857142899,-18.36734693877557%
Wool Crush™,557143,-114285.7142857142,-17.021276595744673%
Pocket FM: Audio Series,557143,114285.71428571414,25.8064516129032%
Tile Club - Match Puzzle Games,528571,-28571.428571428405,-5.1282051282051%
dailymotion.com,514286,-228571.4285714288,-30.769230769230795%
Grindr - Gay Dating & Chat,500000,-242857.14285714278,-32.69230769230769%
Toon Blast,500000,142857.14285714278,39.99999999999998%
Truecaller: Spam Call Blocker,500000,242857.1428571427,94.44444444444436%
Block Crush!,500000,42857.1428571429,9.375000000000016%
Wattpad - Read & Write Stories,485714,128571.42857142852,35.99999999999999%
Happy Color®: Color by Number,471429,57142.8571428571,13.793103448275854%
Soccer Superstar,457143,99999.99999999971,27.999999999999915%
3D Bolt Master®: Screw Master®,442857,185714.28571428556,72.22222222222216%
Food Sort: Puzzle Game,428571,-42857.14285714278,-9.090909090909078%
