Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Malaysia]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Musi - Simple Music Streaming,1442857,357142.8571428568,32.894736842105225%
MiChat -Chat & Meet New People,1371429,-100000.0,-6.796116504854366%
Wattpad - Read & Write Stories,1342857,700000.0000000003,108.88888888888894%
Brilliant Sort™ Diamond Puzzle,871429,371428.57142857154,74.28571428571432%
Goods Puzzle: Sort Challenge,628571,-257142.85714285728,-29.03225806451614%
Search It - Hidden Objects,614286,128571.42857142858,26.470588235294123%
Candy Crush Saga,585714,114285.71428571444,24.242424242424278%
Meowdoku!,571429,228571.42857142852,66.66666666666666%
Crossword Go!,514286,71428.57142857148,16.12903225806453%
Offline Games - No Wifi Games,514286,114285.71428571432,28.571428571428587%
"Character AI: Chat, Talk, Text",485714,-314285.71428571414,-39.28571428571427%
Tile Explorer: Tiles Clear!,442857,-85714.28571428574,-16.216216216216225%
Vita Mahjong,442857,128571.42857142852,40.9090909090909%
Wool Crush™-Escape Traffic Jam,400000,-100000.0,-20.000000000000004%
Da Fit,371429,-157142.85714285716,-29.729729729729737%
Wordscapes - Word Game,357143,114285.71428571429,47.05882352941176%
Demus: Easy Music Streaming,342857,-285714.28571428574,-45.45454545454545%
Color Block Jam,328571,85714.28571428568,35.2941176470588%
Happy Color by Numbers Game,314286,-114285.71428571426,-26.666666666666664%
Screwdom,300000,57142.85714285716,23.529411764705888%
Grindr - Gay Dating & Chat,300000,-128571.42857142852,-29.999999999999993%
"GoodNovel - Booktok, Stories",285714,-0.00000000005820766091346741,-2.0372681319713592E-14%
dailymotion.com,285714,-271428.57142857136,-48.71794871794871%
Sudoku.com - Number Games,271429,28571.42857142852,11.764705882352919%
Grill Sort™,257143,100000.00000000006,63.636363636363676%
Color Cube Match: Sort Puzzle,257143,0.0,0.0%
Word Search Explorer®,257143,14285.71428571426,5.8823529411764595%
Brain Puzzle 3: Crazy Mind,242857,-128571.42857142852,-34.615384615384606%
Sudoku - Brain Puzzle Games,242857,57142.85714285716,30.769230769230777%
Pocket Sort: Coin Merge Puzzle,228571,14285.71428571429,6.666666666666668%
Locket Widget,228571,-28571.42857142858,-11.111111111111112%
Tricky Story 2: Brain Twist,228571,42857.14285714287,23.076923076923084%
Yahoo Mail: Your Email & Inbox,214286,28571.42857142858,15.384615384615389%
Jagat-Find Family & Friends,214286,128571.4285714286,150.00000000000003%
Words of Wonders: Crossword,214286,-185714.28571428574,-46.42857142857143%
Mahjong Blast,214286,-0.000000000029103830456733704,-1.3581787546475727E-14%
Moovit: Bus & Transit Tracker,200000,71428.57142857145,55.555555555555564%
BagMaster Isekai – Bag Battle,200000,85714.28571428574,75.00000000000003%
