Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Netherlands]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Wordfeud,40857143,1385714.2857142836,3.510676800579073%
Block Blast!,13285714,-1700000.0000000019,-11.344137273593907%
Vita Mahjong,11871429,-6271428.571428562,-34.56692913385822%
Mahjong Blast,7728571,-1042857.142857139,-11.88925081433221%
Candy Crush Saga,5228571,942857.1428571437,22.000000000000018%
Arrows – Puzzle Escape,5200000,-928571.4285714328,-15.151515151515222%
Solitaire - Classic Card Games,4628571,99999.99999999907,2.208201892744461%
Emochi: Chat With Character,4600000,85714.28571428545,1.8987341772151838%
Grindr - Gay Dating & Chat,3800000,-928571.4285714286,-19.637462235649547%
Meowdoku: Brain Puzzle Games,3700000,871428.5714285695,30.808080808080746%
Vinted: Shop & sell pre-loved,3585714,-4385714.2857142845,-55.01792114695341%
Arrows GO!,3342857,-699999.9999999991,-17.314487632508822%
Tile Explorer - Triple Match,3300000,-1771428.5714285732,-34.929577464788764%
Candy Crush Soda Saga,3257143,128571.4285714277,4.109589041095862%
Goods Puzzle: Sort Challenge™,2814286,128571.42857142817,4.787234042553176%
Block Crush!,2714286,-671428.57142857,-19.831223628691944%
"Likee-Live, Chat & Party Games",2457143,1271428.5714285714,107.22891566265058%
imo-International Calls & Chat,2414286,1100000.0000000007,83.6956521739131%
Wattpad - Read & Write Stories,2385714,-585714.2857142864,-19.71153846153848%
Tidy X,2242857,71428.57142857136,3.2894736842105226%
Sudoku - Classic Sudoku Puzzle,2085714,-357142.857142854,-14.619883040935552%
Words of Wonders: Crossword,2071429,-328571.428571427,-13.690476190476131%
Farm Heroes Saga,1785714,285714.28571428545,19.047619047619023%
Click X,1700000,-157142.8571428582,-8.461538461538513%
Solitaire Associations Journey,1671429,285714.2857142857,20.61855670103091%
"Character AI: Chat, Talk, Text",1671429,-214285.71428571478,-11.363636363636383%
Mahjong Master: Daily Match,1657143,199999.99999999977,13.725490196078407%
Happy Color®: Color by Number,1628571,-114285.71428571409,-6.557377049180316%
Solitaire,1614286,-85714.28571428568,-5.042016806722683%
Pixel Flow!,1485714,514285.71428571455,52.94117647058825%
Word Search Explorer,1457143,-400000.00000000023,-21.538461538461544%
Double Tile!,1357143,385714.28571428626,39.70588235294124%
Click Wood,1328571,128571.42857142887,10.71428571428574%
Shape Escape: Block Puzzle,1300000,-400000.00000000023,-23.52941176470589%
PolyBuzz: Chat with AI Friends,1257143,271428.5714285718,27.53623188405801%
Associate Words: Solitaire,1200000,285714.2857142859,31.250000000000018%
Pocket Sort: Coin Merge Puzzle,1185714,557142.8571428577,88.63636363636375%
Woodoku - Wood Block Puzzle,1142857,-28571.428571428638,-2.4390243902439077%
Bubble Shooter - Classic Pop,1128571,128571.42857142934,12.857142857142936%
"9GAG: Funny GIF, Meme & Video",1114286,114285.71428571467,11.428571428571468%
