Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Netherlands]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast！,23428571,3614285.7142857127,18.240807498197537%
Vita Mahjong,21185714,7814285.714285709,58.44017094017085%
Wordfeud,20328571,7771428.57142858,61.88850967007971%
"Character AI: Chat, Talk, Text",6428571,428571.42857143003,7.142857142857166%
Grindr - Gay Dating & Chat,5857143,-2185714.2857142854,-27.17584369449378%
Mahjong Blast,5242857,728571.4285714291,16.139240506329134%
Solitaire Associations Journey,4471429,-171428.57142857276,-3.692307692307721%
Vinted: Pre-loved marketplace,3914286,1042857.1428571427,36.31840796019901%
Meowdoku!,3657143,-928571.4285714268,-20.2492211838006%
Tile Explorer: Tiles Clear!,3642857,-728571.4285714286,-16.66666666666668%
Wool Crush™-Escape Traffic Jam,3571429,671428.5714285723,23.15270935960594%
Shape Escape: Block Puzzle,2885714,1671428.5714285716,137.64705882352936%
imo-International Calls & Chat,2585714,599999.9999999995,30.215827338129465%
Wattpad - Read & Write Stories,2400000,214285.71428571362,9.803921568627418%
Goods Puzzle: Sort Challenge,2385714,-457142.8571428559,-16.080402010050214%
Words of Wonders: Crossword,2142857,-214285.71428571362,-9.090909090909062%
Amaze GO!,1971429,-457142.85714285634,-18.82352941176467%
Woodoku - Wood Block Puzzles,1771429,-1414285.7142857115,-44.39461883408067%
VPN - Super Unlimited Proxy,1700000,14285.714285714785,0.8474576271186737%
Arrows – Puzzle Escape,1657143,42857.14285714319,2.654867256637188%
Sudoku - Brain Puzzle Games,1600000,-71428.57142857136,-4.273504273504268%
Pixel Flow!,1485714,-185714.2857142859,-11.111111111111118%
Colony Flow!,1428571,-671428.5714285718,-31.97278911564627%
Brilliant Sort™ Diamond Puzzle,1414286,242857.14285714296,20.731707317073177%
Block Crush！,1357143,-214285.7142857141,-13.636363636363619%
CodyCross: Crossword Puzzles,1342857,-85714.28571428591,-6.000000000000012%
Video Lite,1285714,285714.2857142857,28.571428571428566%
Candy Crush Saga,1271429,142857.14285714272,12.65822784810125%
Zen Word® - Relax Puzzle Game,1257143,-142857.14285714296,-10.204081632653063%
Solitaire,1228571,1014285.7142857146,473.3333333333334%
Word Search Explorer®,1228571,-271428.5714285718,-18.095238095238116%
Offline Games - No Wifi Games,1157143,-300000.0000000007,-20.58823529411768%
⋆Solitaire: Classic Card Games,1142857,-128571.4285714291,-10.112359550561832%
Search It - Hidden Objects,1142857,-42857.14285714249,-3.6144578313252707%
FreeCell: Card Game,1042857,885714.2857142857,563.6363636363635%
Fluffy Drop,1028571,171428.57142857125,19.999999999999982%
Solitaire: Cards Games Classic,1000000,114285.7142857142,12.9032258064516%
Happy Color by Numbers Game,985714,-700000.0000000001,-41.525423728813564%
Soccer Superstar,942857,485714.28571428615,106.25000000000014%
Zen Color - Color By Number,942857,-357142.85714285774,-27.47252747252751%
Jigsaw Puzzles for Adults HD,914286,-71428.57142857125,-7.2463768115941845%
Kik Messaging & Chat App,900000,357142.85714285704,65.7894736842105%
Bus Traffic Fever!,885714,-0.00000000023283064365386963,-2.628733073511431E-14%
Screwdom,842857,200000.00000000047,31.111111111111185%
Yarn Fever! Unravel Puzzle,842857,-114285.71428571444,-11.940298507462701%
Flightradar24 | Flight Tracker,814286,-542857.1428571434,-40.00000000000003%
2 Player Games : Offline Games,800000,414285.7142857144,107.40740740740746%
Food Hunt: Pixel Puzzle,771429,71428.57142857171,10.204081632653105%
Associate Words -Solitaire Fun,771429,128571.42857142852,19.999999999999996%
InShot - Video Editor,757143,-314285.71428571467,-29.333333333333357%
Bubble Shooter: Pop & Blast,757143,-285714.28571428556,-27.397260273972595%
Block Away - Tap Out Puzzle,742857,171428.5714285717,30.000000000000053%
Color by Number：Coloring Games,728571,228571.4285714287,45.71428571428576%
Click X,714286,-614285.7142857147,-46.23655913978496%
Smash Fest!,714286,-28571.428571428754,-3.84615384615387%
Tumblr: Social Media & Art,700000,400000.00000000006,133.33333333333337%
Tower War - Tactical Conquest,685714,114285.71428571444,20.000000000000032%
Solitaire.com: Classic Cards,685714,242857.14285714284,54.83870967741935%
Paper.io 2,671429,42857.142857142724,6.818181818181798%
Maze Escape: Block Puzzle,642857,342857.1428571427,114.28571428571423%
Fruit Merge™: Match Game,642857,57142.857142856694,9.756097560975533%
Rummikub,628571,-14285.714285714319,-2.2222222222222276%
Flashscore: Live Scores & News,628571,-128571.42857142864,-16.981132075471706%
Jewel Coloring,614286,-71428.57142857136,-10.416666666666657%
myTuner Radio - Live Stations,585714,-157142.85714285716,-21.153846153846157%
PolyBuzz: Chat with Characters,571429,-99999.99999999988,-14.893617021276583%
