Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[New Zealand]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
dailymotion.com,1785714,-614285.7142857127,-25.595238095238035%
express.co.uk,1400000,757142.8571428576,117.77777777777786%
Vita Mahjong,971429,28571.42857142852,3.0303030303030245%
dailymail.com,471429,-142857.1428571429,-23.255813953488378%
Pocket FM: Audio Series,471429,-14285.714285714203,-2.94117647058822%
Zen Word® - Relax Puzzle Game,414286,-214285.71428571432,-34.0909090909091%
Solitaire - Classic Card Games,400000,-314285.71428571467,-44.000000000000036%
Sudoku - Classic Sudoku Puzzle,400000,-57142.85714285704,-12.499999999999984%
Arrows GO!,342857,-71428.57142857125,-17.241379310344794%
Meowdoku: Brain Puzzle Games,328571,-142857.14285714272,-30.303030303030283%
Jigsawscapes® - Jigsaw Puzzles,300000,71428.57142857145,31.250000000000004%
Happy Color®: Color by Number,300000,-185714.2857142854,-38.235294117647015%
trademe.co.nz,300000,-242857.14285714284,-44.73684210526316%
Tile Explorer - Triple Match,300000,-57142.85714285722,-16.00000000000002%
Block Blast!,285714,-42857.14285714278,-13.043478260869543%
Mahjong Blast,285714,-85714.28571428556,-23.076923076923045%
merriam-webster.com,285714,0.0,0.0%
vjcooks.com,271429,-99999.99999999994,-26.92307692307691%
Crossword Go!,271429,42857.14285714287,18.750000000000004%
Candy Crush Saga,271429,-85714.28571428568,-23.99999999999999%
Words of Wonders: Crossword,257143,42857.14285714287,20.000000000000004%
Grindr - Gay Dating & Chat,257143,-57142.85714285707,-18.181818181818162%
Pocket Sort: Coin Merge Puzzle,242857,28571.42857142858,13.333333333333336%
Yahoo Mail: Email & Planner,242857,100000.00000000003,70.00000000000001%
"GoodNovel - Booktok, Stories",228571,-14285.71428571429,-5.882352941176472%
Wordscapes: Word puzzle game,214286,14285.71428571429,7.142857142857144%
Arrows – Puzzle Escape,214286,-57142.85714285716,-21.052631578947373%
Find Hidden Objects - Spot It!,200000,-71428.57142857139,-26.315789473684198%
Jigsawcard Solitaire Puzzle,200000,-114285.71428571429,-36.36363636363636%
amomedia.com,200000,-57142.85714285716,-22.222222222222225%
Chai: Chat AI Platform,200000,-242857.14285714275,-54.838709677419345%
Solitaire - Classic Card Game,185714,71428.57142857143,62.5%
Candy Crush Soda Saga,185714,-14285.71428571429,-7.142857142857144%
Goods Puzzle: Sort Challenge™,185714,-14285.71428571429,-7.142857142857144%
drivingtests.co.nz,185714,-14285.71428571426,-7.142857142857131%
Little Farm Story: Idle Tycoon,185714,-100000.0,-35.0%
Woodoku - Wood Block Puzzle,185714,57142.85714285716,44.44444444444446%
Jewel Coloring,171429,-71428.57142857145,-29.411764705882355%
Ludo Club - Fun Dice Game,171429,14285.71428571429,9.090909090909093%
Spider Solitaire: Card Games,171429,14285.71428571429,9.090909090909093%
Euchre - Card Game Offline,171429,-128571.42857142855,-42.85714285714285%
Color Aura: Paint by number,171429,28571.42857142858,20.000000000000007%
Emochi: Chat With Character,157143,-85714.28571428574,-35.29411764705883%
Screwdom 3D,157143,85714.28571428572,120.00000000000001%
Solitaire,157143,-142857.14285714284,-47.61904761904761%
3D Bolt Master®: Screw Master®,157143,0.0,0.0%
timesofindia.indiatimes.com,157143,-199999.99999999994,-55.999999999999986%
Bubble Word Jam,157143,57142.857142857145,57.14285714285714%
Number Match - Number Games,142857,57142.857142857145,66.66666666666666%
Scrabble® GO – Fun with Words!,142857,14285.714285714275,11.1111111111111%
Search It - Hidden Objects,142857,-28571.42857142858,-16.66666666666667%
Soccer Superstar,142857,-42857.14285714287,-23.076923076923084%
Sudoku.com - Classic Sudoku,142857,28571.428571428565,24.99999999999999%
Tile Club - Match Puzzle Games,142857,14285.714285714275,11.1111111111111%
Block Crush!,142857,-71428.57142857145,-33.333333333333336%
Tower War - Tactical Conquest,142857,28571.428571428565,24.99999999999999%
Wattpad - Read & Write Stories,142857,71428.57142857143,100.0%
Hill Climb Racing 2,142857,-14285.71428571429,-9.090909090909093%
recipetineats.com,142857,-128571.42857142861,-47.36842105263158%
Talkie: Creative AI Community,142857,-142857.14285714287,-50.0%
amomama.com,142857,-28571.42857142858,-16.66666666666667%
Offline Games - No Wifi Games,128571,42857.14285714287,50.000000000000014%
Spider Solitaire,128571,-71428.57142857143,-35.714285714285715%
PolyBuzz: Chat with AI Friends,128571,-299999.9999999997,-69.99999999999997%
Lightning Link Casino Slots,128571,14285.714285714304,12.500000000000016%
Wool Crush™,128571,-28571.42857142858,-18.181818181818187%
Wordle!,128571,-28571.42857142858,-18.181818181818187%
hollywoodpq.com,128571,85714.28571428572,200.00000000000003%
NetShort - Popular Dramas & TV,128571,-214285.7142857142,-62.49999999999999%
Toon Blast,128571,-100000.00000000003,-43.75000000000001%
simplehomeedit.com,128571,100000.0,350.0%
Mahjong Crush: Sorting Jam,128571,57142.857142857145,80.0%
Blockudoku®: Block Puzzle Game,114286,57142.85714285716,100.00000000000003%
Daily Themed Crossword Puzzles,114286,28571.42857142858,33.33333333333334%
Gin Rummy Classic,114286,57142.85714285716,100.00000000000003%
Mahjong Master: Daily Match,114286,-42857.142857142855,-27.27272727272727%
Word Search Explorer,114286,42857.14285714287,60.000000000000014%
Zen Color - Color By Number,114286,-114285.7142857143,-50.0%
vt.co,114286,57142.857142857145,100.0%
