Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[New Zealand]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Wordscapes - Word Game,9028571,-257142.85714285634,-2.7692307692307607%
Block Blast！,8271429,385714.28571428545,4.891304347826085%
Meowdoku!,7500000,-485714.2857142808,-6.082289803219977%
Happy Color by Numbers Game,5128571,-871428.5714285746,-14.523809523809575%
Vita Mahjong,4985714,942857.1428571437,23.321554770318045%
Solitaire Associations Journey,3885714,-585714.2857142836,-13.099041533546288%
Zen Color - Color By Number,3471429,-185714.28571428638,-5.07812500000002%
Sudoku.com - Number Games,3371429,-328571.42857142864,-8.880308880308883%
Crossword Go!,3314286,571428.5714285695,20.83333333333326%
Goods Puzzle: Sort Challenge,3171429,242857.14285714226,8.292682926829247%
dailymotion.com,2728571,-1114285.7142857146,-28.996282527881053%
Mahjong Blast,2657143,-71428.57142857136,-2.617801047120417%
Zen Word® - Relax Puzzle Game,2571429,-642857.1428571427,-19.999999999999996%
Tile Explorer: Tiles Clear!,2485714,-285714.285714285,-10.30927835051544%
Offline Games - No Wifi Games,2428571,-385714.28571428545,-13.705583756345169%
CHAI: Social AI Platform- Chat,2342857,-771428.5714285714,-24.770642201834857%
Letterboxd,2142857,-757142.8571428568,-26.108374384236438%
Wool Crush™-Escape Traffic Jam,2042857,142857.14285714272,7.518796992481193%
Grindr - Gay Dating & Chat,1885714,-171428.57142857206,-8.333333333333359%
Words With Friends Word Game,1871429,314285.7142857143,20.183486238532108%
Scrabble® GO – Fun with Words!,1842857,-285714.2857142852,-13.422818791946282%
Woodoku - Wood Block Puzzles,1828571,-314285.7142857141,-14.666666666666655%
Flightradar24 | Flight Tracker,1671429,57142.857142857276,3.5398230088495652%
Blockudoku - Block Puzzle Game,1628571,-671428.5714285714,-29.192546583850923%
"Character AI: Chat, Talk, Text",1614286,-214285.71428571478,-11.71875000000002%
Wattpad - Read & Write Stories,1571429,-499999.99999999977,-24.13793103448274%
Bolt Browser and Documents,1357143,471428.5714285718,53.22580645161295%
Search It - Hidden Objects,1271429,157142.85714285704,14.102564102564092%
Number Match - Numbers Game,1228571,-114285.71428571409,-8.510638297872324%
Screwdom,1228571,-142857.1428571432,-10.416666666666687%
Jewel Coloring,1228571,-271428.57142857206,-18.095238095238127%
Jigsawcard Solitaire Puzzle,1214286,-242857.14285714342,-16.6666666666667%
Arrows – Puzzle Escape,1171429,-14285.714285714319,-1.2048192771084363%
Brilliant Sort™ Diamond Puzzle,1028571,457142.85714285704,79.99999999999997%
"GoodNovel - Booktok, Stories",1014286,-357142.8571428574,-26.04166666666668%
Toon Blast,914286,85714.28571428603,10.344827586206934%
express.co.uk,900000,-14285.71428571397,-1.5624999999999658%
Solitaire,885714,28571.428571428638,3.3333333333333406%
vjcooks.com,885714,-300000.0,-25.301204819277103%
Bus Traffic Fever!,871429,-57142.85714285716,-6.153846153846155%
Hexa Away,857143,-85714.2857142858,-9.090909090909099%
Jigsaw Puzzles for Adults HD,814286,171428.57142857148,26.66666666666668%
Color Block Jam,814286,-57142.857142857276,-6.557377049180343%
Block Crush！,814286,-642857.1428571431,-44.117647058823536%
TeamReach – Your Team App,814286,271428.57142857136,50.0%
dailymail.com,800000,0.00000000034924596548080444,4.365574568510057E-14%
Pocket Sort: Coin Merge Puzzle,800000,-71428.5714285716,-8.196721311475429%
Yarn Fever! Unravel Puzzle,785714,-300000.0,-27.631578947368418%
Words of Wonders: Crossword,785714,-714285.7142857147,-47.61904761904763%
Little Farm Story: Idle Tycoon,771429,-99999.99999999988,-11.47540983606556%
▻Sudoku,771429,-371428.5714285715,-32.5%
Colony Flow!,742857,-114285.71428571409,-13.333333333333314%
Point Out: Color Escape Puzzle,714286,128571.42857142864,21.95121951219513%
⋆Solitaire: Classic Card Games,714286,-271428.57142857136,-27.536231884057965%
trademe.co.nz,685714,-14285.714285714319,-2.040816326530617%
Candy Crush Saga,685714,157142.85714285716,29.729729729729744%
Jigsawscapes® - Jigsaw Puzzles,671429,-185714.2857142859,-21.66666666666668%
DramaBox - Stream Drama Shorts,657143,-114285.71428571444,-14.814814814814834%
Crossword Master - Word Puzzle,642857,114285.71428571432,21.62162162162163%
Jigsaw Puzzles - Puzzle Games,628571,-14285.714285714203,-2.22222222222221%
"zeta: AI Chat, Story, Play",600000,-314285.71428571397,-34.37499999999998%
Word Search Explorer®,585714,-485714.2857142859,-45.33333333333334%
Color Slide - Hexa Puzzle,571429,-214285.7142857142,-27.27272727272727%
Paper.io 2,557143,-628571.4285714285,-53.01204819277108%
MyFitnessPal: Calorie Counter,542857,199999.99999999988,58.3333333333333%
Pixel Flow!,542857,-242857.14285714284,-30.909090909090914%
Fruit Merge™: Match Game,514286,-0.00000000005820766091346741,-1.1318156288729778E-14%
Pocket FM: Audio Series,514286,-28571.428571428696,-5.263157894736866%
Hexa Sort,485714,-299999.99999999994,-38.18181818181818%
Wordle!,485714,-328571.4285714288,-40.35087719298248%
Find Hidden Objects - Spot It!,471429,-314285.7142857145,-40.00000000000003%
Goods Puzzle: 3D Sorting Games,457143,-28571.42857142858,-5.882352941176473%
Tower War - Tactical Conquest,457143,-57142.85714285722,-11.111111111111128%
Sudoku - Brain Puzzle Games,457143,-71428.57142857136,-13.513513513513509%
Fluffy Drop,442857,0.0,0.0%
Amaze GO!,428571,-171428.57142857142,-28.571428571428577%
Spider ▻ Solitaire,414286,-114285.71428571438,-21.62162162162164%
Everyday Puzzles: Mini Games,414286,-285714.2857142856,-40.81632653061224%
Word Screw - 3D Unscrew Bolts,414286,-42857.1428571429,-9.375000000000012%
SoundCloud: The Music You Love,414286,128571.4285714284,44.999999999999936%
Profile Perfect,414286,199999.99999999983,93.33333333333323%
My Perfect Hotel,414286,-128571.42857142875,-23.684210526315823%
PolyBuzz: Chat with Characters,400000,0.00000000011641532182693481,2.9103830456733717E-14%
Spades Classic Card Game,400000,157142.85714285704,64.70588235294113%
Block Craft 3D: Building Games,400000,228571.4285714285,133.3333333333333%
Goods Master 3D: Matching Game,400000,71428.5714285713,21.73913043478257%
Spider Solitaire: Card Game,400000,157142.85714285698,64.7058823529411%
Bubble Word Jam,400000,-114285.71428571438,-22.222222222222246%
Euchre - Card Game Offline,385714,114285.7142857142,42.1052631578947%
TuneIn Radio: Music & Sports,385714,171428.57142857136,79.99999999999994%
Hotpot Loop: Food Sort,385714,-14285.71428571426,-3.5714285714285663%
Food Hunt: Pixel Puzzle,385714,-157142.85714285728,-28.94736842105266%
Da Fit,371429,-271428.5714285714,-42.22222222222222%
Pixel Art － Color by Number,357143,0.00000000005820766091346741,1.6298145055770876E-14%
stuff.co.nz,357143,42857.1428571429,13.636363636363654%
Sled Surfers,342857,214285.71428571426,166.6666666666666%
Nonogram.com - Number Games,342857,0.0,0.0%
Arrow Pro 3D,342857,157142.85714285704,84.61538461538456%
ReelShort - Stream Drama & TV,328571,57142.8571428571,21.05263157894735%
vt.co,328571,157142.85714285713,91.66666666666664%
Bubble Shooter: Pop & Blast,328571,85714.28571428568,35.2941176470588%
Color Cube Match: Sort Puzzle,328571,99999.99999999997,43.74999999999998%
Cryptogram: Word Brain Puzzle,328571,-114285.71428571432,-25.806451612903235%
Classic Words With Friends,328571,85714.28571428562,35.294117647058776%
merriam-webster.com,314286,57142.85714285713,22.22222222222221%
8 Ball Pool™,314286,-128571.42857142846,-29.032258064516114%
Color Maze - Puzzle Game,314286,42857.14285714278,15.789473684210495%
Jigsolitaire,314286,-42857.14285714278,-11.999999999999982%
Wordscapes Solitaire Word Game,314286,142857.1428571428,83.3333333333333%
recipetineats.com,314286,28571.428571428463,9.999999999999961%
Shape Escape: Block Puzzle,300000,142857.1428571429,90.90909090909092%
Paint by Number Coloring Game,300000,-157142.85714285704,-34.374999999999986%
Grill Sort™,300000,-28571.42857142858,-8.695652173913047%
DramaWave - Dramas & Reels,285714,-71428.57142857136,-19.999999999999982%
Jigsaw Drop: Solitaire Puzzle,285714,-28571.42857142852,-9.090909090909076%
Tetris®,285714,-14285.71428571426,-4.761904761904754%
Bricks n Balls - Block Breaker,285714,185714.28571428574,185.71428571428575%
Toy Blast,285714,-157142.8571428571,-35.483870967741936%
⋆Spider Solitaire: Card Games,285714,-314285.7142857143,-52.38095238095239%
Meitu AI Photo & Video Editor,271429,-14285.71428571426,-4.999999999999991%
Snake Clash!,271429,-114285.71428571414,-29.629629629629598%
Word Stacks,271429,-14285.71428571426,-4.999999999999991%
Soccer Superstar,271429,-128571.42857142846,-32.142857142857125%
Sudoku Blast!,271429,57142.85714285716,26.66666666666667%
Easy Words - Word Puzzle Games,271429,85714.28571428568,46.153846153846125%
nzherald.co.nz,271429,142857.14285714284,111.11111111111109%
Color by Number：Coloring Games,257143,-285714.28571428556,-52.6315789473684%
Connect Word Association Game,257143,42857.14285714287,20.000000000000004%
wordplays.com,257143,100000.00000000003,63.636363636363654%
Killer Sudoku by Sudoku.com,257143,28571.42857142858,12.500000000000002%
Tile Match -Triple puzzle game,257143,85714.28571428574,50.000000000000014%
Block Puzzle Woody Origin,257143,128571.42857142857,99.99999999999997%
Business Empire: RichMan,257143,85714.28571428571,49.99999999999999%
Solitaire Card Games ·,257143,-71428.57142857136,-21.73913043478259%
Alarmy - Loud alarm clock,242857,0.0,0.0%
▻ Solitaire,242857,-171428.57142857136,-41.379310344827566%
Magic Sort!,242857,-57142.8571428571,-19.047619047619033%
Puzzle Page - Daily Games!,242857,-71428.57142857136,-22.72727272727271%
Musi - Simple Music Streaming,242857,85714.28571428571,54.54545454545454%
Ludo Club・Fun Dice Board Game,228571,14285.71428571429,6.666666666666668%
Solitaire – Classic Card Games,228571,-14285.71428571429,-5.882352941176472%
Merge Cooking®,228571,85714.28571428574,60.000000000000014%
Tubidy Fm Radio Music Player,228571,185714.28571428574,433.3333333333334%
Scrabble® – Official Word Game,228571,14285.71428571429,6.666666666666668%
Word Connect ¤,228571,85714.28571428574,60.000000000000014%
Two Dots - Connect the Colors,228571,-14285.71428571429,-5.882352941176472%
genius.com,228571,-57142.85714285713,-19.999999999999993%
Candy Crush Soda Saga,228571,57142.85714285716,33.33333333333334%
CubeAway - 3DPuzzle,228571,85714.28571428574,60.000000000000014%
Geometry Dash Lite,228571,-57142.85714285713,-19.999999999999993%
Brick Blast - Ball Breaker,228571,-142857.14285714278,-38.461538461538446%
BitLife - Life Simulator,214286,-271428.5714285712,-55.88235294117645%
Block Away - Tap Out Puzzle,214286,14285.71428571429,7.142857142857144%
Foodie Sizzle,214286,0.0,0.0%
"Picsart AI Photo Editor, Video",214286,-85714.28571428568,-28.57142857142856%
Tile Club - Matching Game,214286,28571.42857142858,15.384615384615389%
Tile Vacation - Triple Match,214286,71428.57142857145,50.00000000000001%
⋆FreeCell,214286,100000.00000000001,87.5%
1010! Block Puzzle Game,214286,-57142.85714285716,-21.052631578947373%
Woodber - Classic Number Game,214286,14285.71428571429,7.142857142857144%
3D Bolt Master®: Screw Master®,214286,57142.85714285716,36.363636363636374%
Video Lite,214286,-14285.71428571429,-6.250000000000001%
Colorever,200000,57142.85714285716,40.000000000000014%
Gecko Out,200000,57142.85714285716,40.000000000000014%
Phase 10: Casual Card Game,200000,100000.00000000001,100.0%
Euchre 3D,200000,100000.00000000001,100.0%
Solitaire - Card Games Classic,200000,-14285.71428571429,-6.666666666666668%
Take Off Bolts: Screw Puzzle,200000,-42857.14285714287,-17.647058823529417%
Nostal Solitaire Card Game,200000,-42857.14285714287,-17.647058823529417%
Yahoo Mail: Your Email & Inbox,200000,85714.28571428574,75.00000000000003%
Water Sort Puzzle,200000,-157142.857142857,-43.99999999999998%
drivingtests.co.nz,200000,57142.85714285716,40.000000000000014%
Audiomack - Play Music Offline,200000,171428.57142857145,600.0000000000001%
Card ▻ Games,200000,14285.71428571429,7.692307692307694%
Woodoku Blast: Block Puzzle,185714,100000.00000000001,116.66666666666667%
2 Player Games : Offline Games,185714,-214285.71428571414,-53.57142857142855%
2048,185714,85714.28571428572,85.71428571428571%
Bird Sort 2 Color Puzzle Game,185714,28571.42857142858,18.181818181818187%
Calculator₊,185714,100000.00000000001,116.66666666666667%
Daily Themed Crossword Puzzles,185714,71428.57142857145,62.500000000000014%
Marble Away - Fluffy Escape,185714,-114285.71428571426,-38.09523809523809%
Goods Rush! 3D Sort Puzzle,185714,71428.57142857143,62.5%
Crossword - Word Hike,171429,14285.71428571429,9.090909090909093%
Crossword Jam: Fun Word Search,171429,-85714.28571428574,-33.33333333333334%
Dreamy Room,171429,-57142.85714285716,-25.000000000000004%
FreeCell: Card Game,171429,-71428.57142857145,-29.411764705882355%
Mahjong Jam: Tile Match,171429,-99999.99999999997,-36.84210526315788%
"Block Color Mania, Puzzle Game",171429,42857.142857142855,33.33333333333333%
Word Trip - Word Puzzles Games,171429,100000.00000000001,140.0%
Picture Cross,171429,57142.857142857145,49.99999999999999%
Word Oasis: Calm Puzzle Game,171429,-199999.99999999997,-53.84615384615384%
Classic Words (solo word game),171429,-42857.14285714287,-20.000000000000004%
Color Block: Combo Blast,171429,14285.71428571429,9.090909090909093%
Color Maze Master,171429,85714.28571428574,100.00000000000004%
Color Aura: Paint by Number,157143,42857.14285714287,37.500000000000014%
Fill The Fridge!,157143,71428.57142857143,83.33333333333333%
Idle Zombie Miner: Gold Tycoon,157143,-28571.42857142858,-15.384615384615389%
Gossip Harbor®: Merge & Story,157143,71428.57142857143,83.33333333333333%
Jigsort®: Solitaire,157143,-14285.71428571429,-8.333333333333336%
Ludo King,157143,-42857.14285714287,-21.428571428571434%
Mahjong Hybrid: Match & Relax,157143,57142.857142857145,57.14285714285714%
Money Sort: Merge Puzzle,157143,-85714.28571428571,-35.29411764705882%
Smash Fest!,157143,42857.142857142855,37.49999999999999%
Spades Stars - Card Game,157143,28571.428571428565,22.22222222222221%
Triple Match 3D,157143,100000.00000000001,175.00000000000003%
Spider Solitaire – Card Games,157143,42857.14285714287,37.500000000000014%
Woody Block Puzzle Brain Game,157143,57142.857142857145,57.14285714285714%
Tap Tile!,157143,0.0,0.0%
Word Cookies!®,157143,28571.428571428565,22.22222222222221%
Wool Craze -Yarn Color Sort 3D,157143,-28571.42857142858,-15.384615384615389%
netmums.com,157143,-157142.8571428571,-49.99999999999999%
