Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Philippines]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Wordscapes - Word Game,2857143,257142.8571428582,9.890109890109933%
Wattpad - Read & Write Stories,2114286,571428.5714285718,37.03703703703705%
Crossword Go!,1428571,471428.57142857136,49.253731343283576%
Block Blast！,1400000,1014285.7142857148,262.96296296296316%
DramaReels: Dramas and Series,1000000,228571.42857142887,29.62962962962967%
Tile Explorer: Tiles Clear!,757143,100000.00000000012,15.217391304347842%
Alarmy - Loud alarm clock,742857,414285.7142857144,126.08695652173917%
"GoodNovel - Booktok, Stories",671429,142857.14285714272,27.027027027027003%
Vita Mahjong,600000,-242857.1428571432,-28.81355932203393%
Yahoo Mail: Your Email & Inbox,600000,128571.42857142846,27.272727272727252%
"Character AI: Chat, Talk, Text",600000,-257142.85714285774,-30.00000000000006%
Wool Crush™-Escape Traffic Jam,557143,99999.99999999988,21.874999999999975%
Search It - Hidden Objects,542857,0.0,0.0%
GCash,528571,214285.7142857142,68.18181818181816%
"SHAREit: Transfer, Share Files",514286,242857.14285714267,89.47368421052624%
Scrabble® GO – Fun with Words!,485714,228571.42857142858,88.88888888888889%
Goods Puzzle: Sort Challenge,485714,-200000.00000000017,-29.166666666666696%
Litmatch - Make new friends,457143,-257142.8571428574,-36.00000000000003%
Brilliant Sort™ Diamond Puzzle,428571,-71428.57142857142,-14.285714285714285%
DramaWave - Dramas & Reels,400000,128571.42857142852,47.368421052631554%
Word Search Explorer®,400000,285714.2857142857,249.99999999999994%
BagMaster Isekai – Bag Battle,400000,99999.99999999994,33.333333333333314%
Words of Wonders: Crossword,400000,171428.57142857133,74.99999999999996%
Grindr - Gay Dating & Chat,385714,-485714.28571428586,-55.7377049180328%
DramaBox - Stream Drama Shorts,357143,-85714.28571428562,-19.354838709677402%
"Picsart AI Photo Editor, Video",357143,-185714.28571428574,-34.21052631578948%
Color by Number：Coloring Games,357143,-371428.5714285715,-50.980392156862756%
Sudoku.com - Number Games,342857,57142.85714285716,20.000000000000007%
Wordscapes Search - Word Game,342857,157142.85714285704,84.61538461538456%
MyFitnessPal: Calorie Counter,314286,242857.1428571429,340.0000000000001%
Offline Games - No Wifi Games,314286,-142857.14285714278,-31.249999999999993%
Zen Color - Color By Number,300000,71428.57142857139,31.24999999999998%
Unknown,300000,-0.00000000005820766091346741,-1.9402553637822465E-14%
Block Craft 3D: Building Games,285714,-171428.57142857136,-37.499999999999986%
Easy Words - Word Puzzle Games,271429,128571.42857142855,89.99999999999997%
Color Block Jam,257143,-28571.42857142855,-9.999999999999991%
Crostic Crossword－Word Puzzles,242857,100000.00000000003,70.00000000000001%
Color Slide - Hexa Puzzle,242857,114285.7142857143,88.88888888888889%
Color Cube Match: Sort Puzzle,228571,128571.4285714286,128.57142857142858%
Locket Widget,228571,-100000.00000000003,-30.434782608695663%
Audiomack - Play Music Offline,200000,28571.42857142858,16.66666666666667%
Sudoku - Brain Puzzle Games,200000,28571.42857142858,16.66666666666667%
Crossword Master - Word Puzzle,200000,42857.14285714287,27.27272727272728%
Number Match - Numbers Game,200000,85714.28571428574,75.00000000000003%
Amaze GO!,185714,85714.28571428572,85.71428571428571%
Dreamy Room,185714,-14285.71428571429,-7.142857142857144%
Grill Sort™,185714,42857.14285714287,30.000000000000007%
ShortMax - Watch Dramas & Show,171429,85714.28571428572,100.0%
Associations - Colorwood Game,171429,57142.85714285716,50.000000000000014%
Triple Tile: Match Puzzle Game,171429,100000.00000000001,140.0%
Meowdoku!,171429,-42857.1428571429,-20.000000000000018%
Toon Blast,157143,57142.85714285716,57.14285714285717%
