Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Portugal]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,657143,-42857.14285714284,-6.122448979591834%
Grindr - Gay Dating & Chat,628571,-1057142.8571428582,-62.71186440677969%
Block Blast！,585714,399999.99999999994,215.3846153846153%
Solitaire Associations Journey,471429,-57142.857142857334,-10.810810810810848%
"Character AI: Chat, Talk, Text",457143,71428.57142857136,18.5185185185185%
Meowdoku!,428571,71428.57142857148,20.00000000000002%
Amerigo File Manager,428571,-99999.99999999994,-18.91891891891892%
Vinted: Pre-loved marketplace,400000,199999.99999999997,99.99999999999997%
DramaBox - Stream Drama Shorts,385714,-142857.14285714272,-27.027027027027003%
Tile Explorer: Tiles Clear!,342857,-99999.99999999994,-22.580645161290317%
Words of Wonders: Crossword,314286,14285.71428571426,4.761904761904754%
abola.pt,300000,-128571.42857142852,-29.999999999999993%
Candy Crush Saga,271429,157142.85714285716,137.5%
Sofascore: Live Sports Scores,242857,-514285.714285714,-67.92452830188678%
Wool Crush™-Escape Traffic Jam,228571,-57142.85714285713,-19.999999999999993%
Goods Puzzle: Sort Challenge,214286,-214285.7142857142,-49.99999999999999%
Offline Games - No Wifi Games,214286,-57142.85714285716,-21.052631578947373%
Sudoku - Brain Puzzle Games,185714,-14285.71428571429,-7.142857142857144%
"GoodNovel - Booktok, Stories",185714,114285.7142857143,160.00000000000003%
Jewel Coloring,171429,0.0,0.0%
NetShort - Popular Dramas & TV,171429,42857.142857142855,33.33333333333333%
Amaze GO!,171429,-14285.71428571429,-7.692307692307694%
Flashscore: Live Scores & News,157143,-314285.7142857142,-66.66666666666666%
Sudoku.com - Number Games,142857,71428.57142857143,100.0%
Tile Club - Matching Game,142857,42857.142857142855,42.85714285714285%
Wattpad - Read & Write Stories,142857,-157142.85714285713,-52.38095238095237%
My Perfect Hotel,142857,14285.71428571429,11.111111111111114%
Paper.io 2,142857,-57142.85714285716,-28.571428571428577%
Pixel Flow!,128571,0.0,0.0%
Yarn Fever! Unravel Puzzle,128571,14285.71428571429,12.500000000000002%
Soccer Superstar,128571,-57142.85714285716,-30.769230769230777%
MyFitnessPal: Calorie Counter,114286,28571.42857142858,33.33333333333334%
Bus Escape: Traffic Jam,114286,85714.28571428571,299.99999999999994%
Snake Escape - Tap Away,114286,57142.857142857145,100.0%
Tinder Dating App: Date & Chat,100000,42857.14285714287,75.00000000000003%
Bus Traffic Fever!,100000,-100000.00000000001,-50.0%
Colony Flow!,100000,-85714.28571428572,-46.15384615384615%
Crossword Go!,100000,-42857.142857142855,-29.999999999999996%
Demus: Easy Music Streaming,100000,-42857.142857142855,-29.999999999999996%
myTuner Radio - Live Stations,100000,28571.428571428565,39.999999999999986%
GoodShort - Short Dramas Hub,100000,28571.428571428565,39.999999999999986%
Mahjong Blast,85714,-28571.42857142858,-25.000000000000004%
Number Match - Numbers Game,85714,85714.28571428572,NA
PolyBuzz: Chat with Characters,85714,-114285.7142857143,-57.142857142857146%
ReelShort - Stream Drama & TV,85714,28571.42857142858,50.000000000000014%
Tower War - Tactical Conquest,85714,57142.85714285715,200.00000000000003%
World Soccer Champs,85714,71428.57142857143,500.00000000000006%
Top Eleven Be a Soccer Manager,85714,-114285.7142857143,-57.142857142857146%
Block Crush！,85714,14285.71428571429,20.000000000000007%
Solitaire,85714,57142.85714285715,200.00000000000003%
Conquer Countries,85714,14285.71428571429,20.000000000000007%
Jigsawscapes® - Jigsaw Puzzles,85714,-28571.428571428594,-25.000000000000018%
OLX - Comprar e Vender Artigos,85714,85714.28571428571,NA
Color by Number：Coloring Games,85714,-0.000000000014551915228366852,-1.697723443309466E-14%
Bubble Shooter: Pop & Blast,71429,57142.857142857145,400.0%
Letterboxd,71429,-57142.85714285716,-44.44444444444445%
Jigsawcard Solitaire Puzzle,71429,42857.14285714286,150.00000000000003%
Moovit: Bus & Transit Tracker,71429,-42857.142857142855,-37.49999999999999%
Nonogram.com - Number Games,71429,42857.14285714286,150.00000000000003%
Paint by Number Coloring Game,71429,-57142.857142857145,-44.44444444444444%
Pocket Sort: Coin Merge Puzzle,71429,14285.71428571429,25.000000000000007%
Scrabble® GO – Fun with Words!,71429,42857.14285714286,150.00000000000003%
tripadvisor.pt,71429,-42857.142857142855,-37.49999999999999%
Alarmy - Loud alarm clock,71429,0.000000000014551915228366852,2.0372681319713595E-14%
Woodoku - Wood Block Puzzles,71429,-157142.85714285716,-68.75%
Sheep Dash-Farm Animal Escape,71429,42857.14285714286,150.00000000000003%
Toon Blast,71429,-171428.57142857148,-70.58823529411767%
publico.pt,71429,28571.428571428565,66.66666666666666%
Farm Heroes Saga,71429,-0.000000000014551915228366852,-2.0372681319713592E-14%
Mini Soccer Star 2026,71429,-42857.14285714287,-37.500000000000014%
Block Out! - Color Sort Puzzle,57143,28571.428571428572,100.0%
Candy Crush Soda Saga,57143,28571.428571428572,100.0%
DramaWave - Dramas & Reels,57143,-28571.42857142858,-33.33333333333334%
Citymapper: All Live Transit,57143,42857.142857142855,299.99999999999994%
Colorever,57143,42857.142857142855,299.99999999999994%
GoodsMerge-Puzzle-IOS,57143,42857.142857142855,299.99999999999994%
Head Ball 2 - Soccer Game,57143,28571.428571428572,100.0%
Hearts: Card Game,57143,42857.142857142855,299.99999999999994%
IMVU: Fun 3D Avatar Chat Game,57143,42857.142857142855,299.99999999999994%
Jigsaw Puzzles - Puzzle Games,57143,0.0,0.0%
Marble Sort!,57143,57142.857142857145,NA
"Macadam, The Step Counter.",57143,14285.71428571429,33.33333333333335%
Order Crazy: Water Sort Puzzle,57143,0.0,0.0%
Playtest Pro by BestPlay,57143,14285.71428571429,33.33333333333335%
SUECA GameVelvet - Card Game,57143,14285.71428571429,33.33333333333335%
ShortMax - Watch Dramas & Show,57143,-28571.42857142858,-33.33333333333334%
Spider Solitaire: Card Game,57143,14285.71428571429,33.33333333333335%
UNO!™,57143,-14285.71428571429,-20.000000000000007%
Zen Word® - Relax Puzzle Game,57143,-28571.42857142858,-33.33333333333334%
1 2 3 4 Player Games,57143,28571.428571428572,100.0%
Wool Craze -Yarn Color Sort 3D,57143,0.0,0.0%
Video Lite,57143,28571.428571428572,100.0%
Weapon Master: Gun Shooter Run,57143,42857.142857142855,299.99999999999994%
1010! Block Puzzle Game,57143,42857.142857142855,299.99999999999994%
Arrow Pro 3D,57143,28571.428571428572,100.0%
Art Puzzle - Jigsaw Games,57143,57142.857142857145,NA
Arrows – Puzzle Escape,57143,57142.857142857145,NA
Beauty Tiles: Story & Makeover,57143,57142.857142857145,NA
Block Craft 3D: Building Games,57143,0.0,0.0%
BitLife - Life Simulator,42857,0.0,0.0%
BitLife BR - Simulação de vida,42857,42857.142857142855,NA
Brain Puzzle 3: Crazy Mind,42857,28571.42857142857,199.99999999999997%
Bus Out,42857,28571.42857142857,199.99999999999997%
Bubble Word Jam,42857,28571.42857142857,199.99999999999997%
Business Empire: RichMan,42857,-14285.71428571429,-25.000000000000007%
CHAI: Social AI Platform- Chat,42857,-42857.142857142855,-50.0%
Car Jam: Escape Traffic Puzzle,42857,-71428.57142857145,-62.50000000000001%
Color Maze - Puzzle Game,42857,-28571.42857142858,-40.000000000000014%
Crossword Jam: Fun Word Search,42857,14285.714285714283,49.999999999999986%
EMOCHI World: AI Story Chat,42857,28571.42857142857,199.99999999999997%
Frost World - Winter Survival,42857,28571.42857142857,199.99999999999997%
FUTBIN FC 26 Evolutions & More,42857,42857.142857142855,NA
Fluffy Drop,42857,-57142.85714285716,-57.14285714285715%
Fun Drama,42857,28571.42857142857,199.99999999999997%
