Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Qatar]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
imo-International Calls & Chat,29571429,10357142.857142858,53.903345724907076%
imo HD - Video Calls and Chats,11857143,1842857.1428571418,18.40228245363765%
VPN Proxy Master - Safer Vpn,3771429,714285.7142857132,23.364485981308366%
Ridmik Keyboard,3571429,399999.99999999907,12.612612612612583%
Turbo VPN - Secure VPN Proxy,2600000,-814285.7142857146,-23.849372384937247%
Turbo VPN Lite: Fast VPN Proxy,2314286,1242857.1428571432,116.00000000000003%
iTel Mobile Dialer Express,1428571,128571.42857142887,9.890109890109912%
VPN - Super Unlimited Proxy,1271429,785714.2857142861,161.76470588235304%
Snap Master VPN: Super Vpn App,1128571,442857.1428571431,64.58333333333337%
Candy Crush Saga,1071429,-242857.1428571432,-18.47826086956524%
"GoodNovel - Booktok, Stories",1014286,657142.857142857,183.99999999999997%
MX Player,814286,-71428.57142857136,-8.064516129032253%
imo beta -video calls and chat,771429,-128571.42857142864,-14.285714285714294%
NetShort - Popular Dramas & TV,671429,299999.9999999999,80.76923076923077%
"SHAREit: Transfer, Share Files",514286,257142.85714285707,99.99999999999996%
Eyecon Caller ID & Spam Block,500000,185714.28571428568,59.09090909090908%
Vidmate,500000,199999.99999999994,66.66666666666664%
DramaWave - Dramas & Reels,485714,271428.57142857136,126.6666666666666%
Snaptube,485714,142857.14285714278,41.66666666666665%
Arrows – Puzzle Escape,485714,71428.57142857136,17.24137931034482%
Vita Mahjong,400000,-142857.14285714272,-26.315789473684198%
Mahjong Blast,385714,57142.85714285693,17.39130434782602%
Ludo King®,314286,-28571.42857142852,-8.33333333333332%
Ludo STAR: Online Dice Game,300000,-142857.14285714267,-32.258064516129004%
Pocket FM: Audio Series,300000,-28571.42857142852,-8.695652173913029%
"HITV - Drama, Movie, Series",300000,114285.71428571426,61.53846153846151%
Carrom Pool: Disc Game,285714,-28571.42857142852,-9.090909090909076%
ReelShort - Stream Drama & TV,285714,14285.71428571426,5.263157894736832%
CallApp: Caller ID & Block,271429,14285.714285714319,5.555555555555568%
"WeMuslim: Athan, Qibla&Quran",271429,28571.42857142858,11.764705882352944%
HeeSay: LGBTQ+ Community,257143,0.000000000029103830456733704,1.1318156288729773E-14%
Cricbuzz - Live Cricket Scores,257143,100000.00000000003,63.63636363636367%
PLAYit-All in One Video Player,242857,-71428.57142857142,-22.727272727272723%
