Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Saudi Arabia]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
imo HD - Video Calls and Chats,43814286,-10299999.999999925,-19.033790918690507%
imo-International Calls & Chat,11100000,914285.7142857127,8.976157082748932%
Truecaller: Spam Call Blocker,9042857,3857142.8571428536,74.38016528925613%
imo beta -video calls and chat,5357143,-1214285.7142857127,-18.478260869565194%
MX Player,4300000,1614285.7142857122,60.1063829787233%
"WeMuslim: Athan, Qibla&Quran",3500000,528571.4285714282,17.788461538461537%
CallApp: Caller ID & Block,2671429,1157142.8571428573,76.41509433962264%
Ridmik Keyboard,2671429,-285714.28571428685,-9.661835748792312%
"SHAREit: Transfer, Share Files",2014286,757142.857142857,60.2272727272727%
Vita Mahjong,1828571,514285.71428571455,39.1304347826087%
Block Blast!,1828571,485714.2857142857,36.17021276595743%
NetShort - Popular Dramas & TV,1657143,-185714.28571428615,-10.077519379844977%
Arrows GO!,1514286,171428.57142857113,12.76595744680848%
Happy Color®: Color by Number,1471429,385714.28571428615,35.52631578947372%
CREX - Just Cricket,1414286,628571.4285714286,79.99999999999999%
DiskWala,1371429,114285.71428571455,9.090909090909111%
Arrow Puzzle: Tap Puzzle Games,1357143,128571.42857142887,10.465116279069791%
Mechanic 3D My Favorite Car,1285714,-428571.4285714284,-24.999999999999993%
dailymotion.com,1271429,14285.714285713853,1.1363636363636018%
iTel Mobile Dialer Express,1200000,-57142.85714285704,-4.545454545454536%
Wattpad - Read & Write Stories,1171429,14285.714285714552,1.2345679012345907%
Ludo STAR: Online Dice Game,1128571,-371428.5714285723,-24.761904761904802%
Cricbuzz - Live Cricket Scores,1085714,142857.14285714272,15.151515151515136%
Tile Explorer - Triple Match,1014286,171428.5714285716,20.338983050847478%
Snap Master VPN: Super Vpn App,971429,385714.2857142858,65.85365853658541%
Eyecon Caller ID & Spam Block,957143,228571.42857142864,31.372549019607852%
aljazeera.net,957143,585714.2857142854,157.6923076923076%
Goods Puzzle: Sort Challenge™,942857,228571.42857142875,32.00000000000003%
"GoodNovel - Booktok, Stories",928571,414285.7142857147,80.55555555555567%
Carrom Pool: Disc Game,914286,542857.142857143,146.15384615384622%
Soccer Superstar,857143,228571.42857142852,36.36363636363636%
Arrows – Puzzle Escape,842857,-57142.85714285716,-6.349206349206351%
Emochi: Chat With Character,828571,57142.857142857276,7.407407407407425%
Ludo King®,800000,-0.00000000046566128730773926,-5.820766091346738E-14%
Samsung Global Goals,800000,-314285.7142857142,-28.205128205128204%
HiTV : K-Dramas Encyclopedia,728571,-114285.71428571444,-13.55932203389832%
Cricket Guru - Fast Live Score,714286,399999.99999999994,127.27272727272725%
AppLock Pro - App Lock & Guard,700000,228571.4285714287,48.48484848484853%
Tower War - Tactical Conquest,657143,85714.28571428545,14.999999999999948%
Tile Park,614286,-0.00000000011641532182693481,-1.895133146019869E-14%
Pocket FM: Audio Series,614286,128571.42857142858,26.470588235294123%
Candy Crush Saga,614286,-414285.7142857143,-40.277777777777786%
Paper.io 2,600000,-185714.28571428556,-23.636363636363622%
بلوت VIP,585714,-300000.00000000035,-33.870967741935516%
Number Match - Number Games,571429,257142.85714285716,81.81818181818181%
botim,571429,114285.7142857142,24.999999999999986%
Wool Crush™,557143,157142.85714285733,39.28571428571435%
PolyBuzz: Chat with AI Friends,557143,-0.00000000011641532182693481,-2.089505776380882E-14%
SuperVPN - Fast VPN Proxy,542857,471428.5714285714,659.9999999999999%
Head Ball 2 - Online Soccer,528571,200000.00000000006,60.869565217391326%
Bubble Shooter - Classic Pop,528571,257142.8571428571,94.73684210526314%
"AlMosaly: Athan, Qibla, Quran",500000,314285.7142857142,169.23076923076917%
Turbo VPN - Secure VPN Proxy,500000,257142.857142857,105.8823529411764%
Color Block: Combo Blast,500000,128571.42857142835,34.615384615384556%
Video Editor & Maker - InShot,485714,242857.14285714267,99.9999999999999%
Tile Club - Match Puzzle Games,457143,-28571.42857142852,-5.882352941176461%
My Supermarket Simulator 3D®,457143,71428.5714285713,18.51851851851849%
Ball Sort Puzzle - Color Game,442857,-57142.85714285704,-11.428571428571415%
Subway Surfers,442857,-57142.85714285722,-11.428571428571445%
Color Block Jam,442857,-0.00000000011641532182693481,-2.6287330735114318E-14%
Alarmy - Alarm Clock & Sleep,428571,85714.28571428562,24.999999999999968%
Ludo Club - Fun Dice Game,428571,314285.7142857142,274.9999999999999%
AppLock,414286,200000.00000000003,93.33333333333334%
القرآن الكريم كامل بدون انترنت,400000,157142.85714285704,64.70588235294113%
Pocket Sort: Coin Merge Puzzle,400000,-114285.71428571426,-22.222222222222218%
Snake.io - Fun Snake .io Games,400000,-200000.00000000006,-33.33333333333334%
ClevCalc - Calculator,400000,-71428.57142857148,-15.151515151515163%
Chess Clash: Online & Offline,385714,242857.14285714284,170.0%
Vehicle Masters,385714,142857.14285714272,58.82352941176464%
Lark Player:Music Player & MP3,371429,14285.714285714377,4.000000000000026%
Little Farm Story: Idle Tycoon,371429,-128571.42857142858,-25.714285714285715%
Block Crush!,371429,-14285.714285714144,-3.7037037037036686%
FreeReels - Dramas & Reels,371429,42857.14285714284,13.043478260869561%
Timestamp Camera,357143,-85714.28571428556,-19.354838709677388%
Who's Calling Me - Caller ID,357143,228571.42857142858,177.77777777777777%
sciencerealitycheck.com,342857,342857.14285714284,NA
DramaBox - Stream Drama Shorts,342857,-128571.42857142846,-27.272727272727263%
8 Ball Pool,314286,14285.71428571426,4.761904761904754%
Sudoku - Classic Sudoku Puzzle,314286,14285.71428571426,4.761904761904754%
Pixel Art Coloring: Art Games,314286,-85714.28571428574,-21.42857142857144%
Arrow Out,300000,0.0,0.0%
Keyboard Escape: Speed Parkour,300000,214285.7142857143,250.00000000000003%
Screwdom 3D,300000,114285.71428571426,61.53846153846151%
lessonsfromanimals.com,300000,214285.71428571426,249.99999999999994%
Bus Traffic Fever!,285714,-71428.57142857142,-19.999999999999996%
Domino - Dominos online game,285714,214285.71428571432,300.00000000000006%
Spider Solitaire,285714,42857.14285714284,17.6470588235294%
Block Craft 3D：Building Game,285714,-57142.8571428571,-16.666666666666654%
App Lock - Applock Fingerprint,271429,100000.00000000003,58.33333333333335%
Bubble Shooter - Pop Bubbles,271429,-28571.42857142852,-9.523809523809508%
Car Jam,271429,185714.28571428574,216.66666666666669%
My Perfect Hotel,271429,14285.714285714319,5.555555555555568%
PLAYit-All in One Video Player,271429,-142857.14285714267,-34.48275862068962%
Sudoku.com - Classic Sudoku,271429,71428.57142857145,35.714285714285715%
futuregentrends.com,271429,242857.14285714284,849.9999999999999%
"Picsart AI Photo Editor, Video",257143,14285.71428571429,5.882352941176472%
Rigi TV: Watch Reel Shows,257143,-28571.42857142855,-9.999999999999991%
StarMaker: Sing Karaoke Songs,257143,57142.85714285716,28.571428571428577%
Stealth Master: Assassin Ninja,257143,85714.28571428574,50.000000000000014%
almasryalyoum.com,257143,128571.42857142861,100.00000000000001%
Dream League Soccer 2026,257143,-57142.85714285707,-18.181818181818162%
Fruit tiles Matching,257143,14285.71428571429,5.882352941176472%
HeeSay: LGBTQ+ Community,257143,85714.28571428574,50.000000000000014%
Jewel Coloring,242857,114285.7142857143,88.88888888888889%
Craftsman: Building Craft,242857,114285.7142857143,88.88888888888889%
Don’t Look Back-mini launcher,228571,-57142.85714285713,-19.999999999999993%
