Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[iOS]; Country[Saudi Arabia]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
imo-International Calls & Chat,27285714,4671428.571428578,20.656980416929905%
Block Blast！,18785714,6814285.714285722,56.92124105011939%
Happy Color by Numbers Game,7300000,1914285.7142857136,35.543766578249326%
Goods Puzzle: Sort Challenge,7071429,3185714.2857142864,81.9852941176471%
VIP بلوت,6314286,1328571.428571432,26.647564469914123%
Letterboxd,6071429,1757142.8571428563,40.72847682119204%
Paper.io 2,4014286,657142.8571428568,19.57446808510638%
ΗiΤV(zenith),3928571,742857.1428571418,23.31838565022418%
InShot - Video Editor,3928571,885714.2857142854,29.107981220657276%
Wattpad - Read & Write Stories,3657143,171428.57142857136,4.918032786885245%
My Supermarket Simulator 3D®,3542857,685714.285714285,23.999999999999968%
Tile Explorer: Tiles Clear!,3442857,957142.8571428536,38.505747126436624%
tellonym - ask me anything,3171429,2571428.57142857,428.57142857142816%
"AlMosaly Prayer, Adan, Athkar",2671429,1771428.5714285695,196.82539682539658%
ΗiΤV - Endless Movies & Shows,2571429,1057142.857142857,69.81132075471697%
إدارة الملفات (حمّل),2457143,-14285.714285714086,-0.5780346820809168%
Wool Crush™-Escape Traffic Jam,2428571,285714.28571428545,13.33333333333332%
Locket Widget,2371429,0.0,0.0%
Vita Mahjong,2228571,85714.28571428545,3.9999999999999862%
Jigsaw Puzzles - Puzzle Games,2228571,257142.85714285704,13.043478260869556%
طرب الفيديو,2071429,-1042857.1428571423,-33.48623853211007%
"Character AI: Chat, Talk, Text",2057143,1142857.1428571437,125.00000000000007%
Block Craft 3D: Building Games,1971429,142857.1428571432,7.812500000000016%
Spider Solitaire – Card Games,1828571,671428.5714285716,58.02469135802472%
Tile Club - Matching Game,1814286,614285.714285715,51.19047619047625%
Color Block Jam,1800000,-142857.14285714272,-7.352941176470578%
Pocket Sort: Coin Merge Puzzle,1800000,157142.8571428575,9.565217391304367%
Number Match - Numbers Game,1642857,200000.00000000023,13.861386138613874%
Brilliant Sort™ Diamond Puzzle,1585714,71428.5714285716,4.716981132075481%
Sudoku.com - Number Games,1585714,142857.1428571432,9.900990099009922%
Subway Surfers,1500000,-457142.85714285704,-23.35766423357663%
365Scores: Live Sports Scores,1500000,-71428.57142857183,-4.545454545454569%
dailymotion.com,1442857,428571.42857142887,42.253521126760596%
CHAI: Social AI Platform- Chat,1371429,742857.142857143,118.18181818181819%
Jewel Coloring,1314286,271428.57142857136,26.02739726027396%
"GoodNovel - Booktok, Stories",1228571,-714285.7142857141,-36.76470588235292%
Colony Flow!,1214286,-657142.8571428573,-35.11450381679389%
"Picsart AI Photo Editor, Video",1142857,-400000.00000000023,-25.925925925925938%
Fluffy Drop,1114286,-199999.99999999977,-15.217391304347808%
Art Puzzle - Jigsaw Games,1071429,99999.99999999965,10.294117647058787%
Bubble Shooter: Pop & Blast,1028571,200000.00000000023,24.13793103448279%
Ludo STAR,1014286,-442857.142857144,-30.392156862745157%
Woodle Screw™ Pin Nuts & Bolts,1000000,-71428.57142857194,-6.666666666666713%
Arrows – Puzzle Escape,985714,42857.14285714296,4.545454545454555%
Blockudoku - Block Puzzle Game,985714,-42857.142857142724,-4.1666666666666545%
Video Lite,957143,-200000.00000000023,-17.283950617283967%
Find Hidden Objects - Spot It!,957143,-128571.42857142899,-11.842105263157931%
aljazeera.net,942857,542857.1428571432,135.7142857142858%
Search It - Hidden Objects,942857,14285.71428571397,1.5384615384615041%
Hexa Away,942857,271428.5714285715,40.42553191489364%
Yarn Fever! Unravel Puzzle,928571,28571.428571428754,3.174603174603195%
My Perfect Hotel,928571,314285.7142857143,51.162790697674424%
Unknown,928571,171428.57142857136,22.64150943396225%
astrotheme.com,928571,328571.42857142875,54.761904761904816%
FUTBIN FC 26 Evolutions & More,914286,-171428.5714285717,-15.78947368421055%
