Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Sweden]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Block Blast!,8342857,242857.14285714086,2.99823633156964%
Vita Mahjong,5800000,471428.5714285718,8.847184986595181%
Wordfeud,5785714,1471428.5714285718,34.10596026490068%
Mahjong Blast,4600000,-142857.14285714272,-3.012048192771082%
Arrows – Puzzle Escape,3242857,-571428.57142857,-14.98127340823967%
Solitaire - Classic Card Games,2171429,-57142.85714285774,-2.564102564102589%
Candy Crush Soda Saga,1957143,-814285.7142857148,-29.38144329896908%
Candy Crush Saga,1885714,-3528571.428571428,-65.17150395778363%
Grindr - Gay Dating & Chat,1757143,-57142.857142857276,-3.1496062992126044%
Block Crush!,1414286,-100000.0,-6.603773584905659%
Shape Escape: Block Puzzle,1342857,-14285.714285714319,-1.0526315789473708%
Emochi: Chat With Character,1228571,142857.14285714296,13.157894736842112%
Woodoku - Wood Block Puzzle,1200000,-271428.5714285716,-18.44660194174758%
Arrows GO!,1128571,-0.00000000046566128730773926,-4.126112672347056E-14%
QuizDuel! Quiz & Trivia Game,1100000,-242857.14285714272,-18.08510638297871%
"Character AI: Chat, Talk, Text",1057143,157142.85714285693,17.460317460317434%
Words of Wonders: Crossword,971429,-614285.714285715,-38.73873873873876%
Meowdoku: Brain Puzzle Games,942857,-42857.14285714319,-4.347826086956554%
Sudoku - Classic Sudoku Puzzle,800000,-71428.57142857136,-8.196721311475402%
Tile Explorer - Triple Match,728571,-314285.7142857141,-30.136986301369845%
Mahjong Master: Daily Match,714286,0.0,0.0%
Pixel Flow!,700000,-157142.85714285693,-18.33333333333331%
Tumblr: Social Media & Art,628571,114285.7142857142,22.222222222222207%
imo-International Calls & Chat,557143,-28571.42857142852,-4.878048780487797%
Pocket Sort: Coin Merge Puzzle,542857,-200000.00000000012,-26.923076923076934%
Double Tile!,514286,-57142.85714285687,-9.999999999999957%
Flashscore: Live Scores & News,485714,-1242857.1428571437,-71.900826446281%
Solitaire.com - Classic Cards,485714,-371428.5714285715,-43.33333333333334%
Bubble Shooter - Classic Pop,457143,114285.7142857142,33.333333333333314%
Solitaire,457143,-57142.857142856985,-11.111111111111088%
Talkie: Creative AI Community,442857,-28571.428571428463,-6.06060606060604%
Zen Word® - Relax Puzzle Game,442857,-200000.0,-31.111111111111118%
Arrow Out,442857,114285.7142857142,34.78260869565216%
Sveriges Radio Online,428571,114285.71428571426,36.36363636363635%
Happy Color®: Color by Number,428571,-571428.5714285716,-57.14285714285715%
DramaWave - Dramas & Reels,428571,-71428.57142857136,-14.285714285714278%
Word Search Explorer,414286,-285714.2857142858,-40.81632653061226%
Tap Tile!,385714,185714.28571428565,92.8571428571428%
Toon Blast,357143,-785714.2857142859,-68.75000000000001%
Word Connect - Words of Nature,357143,-328571.4285714287,-47.91666666666668%
Farm Heroes Saga,357143,-1714285.7142857148,-82.75862068965519%
"9GAG: Funny GIF, Meme & Video",357143,57142.85714285704,19.047619047619012%
Kik — Messaging & Chat App,342857,-171428.5714285713,-33.33333333333332%
Color Slide - Hexa Puzzle,342857,-28571.42857142852,-7.692307692307682%
PolyBuzz: Chat with AI Friends,342857,85714.2857142856,33.33333333333328%
Screw Sort Puzzle: Pin Jam 3D,328571,257142.8571428571,359.99999999999994%
Screwdom 3D,328571,85714.28571428562,35.294117647058776%
ReelShort - Stream Drama & TV,328571,-300000.0000000002,-47.727272727272755%
Goods Puzzle: Sort Challenge™,314286,214285.71428571426,214.28571428571422%
Alarmy - Alarm Clock & Sleep,314286,42857.14285714278,15.789473684210495%
Spider Solitaire - Card Games,314286,-71428.57142857148,-18.518518518518533%
Jigsawcard Solitaire Puzzle,300000,-0.00000000005820766091346741,-1.940255363782247E-14%
Vehicle Masters,285714,42857.14285714284,17.6470588235294%
Pocket FM: Audio Series,285714,157142.85714285716,122.22222222222223%
Spider Solitaire,285714,28571.42857142855,11.1111111111111%
Vinted: Shop & sell pre-loved,285714,-242857.14285714278,-45.94594594594594%
Mahjong Club - Solitaire Game,271429,-342857.1428571427,-55.81395348837207%
Food Hunt: Pixel Puzzle,271429,14285.714285714232,5.555555555555533%
Wattpad - Read & Write Stories,271429,28571.42857142852,11.764705882352919%
Flightradar24 Flight Tracker,257143,-28571.42857142855,-9.999999999999991%
Goods Sort™ - Sorting Games,257143,14285.71428571429,5.882352941176472%
Tower War - Tactical Conquest,257143,-171428.57142857127,-39.99999999999997%
Wordzee! - Puzzle Word Game,257143,71428.57142857145,38.46153846153847%
Brilliant Sort™ Diamond Puzzle,257143,85714.28571428574,50.000000000000014%
Drop Escape: Color Puzzle,242857,-42857.14285714284,-14.999999999999991%
