Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Singapore]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,428571,-828571.428571429,-65.90909090909092%
imo-International Calls & Chat,300000,-57142.8571428571,-15.999999999999993%
Turbo VPN - Secure VPN Proxy,185714,0.0,0.0%
Block Blast!,128571,42857.14285714287,50.000000000000014%
imo HD - Video Calls and Chats,114286,14285.71428571429,14.285714285714292%
Chai: Chat AI Platform,100000,100000.0,NA
Yahoo Mail: Email & Planner,85714,71428.57142857143,500.00000000000006%
Sudoku - Classic Sudoku Puzzle,85714,0.0,0.0%
Candy Crush Saga,71429,0.0,0.0%
Snap Master VPN: Super Vpn App,71429,0.0,0.0%
atlas.taboolanews.com,57143,14285.71428571429,33.33333333333335%
sg.yahoo.com,57143,57142.857142857145,NA
wongnai.com,57143,57142.857142857145,NA
Tile Explorer - Triple Match,57143,-28571.42857142858,-33.33333333333334%
Emochi: Chat With Character,57143,57142.857142857145,NA
"Likee-Live, Chat & Party Games",57143,28571.428571428572,100.0%
Live Lottery Jackpot,57143,57142.857142857145,NA
MX Player,57143,28571.428571428572,100.0%
PolyBuzz: Chat with AI Friends,57143,28571.428571428572,100.0%
Arrows – Puzzle Escape,42857,-14285.71428571429,-25.000000000000007%
imo beta -video calls and chat,42857,-14285.71428571429,-25.000000000000007%
zeta - Create Your Own Story,42857,-57142.85714285716,-57.14285714285715%
Arrows GO!,42857,14285.714285714283,49.999999999999986%
Balloon Master 3D-Puzzle Games,42857,42857.142857142855,NA
Daily Mahjong Match,42857,42857.142857142855,NA
HeeSay: LGBTQ+ Community,42857,28571.42857142857,199.99999999999997%
Happy Color®: Color by Number,42857,28571.42857142857,199.99999999999997%
Jigsort®: Solitaire,42857,28571.42857142857,199.99999999999997%
LiveScore: Live Sports Scores,42857,-57142.857142857145,-57.142857142857146%
Open Browser - Smart & Safe,42857,14285.714285714283,49.999999999999986%
Pocket FM: Audio Series,42857,28571.42857142857,199.99999999999997%
Ridmik Keyboard,42857,28571.42857142857,199.99999999999997%
Wool Crush™,42857,28571.42857142857,199.99999999999997%
VPN Proxy Master - Safer Vpn,28571,-28571.428571428572,-50.0%
Unscrew Frenzy 3D,28571,0.0,0.0%
Video Editor & Maker - InShot,28571,14285.714285714286,100.0%
Words of Wonders: Crossword,28571,-28571.428571428572,-50.0%
