Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[Turkey]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
LMR - Copyleft Music,46342857,-5899999.999999985,-11.293409898824144%
Mackolik Live Score | M Scores,42600000,-8100000.00000003,-15.976331360946793%
nefisyemektarifleri.com,40214286,-142857.14285713434,-0.35398230088493465%
Words of Wonders: Crossword,38971429,3042857.142857142,8.469184890656058%
Block Blast!,23942857,-585714.2857143097,-2.3878858474083677%
Candy Crush Saga,21614286,699999.9999999851,3.346994535519052%
Mynet Haber - Son Dakika Haber,20114286,2671428.571428567,15.315315315315296%
imo-International Calls & Chat,19400000,4814285.714285716,33.00685602350636%
Vita Mahjong,16742857,-2271428.571428558,-11.945905334335011%
Color Block: Combo Blast,15271429,1900000.0,14.209401709401703%
sondakika.com,13414286,-185714.28571428917,-1.3655462184874205%
mynet.com,13314286,3442857.14285714,34.87698986975394%
poki.com,12985714,-4285714.285714291,-24.81389578163773%
sozcu.com.tr,12242857,-828571.4285714328,-6.338797814207683%
Solitaire Associations Journey,10200000,2200000.0,27.499999999999993%
hurriyet.com.tr,10128571,-442857.14285714924,-4.18918918918925%
DramaWave - Dramas & Reels,9271429,1757142.857142862,23.384030418251026%
yenicaggazetesi.com,8928571,214285.71428572014,2.459016393442691%
Şarkı Evreni: İndir MP3 Müzik,8628571,-328571.4285714254,-3.6682615629983713%
onedio.com,8000000,-4299999.999999998,-34.95934959349593%
Candy Crush Soda Saga,7114286,1842857.1428571464,34.95934959349602%
milliyet.com.tr,7100000,1485714.2857142836,26.463104325699696%
"Character AI: Chat, Talk, Text",6857143,3071428.571428572,81.13207547169816%
Lark Player:Music Player & MP3,6857143,742857.1428571427,12.149532710280374%
Azan Time Pro – Prayer Times,6828571,985714.2857142854,16.87041564792176%
Tile Club - Match Puzzle Games,6700000,1428571.428571429,27.100271002710056%
havadurumu15gunluk.xyz,6600000,-5157142.85714285,-43.8639125151883%
