Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[United States]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
Warning: Data truncated to top 5000 records
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
MetroZone,387600000,-19271428.571429253,-4.736490993996139%
Pocket FM: Audio Series,290857143,28971428.571428776,11.062622736199078%
Vita Mahjong,252014286,5871428.571428716,2.3853743470691304%
yahoo.com,158128571,27257142.85714321,20.82742058727239%
PolyBuzz: Chat with AI Friends,146500000,6285714.285714328,4.482934284258828%
Happy Color®: Color by Number,124357143,-26228571.428571552,-17.417702305284198%
cricket.get-moment.com,123185714,3899999.9999998063,3.2694610778441473%
Woodoku - Wood Block Puzzle,114142857,-5957142.857142895,-4.960152254074014%
Block Blast!,108057143,-6142857.142857134,-5.3790342757067675%
Wordscapes: Word puzzle game,106842857,19457142.857142776,22.265816576753274%
Grindr - Gay Dating & Chat,106100000,-4514285.714285746,-4.081105514658434%
Arrow Out,87928571,-11257142.85714294,-11.34956070862749%
zeta - Create Your Own Story,87200000,16971428.571428373,24.165988608624605%
NewsBreak: Local News & Alerts,81328571,6357142.857142836,8.479420731707307%
Solitaire.com - Classic Cards,78000000,-8914285.714285657,-10.256410256410193%
Candy Crush Saga,75628571,15985714.285714269,26.80239520958081%
Tile Explorer - Triple Match,72928571,-5157142.85714294,-6.604463959019494%
Scrabble® GO – Fun with Words!,65800000,3771428.5714286044,6.0801473975127225%
Solitaire - Classic Card Games,65614286,3685714.285714306,5.9515570934256345%
Arrow Puzzle: Tap Puzzle Games,57628571,-1871428.5714285448,-3.1452581032412574%
Words With Friends Word Game,56100000,8371428.571428582,17.539658784794987%
Meowdoku: Brain Puzzle Games,54442857,928571.4285714552,1.7351841964762902%
theSCOOP,51300000,-3614285.7142857015,-6.581685744016627%
Solitaire Associations Journey,51028571,-4899999.999999993,-8.761174968071503%
Talkie: Creative AI Community,49557143,3099999.9999999776,6.672816728167227%
dailymotion.com,48857143,12785714.285714313,35.445544554455516%
0118dc128733e55b627465f2dd09b99f.safeframe.googlesyndication.com,47057143,3100000.0,7.052323691907703%
OfferUp Buy & Sell Marketplace,46642857,-11185714.285714172,-19.342885375493918%
Arrows – Puzzle Escape,44242857,3528571.428571485,8.666666666666812%
CallApp: Caller ID & Block,43685714,2771428.5714285597,6.773743016759744%
Chai: Chat AI Platform,42128571,-2114285.7142857164,-4.778818211172106%
SmartNews: Live News & Rewards,41042857,-18542857.142857015,-31.119635578997688%
TextNow: Call + Text Unlimited,40842857,-1457142.8571428508,-3.444782168186408%
Mahjong Blast,39914286,314285.71428572387,0.7936507936508177%
"iFunny－video memes, meme maker",39542857,2328571.428571433,6.25719769673705%
Arrows GO!,38171429,557142.8571428433,1.481200151917928%
Zen Word® - Relax Puzzle Game,37728571,3699999.9999999776,10.873215785054509%
Truecaller: Spam Call Blocker,37514286,12842857.14285715,52.05558772437755%
Color Slide - Hexa Puzzle,37100000,1757142.8571428508,4.971705739692784%
Crossword Go!,36800000,-1857142.8571428657,-4.804138950480435%
