Period: 07/27/2026 00:00:00 - 07/27/2026 23:00:00  UTC (+00:00)
Comparison Period: 07/25/2026 00:00:00 - 07/25/2026 23:00:00  UTC (+00:00)
Include Filters: Accepts JS[TRUE]; OS[Android]; Country[South Africa]
Exclude Filters: 
Bulk Include Filters: 
Bulk Exclude Filters: 
OrderBy: Auctions DESC
App Name,Auctions,Auctions CHG(abs),Auctions CHG(rel)
Vita Mahjong,11757143,1357142.8571428638,13.049450549450611%
Candy Crush Soda Saga,8742857,2271428.5714285765,35.09933774834445%
Candy Crush Saga,6485714,1428571.4285714282,28.248587570621467%
ReelShort - Stream Drama & TV,5685714,685714.2857142845,13.714285714285692%
Pocket FM: Audio Series,5271429,-71428.57142856624,-1.336898395721829%
DramaWave - Dramas & Reels,5042857,2542857.1428571423,101.71428571428568%
DramaBox - Stream Drama Shorts,4242857,-1957142.857142861,-31.566820276497747%
Truecaller: Spam Call Blocker,4200000,-3214285.7142857183,-43.3526011560694%
Moviebox HD：Watch TV&short,3971429,328571.4285714282,9.019607843137244%
Tile Explorer - Triple Match,3785714,542857.1428571423,16.740088105726862%
Video Downloader,3457143,-614285.7142857136,-15.087719298245602%
CallApp: Caller ID & Block,3300000,-57142.85714285774,-1.7021276595744859%
"SHAREit: Transfer, Share Files",3128571,-457142.8571428582,-12.749003984063773%
Mahjong Blast,2971429,499999.99999999907,20.231213872832335%
Emochi: Chat With Character,2885714,-0.00000000046566128730773926,-1.6136777282941455E-14%
Dream League Soccer 2026,2757143,-1000000.0,-26.615969581749056%
Block Blast!,2642857,-742857.1428571404,-21.940928270042132%
NetShort - Popular Dramas & TV,2542857,314285.71428571315,14.102564102564042%
Arrows GO!,2357143,-71428.57142857043,-2.941176470588194%
Toon Blast,2071429,200000.00000000023,10.68702290076337%
Words of Wonders: Crossword,1928571,-228571.4285714298,-10.596026490066272%
Tile Park,1842857,-899999.9999999986,-32.812499999999964%
Talkie: Creative AI Community,1800000,-928571.4285714261,-34.03141361256537%
Tile Club - Match Puzzle Games,1757143,-28571.428571429104,-1.6000000000000287%
Wattpad - Read & Write Stories,1585714,-328571.4285714284,-17.164179104477597%
Farm Heroes Saga,1514286,214285.71428571455,16.4835164835165%
Car Jam Solver: Traffic Jam,1400000,428571.428571429,44.117647058823565%
Opera Mini: Fast Web Browser,1385714,128571.42857142887,10.227272727272751%
CashDrama,1357143,199999.99999999977,17.283950617283924%
"GoodNovel - Booktok, Stories",1271429,-342857.14285714366,-21.23893805309738%
SHAREit Lite - Fast File Share,1200000,-28571.428571428172,-2.3255813953488045%
ShortMax - Watch Dramas & Show,1142857,-100000.00000000023,-8.04597701149427%
Bible Offline-KJV Holy Bible,1042857,-271428.57142857113,-20.65217391304346%
Solitaire - Classic Card Games,1028571,357142.8571428575,53.19148936170219%
Crossword Go!,1014286,-300000.0000000001,-22.82608695652174%
Block Crush!,1000000,228571.42857142852,29.629629629629616%
Color Slide - Hexa Puzzle,828571,71428.57142857136,9.433962264150933%
Ludo King®,828571,-242857.14285714307,-22.666666666666682%
Arrows – Puzzle Escape,800000,42857.14285714319,5.660377358490613%
Bus Traffic Fever!,785714,-14285.714285714668,-1.7857142857143327%
Buns and Bounce Home Screen,771429,28571.428571428638,3.8461538461538556%
Toy Blast,771429,228571.4285714283,42.10526315789468%
Scrabble® GO – Fun with Words!,757143,-57142.85714285751,-7.017543859649167%
Cash Arrows,742857,-114285.71428571444,-13.33333333333335%
PolyBuzz: Chat with AI Friends,742857,-628571.4285714296,-45.83333333333338%
Drink Alarms: Water Tracker,728571,257142.85714285716,54.54545454545455%
µTorrent®- Torrent Downloader,714286,114285.71428571432,19.047619047619055%
Wool Crush™,714286,-100000.00000000012,-12.280701754385978%
Zen Word® - Relax Puzzle Game,714286,-128571.42857142887,-15.254237288135627%
Tile Home-Match Puzzle Games,700000,228571.42857142887,48.484848484848584%
Radio South Africa Online,685714,285714.28571428586,71.42857142857147%
Frenzy Screw Puzzle,671429,314285.7142857143,88.00000000000001%
Fruit Fusion: Merge Saga,657143,200000.00000000023,43.75000000000007%
DramaGood,657143,-85714.28571428591,-11.538461538461561%
Snaptube,628571,-314285.7142857141,-33.33333333333332%
GoodShort - Short Dramas Hub,614286,-28571.42857142852,-4.4444444444444375%
Bubble Shooter - Pop Bubbles,600000,-42857.14285714284,-6.666666666666664%
Widgetable: Besties & Couples,585714,299999.9999999998,104.99999999999993%
MixReels,557143,214285.71428571414,62.49999999999997%
Lark Player:Music Player & MP3,542857,-214285.71428571455,-28.301886792452855%
Happy Color®: Color by Number,542857,-171428.57142857148,-24.00000000000001%
Color Block: Combo Blast,542857,-142857.14285714296,-20.83333333333335%
Sudoku - Classic Sudoku Puzzle,542857,-14285.714285714319,-2.5641025641025714%
"CamScanner- scanner, PDF maker",528571,428571.4285714285,428.57142857142844%
BBQSort,528571,157142.8571428571,42.307692307692314%
Subway Surfers,514286,-300000.00000000047,-36.84210526315794%
Flashscore: Live Scores & News,500000,-714285.7142857143,-58.82352941176471%
CleanBoost - Junk Cleaner,500000,85714.28571428568,20.68965517241379%
Football League 2026,485714,-271428.57142857113,-35.849056603773555%
Goods Puzzle: Sort Challenge™,485714,28571.428571428463,6.249999999999977%
